pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,snwfl_amt_pst1hr,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -2.286,81.4, None, None, None, None, None, None, None, None, None,-5.0, 884.0, None, None, None,2017-04-16 00:00:00, None, 8.18, None,16
None, -2.702,83.9, None, None, None, None, None, None, None, None, None,-5.0, 884.0, None, None, None,2017-04-16 01:00:00, None, 7.183, None,16
None, -2.737,84.0, None, None, None, None, None, None, None, None, None,-5.0, 885.0, None, None, None,2017-04-16 02:00:00, None, 7.693, None,16
None, -3.269,87.7, None, None, None, None, None, None, None, None, None,-5.0, 885.0, None, None, None,2017-04-16 03:00:00, None, 7.439, None,16
None, -3.172,88.3, None, None, None, None, None, None, None, None, None,-5.0, 885.0, None, None, None,2017-04-16 04:00:00, None, 8.02, None,16
None, -3.878,90.2, None, None, None, None, None, None, None, None, None,-5.0, 885.0, None, None, None,2017-04-16 05:00:00, None, 8.45, None,16
None, -4.49,91.0, None, None, None, None, None, None, None, None, None,-6.0, 885.0, None, None, None,2017-04-16 06:00:00, None, 8.8, None,16
None, -4.474,92.7, None, None, None, None, None, None, None, None, None,-5.0, 886.0, None, None, None,2017-04-16 07:00:00, None, 9.19, None,16
None, -0.214,64.94, None, None, None, None, None, None, None, None, None,-5.0, 886.0, None, None, None,2017-04-16 08:00:00, None, 9.19, None,16
None, 3.756,44.57, None, None, None, None, None, None, None, None, None,-7.0, 885.0, None, None, None,2017-04-16 09:00:00, None, 8.92, None,16
None, 6.044,40.35, None, None, None, None, None, None, None, None, None,-6.0, 885.0, None, None, None,2017-04-16 10:00:00, None, 8.26, None,16
None, 8.21,34.73, None, None, None, None, None, None, None, None, None,-7.0, 884.0, None, None, None,2017-04-16 11:00:00, None, 8.34, None,16
None, 9.94,29.03, None, None, None, None, None, None, None, None, None,-8.0, 884.0, None, None, None,2017-04-16 12:00:00, None, 7.639, None,16
None, 10.26,26.91, None, None, None, None, None, None, None, None, None,-8.0, 883.0, None, None, None,2017-04-16 13:00:00, None, 7.418, None,16
None, 10.82,25.07, None, None, None, None, None, None, None, None, None,-9.0, 882.0, None, None, None,2017-04-16 14:00:00, None, 6.728, None,16
None, 11.37,23.72, None, None, None, None, None, None, None, None, None,-8.0, 881.0, None, None, None,2017-04-16 15:00:00, None, 5.183, None,16
None, 10.97,24.04, None, None, None, None, None, None, None, None, None,-9.0, 881.0, None, None, None,2017-04-16 16:00:00, None, 5.107, None,16
None, 8.79,31.87, None, None, None, None, None, None, None, None, None,-7.0, 880.0, None, None, None,2017-04-16 17:00:00, None, 5.128, None,16
None, 6.374,45.56, None, None, None, None, None, None, None, None, None,-4.0, 879.0, None, None, None,2017-04-16 18:00:00, None, 4.821, None,16
None, 4.859,51.62, None, None, None, None, None, None, None, None, None,-4.0, 879.0, None, None, None,2017-04-16 19:00:00, None, 4.763, None,16
None, 3.387,62.39, None, None, None, None, None, None, None, None, None,-3.0, 879.0, None, None, None,2017-04-16 20:00:00, None, 4.809, None,16
None, 1.873,68.91, None, None, None, None, None, None, None, None, None,-3.0, 879.0, None, None, None,2017-04-16 21:00:00, None, 5.019, None,16
None, 0.875,72.86, None, None, None, None, None, None, None, None, None,-3.0, 878.0, None, None, None,2017-04-16 22:00:00, None, 4.96, None,16
None, -0.106,78.3, None, None, None, None, None, None, None, None, None,-3.0, 878.0, None, None, None,2017-04-16 23:00:00, None, 4.811, None,16
None, -0.505,79.94, None, None, None, None, None, None, None, None, None,-3.0, 878.0, None, None, None,2017-04-17 00:00:00, None, 4.85, None,16
None, -0.543,79.15, None, None, None, None, None, None, None, None, None,-3.0, 877.0, None, None, None,2017-04-17 01:00:00, None, 4.932, None,16
None, -0.836,81.2, None, None, None, None, None, None, None, None, None,-3.0, 877.0, None, None, None,2017-04-17 02:00:00, None, 4.955, None,16
None, -0.868,82.5, None, None, None, None, None, None, None, None, None,-3.0, 876.0, None, None, None,2017-04-17 03:00:00, None, 4.929, None,16
None, -0.83,84.1, None, None, None, None, None, None, None, None, None,-3.0, 876.0, None, None, None,2017-04-17 04:00:00, None, 4.945, None,16
None, -0.733,81.9, None, None, None, None, None, None, None, None, None,-3.0, 875.0, None, None, None,2017-04-17 05:00:00, None, 5.058, None,16
None, -0.644,85.6, None, None, None, None, None, None, None, None, None,-2.0, 875.0, None, None, None,2017-04-17 06:00:00, None, 4.925, None,16
None, -0.51,84.4, None, None, None, None, None, None, None, None, None,-3.0, 874.0, None, None, None,2017-04-17 07:00:00, None, 5.022, None,16
None, 1.329,76.03, None, None, None, None, None, None, None, None, None,-2.0, 874.0, None, None, None,2017-04-17 08:00:00, None, 4.886, None,16
None, 4.776,53.63, None, None, None, None, None, None, None, None, None,-4.0, 874.0, None, None, None,2017-04-17 09:00:00, None, 4.52, None,16
