pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,week_of_year
0.0, -2.235, 65.46, 1.9, None, 44.4, 1.231, 176.0, -7.0, None, -2.2, -2.4, -7.0, 0.0, None, 0.0, 65.0,2022-04-16 00:00:00, None,16
0.0, -3.042, 69.85, 1.9, None, 31.43, 0.711, 185.2, -8.0, None, -3.0, -3.0, -8.0, 0.0, None, 0.0, 70.0,2022-04-16 01:00:00, None,16
0.0, -4.184, 74.71, 1.9, None, 55.93, 1.053, 181.6, -8.0, None, -4.2, -4.1, -8.0, 0.0, None, 0.0, 75.0,2022-04-16 02:00:00, None,16
0.0, -4.904, 80.3, 1.9, None, 33.18, 1.523, 161.3, -8.0, None, -4.9, -5.3, -8.0, 0.0, None, 0.0, 80.0,2022-04-16 03:00:00, None,16
0.0, -6.298, 85.8, 1.9, None, 48.58, 0.993, 154.3, -8.0, None, -6.3, -6.5, -8.0, 0.0, None, 0.0, 86.0,2022-04-16 04:00:00, None,16
0.0, -6.69, 88.4, 1.9, None, 37.05, 1.353, 174.5, -8.0, None, -6.7, -7.1, -8.0, 0.0, None, 0.0, 88.0,2022-04-16 05:00:00, None,16
0.0, -6.804, 87.2, 1.9, None, 47.83, 2.004, 172.6, -8.0, None, -6.8, -7.4, -8.0, 0.0, None, 0.0, 87.0,2022-04-16 06:00:00, None,16
0.0, -5.073, 78.09, -5.3, None, 53.08, 1.124, 205.9, -8.0, None, -5.1, -7.4, -8.0, 0.0, None, 0.0, 78.0,2022-04-16 07:00:00, None,16
0.0, -3.781, 72.54, -3.8, None, 50.44, 2.054, 89.1, -8.0, None, -3.8, -7.4, -8.0, 0.0, None, 0.0, 73.0,2022-04-16 08:00:00, None,16
0.0, -2.038, 70.85, -2.1, None, 48.62, 2.443, 335.4, -6.0, None, -2.0, -7.4, -6.0, 0.0, None, 0.0, 71.0,2022-04-16 09:00:00, None,16
0.0, -0.393, 58.6, -0.3, None, 63.31, 2.156, 6.744, -7.0, None, -0.4, -7.4, -7.0, 0.0, None, 0.0, 59.0,2022-04-16 10:00:00, None,16
0.0, 0.699, 54.79, 1.5, None, 46.26, 4.209, 329.5, -8.0, None, 0.7, -7.4, -8.0, 0.0, None, 0.0, 55.0,2022-04-16 11:00:00, None,16
