wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
17.0, None, None,0.0, None,0.0, None,15.4, None, None, None,53.0,2018-05-21 00:00:00,21,,,,,,
17.0, None, None,0.0, None,2.4, None,14.6, None, None, None,55.0,2018-05-21 01:00:00,21,,,,,,
30.0, None, None,0.0, None,6.5, None,14.6, None, None, None,56.0,2018-05-21 02:00:00,21,,,,,,
19.0, None, None,0.0, None,6.2, None,13.5, None, None, None,56.0,2018-05-21 03:00:00,21,,,,,,
25.0, None, None,0.0, None,6.0, None,12.7, None, None, None,60.0,2018-05-21 04:00:00,21,,,,,,
53.0, None, None,0.0, None,7.5, None,13.3, None, None, None,61.0,2018-05-21 05:00:00,21,,,,,,
104.0, None, None,0.0, None,5.8, None,14.8, None, None, None,62.0,2018-05-21 06:00:00,21,,,,,,
111.0, None, None,0.0, None,7.2, None,16.4, None, None, None,59.0,2018-05-21 07:00:00,21,,,,,,
108.0, None, None,0.0, None,6.6, None,18.3, None, None, None,49.0,2018-05-21 08:00:00,21,,,,,,
102.0, None, None,0.0, None,10.7, None,18.8, None, None, None,47.0,2018-05-21 09:00:00,21,,,,,,
92.0, None, None,0.0, None,10.6, None,19.7, None, None, None,43.0,2018-05-21 10:00:00,21,,,,,,
113.0, None, None,0.0, None,10.8, None,20.4, None, None, None,41.0,2018-05-21 11:00:00,21,,,,,,
93.0, None, None,0.0, None,12.1, None,22.1, None, None, None,37.0,2018-05-21 12:00:00,21,,,,,,
81.0, None, None,0.0, None,12.2, None,23.3, None, None, None,36.0,2018-05-21 13:00:00,21,,,,,,
96.0, None, None,0.0, None,10.1, None,24.4, None, None, None,28.0,2018-05-21 14:00:00,21,,,,,,
85.0, None, None,0.0, None,10.5, None,25.2, None, None, None,25.0,2018-05-21 15:00:00,21,,,,,,
