station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, time, avg_air_temp_pst1hr
312.6, 2.3, 0.763998, 2020-01-01 00:00:00, 2.295
299.3, 2.1, None, 2020-01-01 01:00:00, None
164.1, 2.1, None, 2020-01-01 02:00:00, None
316.7, 2.0, None, 2020-01-01 03:00:00, None
160.4, 2.1, None, 2020-01-01 04:00:00, None
181.0, 2.8, None, 2020-01-01 05:00:00, None
176.2, 3.2, None, 2020-01-01 06:00:00, None
162.4, 3.8, None, 2020-01-01 07:00:00, None
129.6, 3.9, None, 2020-01-01 08:00:00, None
100.8, 3.9, None, 2020-01-01 09:00:00, None
132.4, 4.5, None, 2020-01-01 10:00:00, None
195.2, 5.5, None, 2020-01-01 11:00:00, None
189.5, 4.9, None, 2020-01-01 12:00:00, None
183.8, 4.8, None, 2020-01-01 13:00:00, None
190.4, 4.5, None, 2020-01-01 14:00:00, None
205.3, 4.0, None, 2020-01-01 15:00:00, None
214.4, 3.3, None, 2020-01-01 16:00:00, None
210.8, 3.1, None, 2020-01-01 17:00:00, None
191.2, 2.2, None, 2020-01-01 18:00:00, None
205.6, 2.4, None, 2020-01-01 19:00:00, None
204.8, 2.1, None, 2020-01-01 20:00:00, None
197.0, 1.9, None, 2020-01-01 21:00:00, None
180.9, 1.6, None, 2020-01-01 22:00:00, None
160.6, 1.1, None, 2020-01-01 23:00:00, None
179.6, 1.4, None, 2020-01-02 00:00:00, None
189.7, 1.6, None, 2020-01-02 01:00:00, None
198.1, 1.2, None, 2020-01-02 02:00:00, None
208.4, 1.1, None, 2020-01-02 03:00:00, None
225.4, 1.3, None, 2020-01-02 04:00:00, None
221.2, 1.1, None, 2020-01-02 05:00:00, None
238.9, 0.1, None, 2020-01-02 06:00:00, None
213.9, 0.0, None, 2020-01-02 07:00:00, None
237.8, -0.7, None, 2020-01-02 08:00:00, None
333.5, -1.6, None, 2020-01-02 09:00:00, None
339.7, -1.9, None, 2020-01-02 10:00:00, None
354.1, -1.5, None, 2020-01-02 11:00:00, None
8.7, -1.2, None, 2020-01-02 12:00:00, None
5.1, -1.0, None, 2020-01-02 13:00:00, None
358.8, -0.7, None, 2020-01-02 14:00:00, None
355.1, -0.6, None, 2020-01-02 15:00:00, None
343.9, -0.7, None, 2020-01-02 16:00:00, None
315.5, -0.7, None, 2020-01-02 17:00:00, None
344.0, -0.7, None, 2020-01-02 18:00:00, None
27.9, -0.6, None, 2020-01-02 19:00:00, None
14.3, -0.5, None, 2020-01-02 20:00:00, None
12.1, -0.1, None, 2020-01-02 21:00:00, None
7.7, -0.2, None, 2020-01-02 22:00:00, None
2.8, -0.8, None, 2020-01-02 23:00:00, None
6.5, -1.0, None, 2020-01-03 00:00:00, None
8.6, -0.9, None, 2020-01-03 01:00:00, None
17.2, -1.1, None, 2020-01-03 02:00:00, None
17.9, -1.2, None, 2020-01-03 03:00:00, None
27.9, -1.3, None, 2020-01-03 04:00:00, None
36.0, -1.3, None, 2020-01-03 05:00:00, None
27.5, -1.4, None, 2020-01-03 06:00:00, None
25.8, -1.5, None, 2020-01-03 07:00:00, None
4.3, -1.5, None, 2020-01-03 08:00:00, None
347.3, -1.5, None, 2020-01-03 09:00:00, None
350.1, -1.4, None, 2020-01-03 10:00:00, None
347.3, -1.4, None, 2020-01-03 11:00:00, None
338.5, -1.3, None, 2020-01-03 12:00:00, None
335.6, -1.4, None, 2020-01-03 13:00:00, None
330.0, -1.3, None, 2020-01-03 14:00:00, None
322.0, -1.3, None, 2020-01-03 15:00:00, None
307.9, -1.3, None, 2020-01-03 16:00:00, None
286.0, -1.3, None, 2020-01-03 17:00:00, None
249.8, -1.4, None, 2020-01-03 18:00:00, None
187.9, -1.2, None, 2020-01-03 19:00:00, None
154.2, -0.8, None, 2020-01-03 20:00:00, None
174.8, 1.3, None, 2020-01-03 21:00:00, None
171.1, 2.5, None, 2020-01-03 22:00:00, None
172.5, 2.6, None, 2020-01-03 23:00:00, None
