station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
317.2, 0.2, 0.442, None, 98.3, 2020-01-01 00:00:00, 98.3, 0.202
263.3, 0.3, None, None, None, 2020-01-01 01:00:00, 98.6, None
278.2, 0.3, None, None, None, 2020-01-01 02:00:00, 98.7, None
270.8, 0.3, None, None, None, 2020-01-01 03:00:00, 98.7, None
289.8, 0.5, None, None, None, 2020-01-01 04:00:00, 98.6, None
238.5, 0.5, None, None, None, 2020-01-01 05:00:00, 98.6, None
324.8, 0.3, None, None, None, 2020-01-01 06:00:00, 98.7, None
300.5, 0.4, None, None, None, 2020-01-01 07:00:00, 98.7, None
272.9, 0.5, None, None, None, 2020-01-01 08:00:00, 98.6, None
245.7, 0.5, None, None, None, 2020-01-01 09:00:00, 98.6, None
189.3, 0.7, None, None, None, 2020-01-01 10:00:00, 98.5, None
225.7, 1.0, None, None, None, 2020-01-01 11:00:00, 98.4, None
211.3, 1.2, None, None, None, 2020-01-01 12:00:00, 98.3, None
200.1, 1.4, None, None, None, 2020-01-01 13:00:00, 98.1, None
219.1, 1.3, None, None, None, 2020-01-01 14:00:00, 98.1, None
217.1, 1.8, None, None, None, 2020-01-01 15:00:00, 98.0, None
236.2, 1.4, None, None, None, 2020-01-01 16:00:00, 98.2, None
325.3, 1.5, None, None, None, 2020-01-01 17:00:00, 97.9, None
24.3, 1.6, None, None, None, 2020-01-01 18:00:00, 93.3, None
171.3, 1.3, None, None, None, 2020-01-01 19:00:00, 97.0, None
261.4, 1.2, None, None, None, 2020-01-01 20:00:00, 92.2, None
278.4, 1.5, None, None, None, 2020-01-01 21:00:00, 71.2, None
257.0, 0.9, None, None, None, 2020-01-01 22:00:00, 74.4, None
179.6, -0.3, None, None, None, 2020-01-01 23:00:00, 90.8, None
225.3, 0.1, None, None, None, 2020-01-02 00:00:00, 73.2, None
236.9, -1.4, None, None, None, 2020-01-02 01:00:00, 86.7, None
319.8, -2.2, None, None, None, 2020-01-02 02:00:00, 93.9, None
174.0, -2.5, None, None, None, 2020-01-02 03:00:00, 96.1, None
128.5, -2.8, None, None, None, 2020-01-02 04:00:00, 91.5, None
214.6, -2.6, None, None, None, 2020-01-02 05:00:00, 81.3, None
201.9, -4.2, None, None, None, 2020-01-02 06:00:00, 90.4, None
200.3, -5.1, None, None, None, 2020-01-02 07:00:00, 95.0, None
330.6, -5.5, None, None, None, 2020-01-02 08:00:00, 94.9, None
197.5, -5.7, None, None, None, 2020-01-02 09:00:00, 95.5, None
314.9, -5.8, None, None, None, 2020-01-02 10:00:00, 94.7, None
178.9, -4.8, None, None, None, 2020-01-02 11:00:00, 90.6, None
34.0, -3.8, None, None, None, 2020-01-02 12:00:00, 83.3, None
230.3, -3.6, None, None, None, 2020-01-02 13:00:00, 85.0, None
218.1, -3.5, None, None, None, 2020-01-02 14:00:00, 86.5, None
245.0, -3.4, None, None, None, 2020-01-02 15:00:00, 84.0, None
240.6, -3.5, None, None, None, 2020-01-02 16:00:00, 83.8, None
260.7, -3.7, None, None, None, 2020-01-02 17:00:00, 85.7, None
268.7, -4.0, None, None, None, 2020-01-02 18:00:00, 90.6, None
317.6, -4.2, None, None, None, 2020-01-02 19:00:00, 91.2, None
316.1, -4.2, None, None, None, 2020-01-02 20:00:00, 91.7, None
101.9, -2.9, None, None, None, 2020-01-02 21:00:00, 84.9, None
151.4, -2.4, None, None, None, 2020-01-02 22:00:00, 85.4, None
70.2, -2.9, None, None, None, 2020-01-02 23:00:00, 90.6, None
74.6, -3.0, None, None, None, 2020-01-03 00:00:00, 94.8, None
99.6, -2.7, None, None, None, 2020-01-03 01:00:00, 96.6, None
107.3, -2.4, None, None, None, 2020-01-03 02:00:00, 97.3, None
104.6, -2.3, None, None, None, 2020-01-03 03:00:00, 97.6, None
109.3, -2.0, None, None, None, 2020-01-03 04:00:00, 97.8, None
106.6, -1.6, None, None, None, 2020-01-03 05:00:00, 97.9, None
