time,TEMP_MEAN,HUMIDITY,week_of_year
2022-01-01 00:00:00, None,74.0,1
2022-01-01 01:00:00, None,73.6,1
2022-01-01 02:00:00, None,73.1,1
2022-01-01 03:00:00, None,74.2,1
2022-01-01 04:00:00, None,76.2,1
2022-01-01 05:00:00, None,76.3,1
2022-01-01 06:00:00, None,76.4,1
2022-01-01 07:00:00, None,76.4,1
2022-01-01 08:00:00, None,76.8,1
2022-01-01 09:00:00, None,77.1,1
2022-01-01 10:00:00, None,77.1,1
2022-01-01 11:00:00, None,76.5,1
2022-01-01 12:00:00, None,77.0,1
2022-01-01 13:00:00, None,74.2,1
2022-01-01 14:00:00, None,72.5,1
2022-01-01 15:00:00, None,73.2,1
2022-01-01 16:00:00, None,76.8,1
2022-01-01 17:00:00, None,77.6,1
2022-01-01 18:00:00, None,79.8,1
2022-01-01 19:00:00, None,79.7,1
2022-01-01 20:00:00, None,81.2,1
2022-01-01 21:00:00, None,78.8,1
2022-01-01 22:00:00, None,78.6,1
2022-01-01 23:00:00, None,78.9,1
2022-01-02 00:00:00, None,79.6,1
2022-01-02 01:00:00, None,81.8,1
2022-01-02 02:00:00, None,79.9,1
2022-01-02 03:00:00, None,83.9,1
2022-01-02 04:00:00, None,82.6,1
2022-01-02 05:00:00, None,83.0,1
2022-01-02 06:00:00, None,80.5,1
2022-01-02 07:00:00, None,80.5,1
2022-01-02 08:00:00, None,80.4,1
2022-01-02 09:00:00, None,78.5,1
2022-01-02 10:00:00, None,77.2,1
2022-01-02 11:00:00, None,73.9,1
2022-01-02 12:00:00, None,72.0,1
2022-01-02 13:00:00, None,80.1,1
2022-01-02 14:00:00, None,85.3,1
2022-01-02 15:00:00, None,85.0,1
2022-01-02 16:00:00, None,89.4,1
2022-01-02 17:00:00, None,89.8,1
2022-01-02 18:00:00, None,89.9,1
2022-01-02 19:00:00, None,90.2,1
2022-01-02 20:00:00, None,89.6,1
2022-01-02 21:00:00, None,89.6,1
2022-01-02 22:00:00, None,90.0,1
2022-01-02 23:00:00, None,90.8,1
2022-01-03 00:00:00, None,90.5,1
2022-01-03 01:00:00, None,90.2,1
2022-01-03 02:00:00, None,90.3,1
2022-01-03 03:00:00, None,91.0,1
2022-01-03 04:00:00, None,91.1,1
2022-01-03 05:00:00, None,91.1,1
2022-01-03 06:00:00, None,91.6,1
2022-01-03 07:00:00, None,91.9,1
2022-01-03 08:00:00, None,92.7,1
2022-01-03 09:00:00, None,92.4,1
2022-01-03 10:00:00, None,92.3,1
2022-01-03 11:00:00, None,91.2,1
2022-01-03 12:00:00, None,92.8,1
2022-01-03 13:00:00, None,94.0,1
2022-01-03 14:00:00, None,95.2,1
2022-01-03 15:00:00, None,95.7,1
2022-01-03 16:00:00, None,96.4,1
2022-01-03 17:00:00, None,96.4,1
2022-01-03 18:00:00, None,95.8,1
2022-01-03 19:00:00, None,96.1,1
2022-01-03 20:00:00, None,96.0,1
2022-01-03 21:00:00, None,95.8,1
2022-01-03 22:00:00, None,94.2,1
2022-01-03 23:00:00, None,95.9,1
2022-01-04 00:00:00, None,91.5,1
2022-01-04 01:00:00, None,96.7,1
2022-01-04 02:00:00, None,93.7,1
2022-01-04 03:00:00, None,89.2,1
2022-01-04 04:00:00, None,85.9,1
2022-01-04 05:00:00, None,84.3,1
2022-01-04 06:00:00, None,84.0,1
2022-01-04 07:00:00, None,80.9,1
2022-01-04 08:00:00, None,80.4,1
2022-01-04 09:00:00, None,78.1,1
2022-01-04 10:00:00, None,76.3,1
2022-01-04 11:00:00, None,74.7,1
2022-01-04 12:00:00, None,73.5,1
2022-01-04 13:00:00, None,74.8,1
2022-01-04 14:00:00, None,75.9,1
2022-01-04 15:00:00, None,76.8,1
2022-01-04 16:00:00, None,77.2,1
2022-01-04 17:00:00, None,80.6,1
2022-01-04 18:00:00, None,80.8,1
2022-01-04 19:00:00, None,79.8,1
2022-01-04 20:00:00, None,80.2,1
2022-01-04 21:00:00, None,78.1,1
2022-01-04 22:00:00, None,78.4,1
2022-01-04 23:00:00, None,76.8,1
2022-01-05 00:00:00, None,77.4,1
2022-01-05 01:00:00, None,77.0,1
2022-01-05 02:00:00, None,76.9,1
2022-01-05 03:00:00, None,76.2,1
2022-01-05 04:00:00, None,77.1,1
2022-01-05 05:00:00, None,75.2,1
