station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, None, None, None, None, -2.6, 78.0, None, None, 490.0, 217.0, 2020-01-01 00:00:00, None
None, None, None, None, None, -2.1, 78.0, None, None, 490.0, 217.0, 2020-01-01 01:00:00, None
None, None, None, None, None, -2.9, 78.0, None, None, 490.0, 217.0, 2020-01-01 02:00:00, None
None, None, None, None, None, -3.4, 78.0, None, None, 490.0, 217.0, 2020-01-01 03:00:00, None
None, None, None, None, None, -4.3, 78.0, None, None, 490.0, 216.0, 2020-01-01 04:00:00, None
None, None, None, None, None, -5.2, 78.0, None, None, 490.0, 216.0, 2020-01-01 05:00:00, None
None, None, None, None, None, -5.8, 78.0, None, None, 491.0, 216.0, 2020-01-01 06:00:00, None
None, None, None, None, None, -6.0, 78.0, None, None, 491.0, 216.0, 2020-01-01 07:00:00, None
None, None, None, None, None, -6.2, 78.0, None, None, 491.0, 216.0, 2020-01-01 08:00:00, None
None, None, None, None, None, -6.1, 78.0, None, None, 491.0, 216.0, 2020-01-01 09:00:00, None
None, None, None, None, None, -6.0, 78.0, None, None, 491.0, 216.0, 2020-01-01 10:00:00, None
None, None, None, None, None, -5.5, 78.0, None, None, 491.0, 215.0, 2020-01-01 11:00:00, None
None, None, None, None, None, -5.4, 78.0, None, None, 491.0, 215.0, 2020-01-01 12:00:00, None
None, None, None, None, None, -5.0, 78.0, None, None, 491.0, 215.0, 2020-01-01 13:00:00, None
None, None, None, None, None, -5.1, 78.0, None, None, 491.0, 215.0, 2020-01-01 14:00:00, None
None, None, None, None, None, -5.0, 76.0, None, None, 491.0, 215.0, 2020-01-01 15:00:00, None
None, 420.0, None, None, None, -4.1, 78.0, None, None, 491.0, 216.0, 2020-01-01 16:00:00, None
None, None, None, None, None, -3.8, 77.0, None, None, 491.0, 216.0, 2020-01-01 17:00:00, None
None, None, None, None, None, -3.1, 79.0, None, None, 491.0, 217.0, 2020-01-01 18:00:00, None
None, None, None, None, None, -2.3, 80.0, None, None, 490.0, 217.0, 2020-01-01 19:00:00, None
None, None, None, None, None, -1.7, 81.0, None, None, 490.0, 217.0, 2020-01-01 20:00:00, None
None, None, None, None, None, -1.9, 80.0, None, None, 490.0, 218.0, 2020-01-01 21:00:00, None
None, None, None, None, None, -2.6, 80.0, None, None, 490.0, 218.0, 2020-01-01 22:00:00, None
None, None, None, None, None, -3.8, 80.0, None, None, 490.0, 218.0, 2020-01-01 23:00:00, None
None, None, None, None, None, -4.9, 80.0, None, None, 490.0, 218.0, 2020-01-02 00:00:00, None
None, None, None, None, None, -5.5, 79.0, None, None, 490.0, 218.0, 2020-01-02 01:00:00, None
None, None, None, None, None, -6.1, 80.0, None, None, 490.0, 218.0, 2020-01-02 02:00:00, None
None, None, None, None, None, -6.8, 79.0, None, None, 490.0, 218.0, 2020-01-02 03:00:00, None
None, None, None, None, None, -6.8, 78.0, None, None, 491.0, 218.0, 2020-01-02 04:00:00, None
None, None, None, None, None, -7.0, 78.0, None, None, 491.0, 218.0, 2020-01-02 05:00:00, None
None, None, None, None, None, -7.3, 78.0, None, None, 491.0, 217.0, 2020-01-02 06:00:00, None
None, None, None, None, None, -7.1, 78.0, None, None, 491.0, 217.0, 2020-01-02 07:00:00, None
None, None, None, None, None, -7.6, 78.0, None, None, 491.0, 217.0, 2020-01-02 08:00:00, None
None, None, None, None, None, -8.3, 78.0, None, None, 491.0, 217.0, 2020-01-02 09:00:00, None
None, None, None, None, None, -9.0, 78.0, None, None, 491.0, 217.0, 2020-01-02 10:00:00, None
None, None, None, None, None, -9.7, 77.0, None, None, 491.0, 217.0, 2020-01-02 11:00:00, None
None, None, None, None, None, -10.5, 78.0, None, None, 491.0, 216.0, 2020-01-02 12:00:00, None
None, None, None, None, None, -10.3, 78.0, None, None, 491.0, 216.0, 2020-01-02 13:00:00, None
None, None, None, None, None, -10.7, 78.0, None, None, 491.0, 216.0, 2020-01-02 14:00:00, None
None, None, None, None, None, -11.0, 78.0, None, None, 491.0, 216.0, 2020-01-02 15:00:00, None
None, 435.0, None, None, None, -11.0, 78.0, None, None, 491.0, 216.0, 2020-01-02 16:00:00, None
None, None, None, None, None, -11.5, 77.0, None, None, 491.0, 215.0, 2020-01-02 17:00:00, None
None, None, None, None, None, -11.4, 77.0, None, None, 491.0, 215.0, 2020-01-02 18:00:00, None
None, None, None, None, None, -10.8, 77.0, None, None, 491.0, 215.0, 2020-01-02 19:00:00, None
None, None, None, None, None, -7.6, 77.0, None, None, 491.0, 215.0, 2020-01-02 20:00:00, None
