station_observations
pcpn_amt_pst24hrs, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, cum_pcpn_amt, MIN_TEMP, ONE_DAY_SNOW, time, air_temp_1, SNOW_ON_THE_GROUND, snw_dpth, MAX_TEMP
None, None, 0.0, 456.0, 814.0, None, None, 2020-01-01 00:00:00, -5.2, None, 188.0, None
0.0, None, 0.0, 457.0, 814.0, None, None, 2020-01-01 01:00:00, -4.8, None, 190.0, None
0.0, None, 0.0, 458.0, 814.0, None, None, 2020-01-01 02:00:00, -4.6, None, 191.0, None
0.0, None, 0.0, 459.0, 814.0, None, None, 2020-01-01 03:00:00, -4.4, None, 192.0, None
0.0, None, 0.0, 460.0, 814.0, None, None, 2020-01-01 04:00:00, -4.2, None, 191.0, None
None, None, 0.0, 461.0, 814.0, None, None, 2020-01-01 05:00:00, -4.0, None, 193.0, None
None, None, 0.0, 461.0, 814.0, None, None, 2020-01-01 06:00:00, -3.7, None, 193.0, None
None, None, 0.0, 461.0, 814.0, None, None, 2020-01-01 07:00:00, -3.8, None, 192.0, None
None, None, 0.0, 461.0, 814.0, None, None, 2020-01-01 08:00:00, -3.7, None, 193.0, None
None, None, 0.0, 462.0, 814.0, None, None, 2020-01-01 09:00:00, -3.1, None, 193.0, None
0.0, None, 0.0, 462.0, 814.0, None, None, 2020-01-01 10:00:00, -2.2, None, 194.0, None
0.0, None, 0.0, 463.0, 814.0, None, None, 2020-01-01 11:00:00, -1.1, None, 194.0, None
0.0, None, 0.0, 464.0, 814.0, None, None, 2020-01-01 12:00:00, -0.2, None, 195.0, None
1.0, None, 1.0, 465.0, 815.0, None, None, 2020-01-01 13:00:00, -0.4, None, 25.0, None
1.0, None, 0.0, 466.0, 815.0, None, None, 2020-01-01 14:00:00, -1.0, None, 194.0, None
1.0, None, 0.0, 466.0, 815.0, None, None, 2020-01-01 15:00:00, -1.2, None, 195.0, None
1.0, None, 0.0, 467.0, 815.0, None, None, 2020-01-01 16:00:00, -1.6, None, 193.0, None
1.0, None, 0.0, 467.0, 815.0, None, None, 2020-01-01 17:00:00, -1.8, None, 193.0, None
1.0, None, 0.0, 467.0, 815.0, None, None, 2020-01-01 18:00:00, -1.7, None, 193.0, None
1.0, None, 0.0, 468.0, 815.0, None, None, 2020-01-01 19:00:00, -1.7, None, 192.0, None
1.0, None, 0.0, 468.0, 815.0, None, None, 2020-01-01 20:00:00, -2.1, None, 192.0, None
1.0, None, 0.0, 468.0, 815.0, None, None, 2020-01-01 21:00:00, -2.3, None, 191.0, None
1.0, None, 0.0, 468.0, 815.0, None, None, 2020-01-01 22:00:00, -2.6, None, 192.0, None
1.0, None, 0.0, 470.0, 815.0, None, None, 2020-01-01 23:00:00, -4.4, None, 195.0, None
1.0, None, 0.0, 470.0, 815.0, None, None, 2020-01-02 00:00:00, -5.3, None, 195.0, None
1.0, None, 0.0, 471.0, 815.0, None, None, 2020-01-02 01:00:00, -6.0, None, 196.0, None
1.0, None, 0.0, 471.0, 815.0, None, None, 2020-01-02 02:00:00, -7.1, None, 196.0, None
1.0, None, 0.0, 471.0, 815.0, None, None, 2020-01-02 03:00:00, -8.3, None, 195.0, None
2.0, None, 1.0, 471.0, 816.0, None, None, 2020-01-02 04:00:00, -9.2, None, 196.0, None
2.0, None, 0.0, 471.0, 816.0, None, None, 2020-01-02 05:00:00, -8.4, None, 195.0, None
