station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, MAX_TEMP
None, 647.0, 238.0, None, None, 2020-01-01 00:00:00, -4.9, None, None
None, 648.0, 239.0, None, None, 2020-01-01 01:00:00, -4.8, None, None
None, 649.0, 239.0, None, None, 2020-01-01 02:00:00, -4.4, None, None
None, 650.0, 239.0, None, None, 2020-01-01 03:00:00, -4.0, None, None
None, 651.0, 239.0, None, None, 2020-01-01 04:00:00, -3.8, None, None
None, 652.0, 239.0, None, None, 2020-01-01 05:00:00, -3.7, None, None
None, 655.0, 239.0, None, None, 2020-01-01 06:00:00, -3.3, None, None
None, 657.0, 239.0, None, None, 2020-01-01 07:00:00, -3.1, None, None
None, 660.0, 239.0, None, None, 2020-01-01 08:00:00, -3.0, None, None
None, 662.0, 239.0, None, None, 2020-01-01 09:00:00, -2.8, None, None
None, 663.0, 239.0, None, None, 2020-01-01 10:00:00, -2.6, None, None
None, 663.0, 239.0, None, None, 2020-01-01 11:00:00, -2.2, None, None
None, 664.0, 239.0, None, None, 2020-01-01 12:00:00, -1.9, None, None
None, 664.0, 240.0, None, None, 2020-01-01 13:00:00, -1.7, None, None
None, 665.0, 240.0, None, None, 2020-01-01 14:00:00, -1.8, None, None
None, 666.0, 240.0, None, None, 2020-01-01 15:00:00, -1.8, None, None
None, 667.0, 240.0, 191.0, None, 2020-01-01 16:00:00, -1.8, None, None
None, 667.0, 240.0, None, None, 2020-01-01 17:00:00, -1.8, None, None
None, 668.0, 240.0, None, None, 2020-01-01 18:00:00, -1.7, None, None
None, 668.0, 240.0, None, None, 2020-01-01 19:00:00, -1.6, None, None
None, 668.0, 240.0, None, None, 2020-01-01 20:00:00, -1.5, None, None
None, 668.0, 240.0, None, None, 2020-01-01 21:00:00, -1.8, None, None
None, 668.0, 240.0, None, None, 2020-01-01 22:00:00, -1.7, None, None
None, 668.0, 240.0, None, None, 2020-01-01 23:00:00, -1.7, None, None
None, 669.0, 240.0, None, None, 2020-01-02 00:00:00, -1.9, None, None
None, 668.0, 240.0, None, None, 2020-01-02 01:00:00, -2.1, None, None
None, 668.0, 240.0, None, None, 2020-01-02 02:00:00, -2.2, None, None
None, 668.0, 240.0, None, None, 2020-01-02 03:00:00, -2.4, None, None
None, 669.0, 240.0, None, None, 2020-01-02 04:00:00, -2.6, None, None
None, 669.0, 240.0, None, None, 2020-01-02 05:00:00, -2.7, None, None
