station_observations
snw_dpth_wtr_equiv, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, snw_dpth, MAX_TEMP
1017.0, None, 2012-01-01 00:00:00, None, None, None, None
1017.0, None, 2012-01-01 01:00:00, None, None, None, None
1017.0, None, 2012-01-01 02:00:00, None, None, None, None
1017.0, None, 2012-01-01 03:00:00, None, None, None, None
1017.0, None, 2012-01-01 04:00:00, None, None, None, None
1017.0, None, 2012-01-01 05:00:00, None, None, None, None
1018.0, None, 2012-01-01 06:00:00, None, None, None, None
1019.0, None, 2012-01-01 07:00:00, None, None, None, None
1020.0, None, 2012-01-01 08:00:00, None, None, None, None
1022.0, None, 2012-01-01 09:00:00, None, None, None, None
1023.0, None, 2012-01-01 10:00:00, None, None, None, None
1024.0, None, 2012-01-01 11:00:00, None, None, None, None
1025.0, None, 2012-01-01 12:00:00, None, None, None, None
1027.0, None, 2012-01-01 13:00:00, None, None, None, None
1027.0, None, 2012-01-01 14:00:00, None, None, None, None
1027.0, None, 2012-01-01 15:00:00, None, None, None, None
1027.0, None, 2012-01-01 16:00:00, None, None, None, None
1028.0, None, 2012-01-01 17:00:00, None, None, None, None
1028.0, None, 2012-01-01 18:00:00, None, None, None, None
1029.0, None, 2012-01-01 19:00:00, None, None, None, None
1030.0, None, 2012-01-01 20:00:00, None, None, None, None
1032.0, None, 2012-01-01 21:00:00, None, None, None, None
1035.0, None, 2012-01-01 22:00:00, None, None, None, None
1038.0, None, 2012-01-01 23:00:00, None, None, None, None
1042.0, None, 2012-01-02 00:00:00, None, None, None, None
1045.0, None, 2012-01-02 01:00:00, None, None, None, None
1049.0, None, 2012-01-02 02:00:00, None, None, None, None
1054.0, None, 2012-01-02 03:00:00, None, None, None, None
1058.0, None, 2012-01-02 04:00:00, None, None, None, None
1064.0, None, 2012-01-02 05:00:00, None, None, None, None
1069.0, None, 2012-01-02 06:00:00, None, None, None, None
1073.0, None, 2012-01-02 07:00:00, None, None, None, None
1076.0, None, 2012-01-02 08:00:00, None, None, None, None
1078.0, None, 2012-01-02 09:00:00, None, None, None, None
1079.0, None, 2012-01-02 10:00:00, None, None, None, None
1081.0, None, 2012-01-02 11:00:00, None, None, None, None
1083.0, None, 2012-01-02 12:00:00, None, None, None, None
1085.0, None, 2012-01-02 13:00:00, None, None, None, None
1086.0, None, 2012-01-02 14:00:00, None, None, None, None
1086.0, None, 2012-01-02 15:00:00, None, None, None, None
1088.0, None, 2012-01-02 16:00:00, None, None, None, None
1088.0, None, 2012-01-02 17:00:00, None, None, None, None
1090.0, None, 2012-01-02 18:00:00, None, None, None, None
1090.0, None, 2012-01-02 19:00:00, None, None, None, None
1091.0, None, 2012-01-02 20:00:00, None, None, None, None
1092.0, None, 2012-01-02 21:00:00, None, None, None, None
1093.0, None, 2012-01-02 22:00:00, None, None, None, None
1093.0, None, 2012-01-02 23:00:00, None, None, None, None
1093.0, None, 2012-01-03 00:00:00, None, None, None, None
1094.0, None, 2012-01-03 01:00:00, None, None, None, None
1094.0, None, 2012-01-03 02:00:00, None, None, None, None
1094.0, None, 2012-01-03 03:00:00, None, None, None, None
1094.0, None, 2012-01-03 04:00:00, None, None, None, None
1094.0, None, 2012-01-03 05:00:00, None, None, None, None
1094.0, None, 2012-01-03 06:00:00, None, None, None, None
1094.0, None, 2012-01-03 07:00:00, None, None, None, None
1094.0, None, 2012-01-03 08:00:00, None, None, None, None
1094.0, None, 2012-01-03 09:00:00, None, None, None, None
1094.0, None, 2012-01-03 10:00:00, None, None, None, None
1095.0, None, 2012-01-03 11:00:00, None, None, None, None
1096.0, None, 2012-01-03 12:00:00, None, None, None, None
1097.0, None, 2012-01-03 13:00:00, None, None, None, None
1098.0, None, 2012-01-03 14:00:00, None, None, None, None
1098.0, None, 2012-01-03 15:00:00, None, None, None, None
1100.0, None, 2012-01-03 16:00:00, None, None, None, None
1101.0, None, 2012-01-03 17:00:00, None, None, None, None
1102.0, None, 2012-01-03 18:00:00, None, None, None, None
1102.0, None, 2012-01-03 19:00:00, None, None, None, None
1104.0, None, 2012-01-03 20:00:00, None, None, None, None
1108.0, None, 2012-01-03 21:00:00, None, None, None, None
1110.0, None, 2012-01-03 22:00:00, None, None, None, None
1113.0, None, 2012-01-03 23:00:00, None, None, None, None
1114.0, None, 2012-01-04 00:00:00, None, None, None, None
1116.0, None, 2012-01-04 01:00:00, None, None, None, None
1116.0, None, 2012-01-04 02:00:00, None, None, None, None
1118.0, None, 2012-01-04 03:00:00, None, None, None, None
1118.0, None, 2012-01-04 04:00:00, None, None, None, None
1118.0, None, 2012-01-04 05:00:00, None, None, None, None
1118.0, None, 2012-01-04 06:00:00, None, None, None, None
1119.0, None, 2012-01-04 07:00:00, None, None, None, None
1120.0, None, 2012-01-04 08:00:00, None, None, None, None
1122.0, None, 2012-01-04 09:00:00, None, None, None, None
1124.0, None, 2012-01-04 10:00:00, None, None, None, None
1127.0, None, 2012-01-04 11:00:00, None, None, None, None
1128.0, None, 2012-01-04 12:00:00, None, None, None, None
1130.0, None, 2012-01-04 13:00:00, None, None, None, None
1132.0, None, 2012-01-04 14:00:00, None, None, None, None
1135.0, None, 2012-01-04 15:00:00, None, None, None, None
1137.0, None, 2012-01-04 16:00:00, None, None, None, None
1140.0, None, 2012-01-04 17:00:00, None, None, None, None
1143.0, None, 2012-01-04 18:00:00, None, None, None, None
1144.0, None, 2012-01-04 19:00:00, None, None, None, None
1144.0, None, 2012-01-04 20:00:00, None, None, None, None
1144.0, None, 2012-01-04 21:00:00, None, None, None, None
1147.0, None, 2012-01-04 22:00:00, None, None, None, None
1147.0, None, 2012-01-04 23:00:00, None, None, None, None
1147.0, None, 2012-01-05 00:00:00, None, None, None, None
1145.0, None, 2012-01-05 01:00:00, None, None, None, None
1143.0, None, 2012-01-05 02:00:00, None, None, None, None
1142.0, None, 2012-01-05 03:00:00, None, None, None, None
1141.0, None, 2012-01-05 04:00:00, None, None, None, None
1141.0, None, 2012-01-05 05:00:00, None, None, None, None
1142.0, None, 2012-01-05 06:00:00, None, None, None, None
1142.0, None, 2012-01-05 07:00:00, None, None, None, None
1142.0, None, 2012-01-05 08:00:00, None, None, None, None
1142.0, None, 2012-01-05 09:00:00, None, None, None, None
1142.0, None, 2012-01-05 10:00:00, None, None, None, None
1142.0, None, 2012-01-05 11:00:00, None, None, None, None
1142.0, None, 2012-01-05 12:00:00, None, None, None, None
1142.0, None, 2012-01-05 13:00:00, None, None, None, None
1142.0, None, 2012-01-05 14:00:00, None, None, None, None
1142.0, None, 2012-01-05 15:00:00, None, None, None, None
1142.0, None, 2012-01-05 16:00:00, None, None, None, None
1142.0, None, 2012-01-05 17:00:00, None, None, None, None
1142.0, None, 2012-01-05 18:00:00, None, None, None, None
1142.0, None, 2012-01-05 19:00:00, None, None, None, None
1142.0, None, 2012-01-05 20:00:00, None, None, None, None
1142.0, None, 2012-01-05 21:00:00, None, None, None, None
1142.0, None, 2012-01-05 22:00:00, None, None, None, None
1142.0, None, 2012-01-05 23:00:00, None, None, None, None
1142.0, None, 2012-01-06 00:00:00, None, None, None, None
