station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, MAX_TEMP
None, 527.0, 946.0, None, None, 2012-01-01 00:00:00, -10.0, None, None
None, 527.0, 946.0, None, None, 2012-01-01 01:00:00, -11.2, None, None
None, 527.0, 947.0, None, None, 2012-01-01 02:00:00, -11.2, None, None
None, 527.0, 948.0, None, None, 2012-01-01 03:00:00, -11.0, None, None
None, 527.0, 948.0, None, None, 2012-01-01 04:00:00, -11.2, None, None
None, 527.0, 949.0, None, None, 2012-01-01 05:00:00, -11.0, None, None
None, 528.0, 949.0, None, None, 2012-01-01 06:00:00, -11.1, None, None
None, 528.0, 949.0, None, None, 2012-01-01 07:00:00, -10.8, None, None
None, 528.0, 949.0, None, None, 2012-01-01 08:00:00, -10.7, None, None
None, 528.0, 949.0, None, None, 2012-01-01 09:00:00, -10.6, None, None
None, 528.0, 950.0, None, None, 2012-01-01 10:00:00, -10.5, None, None
None, 528.0, 950.0, None, None, 2012-01-01 11:00:00, -10.6, None, None
None, 528.0, 951.0, None, None, 2012-01-01 12:00:00, -10.3, None, None
None, 528.0, 953.0, None, None, 2012-01-01 13:00:00, -10.1, None, None
None, 528.0, 953.0, None, None, 2012-01-01 14:00:00, -10.2, None, None
None, 528.0, 955.0, None, None, 2012-01-01 15:00:00, -9.9, None, None
None, 528.0, 955.0, 841.0, None, 2012-01-01 16:00:00, -9.9, None, None
None, 528.0, 955.0, None, None, 2012-01-01 17:00:00, -9.7, None, None
None, 528.0, 955.0, None, None, 2012-01-01 18:00:00, -9.3, None, None
None, 528.0, 956.0, None, None, 2012-01-01 19:00:00, -8.7, None, None
None, 528.0, 958.0, None, None, 2012-01-01 20:00:00, -8.6, None, None
None, 528.0, 961.0, None, None, 2012-01-01 21:00:00, -8.5, None, None
None, 528.0, 965.0, None, None, 2012-01-01 22:00:00, -8.3, None, None
None, 528.0, 968.0, None, None, 2012-01-01 23:00:00, -8.1, None, None
None, 528.0, 971.0, None, None, 2012-01-02 00:00:00, -8.0, None, None
None, 528.0, 975.0, None, None, 2012-01-02 01:00:00, -8.3, None, None
