station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, snw_dpth, MAX_TEMP
None, None, None, 463.0, None, 2012-01-01 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-02 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-03 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-04 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-05 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-06 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-07 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-08 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-09 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-10 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-11 16:00:00, None, None, None, None
None, None, None, 460.0, None, 2012-01-12 16:00:00, None, None, None, None
None, None, None, 460.0, None, 2012-01-13 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-14 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-15 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-16 16:00:00, None, None, None, None
None, None, None, 463.0, None, 2012-01-17 16:00:00, None, None, None, None
None, None, None, 470.0, None, 2012-01-18 16:00:00, None, None, None, None
None, None, None, 479.0, None, 2012-01-19 16:00:00, None, None, None, None
None, None, None, 488.0, None, 2012-01-20 16:00:00, None, None, None, None
None, None, None, 491.0, None, 2012-01-21 16:00:00, None, None, None, None
None, None, None, 491.0, None, 2012-01-22 16:00:00, None, None, None, None
None, None, None, 497.0, None, 2012-01-23 16:00:00, None, None, None, None
None, None, None, 500.0, None, 2012-01-24 16:00:00, None, None, None, None
None, None, None, 500.0, None, 2012-01-25 16:00:00, None, None, None, None
None, None, None, 503.0, None, 2012-01-26 16:00:00, None, None, None, None
None, None, None, 515.0, None, 2012-01-27 16:00:00, None, None, None, None
None, None, None, 515.0, None, 2012-01-28 16:00:00, None, None, None, None
None, None, None, 515.0, None, 2012-01-29 16:00:00, None, None, None, None
None, None, None, 518.0, None, 2012-01-30 16:00:00, None, None, None, None
None, None, None, 518.0, None, 2012-01-31 16:00:00, None, None, None, None
None, None, None, 527.0, None, 2012-02-01 16:00:00, None, None, None, None
None, None, None, 524.0, None, 2012-02-02 16:00:00, None, None, None, None
None, None, None, 537.0, None, 2012-02-03 16:00:00, None, None, None, None
None, None, None, 540.0, None, 2012-02-04 16:00:00, None, None, None, None
None, None, None, 540.0, None, 2012-02-05 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-06 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-07 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-08 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-09 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-10 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-11 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-12 16:00:00, None, None, None, None
None, None, None, 546.0, None, 2012-02-13 16:00:00, None, None, None, None
None, None, None, 546.0, None, 2012-02-14 16:00:00, None, None, None, None
None, None, None, 546.0, None, 2012-02-15 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-16 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-17 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-18 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-19 16:00:00, None, None, None, None
None, None, None, 543.0, None, 2012-02-20 16:00:00, None, None, None, None
None, None, None, 552.0, None, 2012-02-21 16:00:00, None, None, None, None
None, None, None, 555.0, None, 2012-02-22 16:00:00, None, None, None, None
None, None, None, 561.0, None, 2012-02-23 16:00:00, None, None, None, None
None, None, None, 567.0, None, 2012-02-24 16:00:00, None, None, None, None
None, None, None, 567.0, None, 2012-02-25 16:00:00, None, None, None, None
None, None, None, 579.0, None, 2012-02-26 16:00:00, None, None, None, None
None, None, None, 607.0, None, 2012-02-27 16:00:00, None, None, None, None
None, None, None, 607.0, None, 2012-02-28 16:00:00, None, None, None, None
None, None, None, 610.0, None, 2012-02-29 16:00:00, None, None, None, None
