RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, -6999.0, None, None, -6999.0, 10.0, None, None, -6999.0, None, None, 29.0, None, None, None, 9.97, None, 15.2, -6999.0, None, None, -6999.0, 10.0, 0.0, -1.0,2020-07-01 00:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 8.5, None, None, -6999.0, None, None, 29.0, None, None, None, 8.49, None, 15.2, -6999.0, None, None, -6999.0, 8.5, 0.0, 0.0,2020-07-01 01:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 7.5, None, None, -6999.0, None, None, 29.0, None, None, None, 7.56, None, 15.2, -6999.0, None, None, -6999.0, 7.6, 0.0, 0.0,2020-07-01 02:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 6.5, None, None, -6999.0, None, None, 29.0, None, None, None, 6.501, None, 15.2, -6999.0, None, None, -6999.0, 6.5, 0.0, -1.0,2020-07-01 03:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 6.3, None, None, -6999.0, None, None, 30.0, None, None, None, 6.261, None, 15.2, -6999.0, None, None, -6999.0, 6.3, 0.0, 1.0,2020-07-01 04:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.9, None, None, -6999.0, None, None, 30.0, None, None, None, 5.934, None, 15.2, -6999.0, None, None, -6999.0, 5.9, 0.0, 0.0,2020-07-01 05:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 29.0, None, None, None, 5.588, None, 15.2, -6999.0, None, None, -6999.0, 5.6, 0.0, 0.0,2020-07-01 06:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 30.0, None, None, None, 6.06, None, 6.1, -6999.0, None, None, -6999.0, 6.1, 0.0, 1.0,2020-07-01 07:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 30.0, None, None, None, 6.59, None, 6.7, -6999.0, None, None, -6999.0, 6.6, 0.0, 0.0,2020-07-01 08:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 30.0, None, None, None, 6.927, None, 7.0, -6999.0, None, None, -6999.0, 6.9, 0.0, 0.0,2020-07-01 09:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 29.0, None, None, None, 8.68, None, 9.2, -6999.0, None, None, -6999.0, 8.7, 0.0, -1.0,2020-07-01 10:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 29.0, None, None, None, 9.34, None, 9.6, -6999.0, None, None, -6999.0, 9.3, 0.0, 0.0,2020-07-01 11:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 30.0, None, None, None, 10.23, None, 10.9, -6999.0, None, None, -6999.0, 10.2, 0.0, 1.0,2020-07-01 12:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 30.0, None, None, None, 12.9, None, 13.4, -6999.0, None, None, -6999.0, 12.9, 0.0, -1.0,2020-07-01 13:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 29.0, None, None, None, 13.21, None, 13.4, -6999.0, None, None, -6999.0, 13.2, 0.0, -1.0,2020-07-01 14:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 28.0, None, None, None, 14.9, None, 15.2, -6999.0, None, None, -6999.0, 14.9, 0.0, -1.0,2020-07-01 15:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 27.0, None, None, None, 16.65, None, 16.9, -6999.0, None, None, -6999.0, 16.7, 0.0, -1.0,2020-07-01 16:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 29.0, None, None, None, 16.83, None, 17.9, -6999.0, None, None, -6999.0, 16.8, 0.0, 2.0,2020-07-01 17:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 5.6, None, None, -6999.0, None, None, 28.0, None, None, None, 15.53, None, 17.9, -6999.0, None, None, -6999.0, 15.5, 0.0, -1.0,2020-07-01 18:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 15.3, None, None, -6999.0, None, None, 29.0, None, None, None, 15.36, None, 15.6, -6999.0, None, None, -6999.0, 15.4, 0.0, 1.0,2020-07-01 19:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 14.1, None, None, -6999.0, None, None, 30.0, None, None, None, 14.14, None, 15.6, -6999.0, None, None, -6999.0, 14.1, 0.0, 1.0,2020-07-01 20:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 14.1, None, None, -6999.0, None, None, 29.0, None, None, None, 14.44, None, 15.6, -6999.0, None, None, -6999.0, 14.4, 0.0, -1.0,2020-07-01 21:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 13.1, None, None, -6999.0, None, None, 30.0, None, None, None, 13.07, None, 15.6, -6999.0, None, None, -6999.0, 13.1, 0.0, 1.0,2020-07-01 22:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 12.2, None, None, -6999.0, None, None, 31.0, None, None, None, 12.22, None, 15.6, -6999.0, None, None, -6999.0, 12.2, 0.0, 1.0,2020-07-01 23:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 11.5, None, None, -6999.0, None, None, 30.0, None, None, None, 11.45, None, 15.6, -6999.0, None, None, -6999.0, 11.5, 0.0, 0.0,2020-07-02 00:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 11.1, None, None, -6999.0, None, None, 30.0, None, None, None, 11.45, None, 15.6, -6999.0, None, None, -6999.0, 11.5, 0.0, 0.0,2020-07-02 01:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 11.1, None, None, -6999.0, None, None, 29.0, None, None, None, 11.89, None, 15.6, -6999.0, None, None, -6999.0, 11.9, 0.0, -2.0,2020-07-02 02:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 11.1, None, None, -6999.0, None, None, 29.0, None, None, None, 11.28, None, 15.6, -6999.0, None, None, -6999.0, 11.3, 0.0, 0.0,2020-07-02 03:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 11.0, None, None, -6999.0, None, None, 30.0, None, None, None, 11.41, None, 15.6, -6999.0, None, None, -6999.0, 11.4, 0.0, 1.0,2020-07-02 04:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 11.0, None, None, -6999.0, None, None, 30.0, None, None, None, 12.05, None, 15.6, -6999.0, None, None, -6999.0, 12.1, 0.0, 0.0,2020-07-02 05:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 11.0, None, None, -6999.0, None, None, 30.0, None, None, None, 11.87, None, 15.6, -6999.0, None, None, -6999.0, 11.9, 0.0, 0.0,2020-07-02 06:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 10.9, None, None, -6999.0, None, None, 29.0, None, None, None, 10.95, None, 12.4, -6999.0, None, None, -6999.0, 11.0, 0.0, -1.0,2020-07-02 07:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 10.0, None, None, -6999.0, None, None, 29.0, None, None, None, 9.96, None, 12.4, -6999.0, None, None, -6999.0, 10.0, 0.0, 0.0,2020-07-02 08:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 9.7, None, None, -6999.0, None, None, 31.0, None, None, None, 9.89, None, 12.4, -6999.0, None, None, -6999.0, 9.9, 0.0, 2.0,2020-07-02 09:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 9.7, None, None, -6999.0, None, None, 30.0, None, None, None, 10.25, None, 12.4, -6999.0, None, None, -6999.0, 10.3, 0.0, -1.0,2020-07-02 10:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 9.7, None, None, -6999.0, None, None, 29.0, None, None, None, 9.86, None, 12.4, -6999.0, None, None, -6999.0, 9.9, 0.0, -1.0,2020-07-02 11:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 9.7, None, None, -6999.0, None, None, 31.0, None, None, None, 9.84, None, 12.4, -6999.0, None, None, -6999.0, 9.8, 0.0, 2.0,2020-07-02 12:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 9.6, None, None, -6999.0, None, None, 30.0, None, None, None, 9.85, None, 12.4, -6999.0, None, None, -6999.0, 9.9, 0.0, -1.0,2020-07-02 13:00:00, -6999.0,27
None, None, None, -6999.0, None, None, -6999.0, 9.6, None, None, -6999.0, None, None, 31.0, None, None, None, 10.22, None, 12.4, -6999.0, None, None, -6999.0, 10.2, 0.0, 1.0,2020-07-02 14:00:00, -6999.0,27
