station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
214.2, 8.1, None, None, None, 2020-04-24 03:00:00, 88.0, None
257.6, 7.9, None, None, None, 2020-04-24 04:00:00, 87.2, None
331.7, 7.1, None, None, None, 2020-04-24 05:00:00, 87.3, None
343.8, 6.9, None, None, None, 2020-04-24 06:00:00, 87.7, None
24.1, 7.8, None, None, None, 2020-04-24 07:00:00, 85.8, None
75.3, 8.9, None, None, None, 2020-04-24 08:00:00, 83.3, None
76.2, 9.1, None, None, None, 2020-04-24 09:00:00, 84.0, None
98.4, 9.9, None, None, None, 2020-04-24 10:00:00, 80.9, None
106.1, 10.4, None, None, None, 2020-04-24 11:00:00, 78.4, None
99.5, 10.8, None, None, None, 2020-04-24 12:00:00, 75.9, None
96.5, 11.7, None, None, None, 2020-04-24 13:00:00, 71.8, None
121.6, 12.5, None, None, None, 2020-04-24 14:00:00, 70.4, None
114.4, 12.9, None, None, None, 2020-04-24 15:00:00, 69.2, None
108.3, 13.2, None, None, None, 2020-04-24 16:00:00, 67.7, None
104.5, 13.8, None, None, None, 2020-04-24 17:00:00, 64.7, None
46.8, 13.3, None, None, None, 2020-04-24 18:00:00, 67.2, None
17.6, 12.4, None, None, None, 2020-04-24 19:00:00, 72.2, None
29.9, 11.5, None, None, None, 2020-04-24 20:00:00, 74.8, None
28.7, 11.1, None, None, None, 2020-04-24 21:00:00, 77.2, None
52.6, 10.9, None, None, None, 2020-04-24 22:00:00, 80.8, None
50.8, 11.0, None, None, None, 2020-04-24 23:00:00, 80.4, None
21.3, 10.5, None, None, None, 2020-04-25 00:00:00, 84.1, None
12.2, 10.2, None, None, None, 2020-04-25 01:00:00, 87.0, None
86.7, 10.0, None, None, None, 2020-04-25 02:00:00, 87.7, None
65.9, 9.6, None, None, None, 2020-04-25 03:00:00, 88.9, None
2.0, 9.6, None, None, None, 2020-04-25 04:00:00, 89.7, None
294.8, 9.7, None, None, None, 2020-04-25 05:00:00, 90.5, None
168.8, 9.8, None, None, None, 2020-04-25 06:00:00, 90.2, None
130.8, 9.7, None, None, None, 2020-04-25 07:00:00, 91.5, None
122.1, 9.6, None, None, None, 2020-04-25 08:00:00, 93.8, None
133.9, 10.0, None, None, None, 2020-04-25 09:00:00, 94.0, None
199.0, 10.2, None, None, None, 2020-04-25 10:00:00, 92.6, None
260.2, 11.9, None, None, None, 2020-04-25 11:00:00, 77.7, None
270.2, 13.2, None, None, None, 2020-04-25 12:00:00, 59.9, None
264.9, 13.7, None, None, None, 2020-04-25 13:00:00, 57.5, None
256.6, 13.7, None, None, None, 2020-04-25 14:00:00, 56.1, None
262.2, 13.5, None, None, None, 2020-04-25 15:00:00, 59.7, None
264.4, 13.3, None, None, None, 2020-04-25 16:00:00, 58.7, None
253.3, 12.8, None, None, None, 2020-04-25 17:00:00, 59.2, None
271.4, 12.0, None, None, None, 2020-04-25 18:00:00, 66.8, None
283.9, 10.7, None, None, None, 2020-04-25 19:00:00, 76.8, None
289.2, 10.3, None, None, None, 2020-04-25 20:00:00, 77.9, None
277.5, 10.1, None, None, None, 2020-04-25 21:00:00, 75.5, None
266.6, 10.1, None, None, None, 2020-04-25 22:00:00, 72.2, None
279.1, 9.7, None, None, None, 2020-04-25 23:00:00, 75.9, None
285.2, 9.4, None, None, None, 2020-04-26 00:00:00, 78.5, None
278.6, 9.3, None, None, None, 2020-04-26 01:00:00, 79.1, None
278.7, 9.5, None, None, None, 2020-04-26 02:00:00, 75.6, None
277.3, 9.6, None, None, None, 2020-04-26 03:00:00, 73.8, None
264.7, 9.3, None, None, None, 2020-04-26 04:00:00, 75.0, None
173.2, 8.9, None, None, None, 2020-04-26 05:00:00, 80.0, None
150.0, 8.4, None, None, None, 2020-04-26 06:00:00, 89.2, None
121.9, 9.2, None, None, None, 2020-04-26 07:00:00, 84.8, None
117.7, 9.6, None, None, None, 2020-04-26 08:00:00, 82.1, None
119.9, 9.9, None, None, None, 2020-04-26 09:00:00, 80.9, None
113.1, 10.2, None, None, None, 2020-04-26 10:00:00, 76.1, None
107.0, 10.6, None, None, None, 2020-04-26 11:00:00, 75.1, None
112.7, 10.8, None, None, None, 2020-04-26 12:00:00, 73.9, None
112.8, 11.7, None, None, None, 2020-04-26 13:00:00, 67.1, None
109.6, 12.6, None, None, None, 2020-04-26 14:00:00, 61.4, None
116.5, 12.7, None, None, None, 2020-04-26 15:00:00, 59.1, None
114.5, 13.2, None, None, None, 2020-04-26 16:00:00, 54.1, None
112.5, 13.1, None, None, None, 2020-04-26 17:00:00, 53.4, None
80.5, 13.2, None, None, None, 2020-04-26 18:00:00, 53.7, None
331.3, 13.1, None, None, None, 2020-04-26 19:00:00, 53.8, None
308.5, 12.8, None, None, None, 2020-04-26 20:00:00, 57.6, None
346.5, 11.3, None, None, None, 2020-04-26 21:00:00, 65.8, None
26.7, 9.6, None, None, None, 2020-04-26 22:00:00, 84.4, None
339.9, 8.9, None, None, None, 2020-04-26 23:00:00, 91.3, None
342.5, 8.7, None, None, None, 2020-04-27 00:00:00, 92.9, None
346.9, 8.6, None, None, None, 2020-04-27 01:00:00, 93.5, None
72.5, 8.5, None, None, None, 2020-04-27 02:00:00, 93.4, None
120.8, 8.4, None, None, None, 2020-04-27 03:00:00, 93.3, None
120.2, 8.5, None, None, None, 2020-04-27 04:00:00, 93.6, None
205.6, 8.8, None, None, None, 2020-04-27 05:00:00, 91.7, None
279.6, 9.9, None, None, None, 2020-04-27 06:00:00, 78.5, None
268.5, 10.6, None, None, None, 2020-04-27 07:00:00, 72.4, None
274.3, 11.4, None, None, None, 2020-04-27 08:00:00, 68.3, None
261.5, 12.1, None, None, None, 2020-04-27 09:00:00, 65.0, None
262.2, 12.7, None, None, None, 2020-04-27 10:00:00, 61.3, None
264.7, 12.5, None, None, None, 2020-04-27 11:00:00, 62.7, None
250.5, 12.0, None, None, None, 2020-04-27 12:00:00, 66.9, None
259.9, 12.7, None, None, None, 2020-04-27 13:00:00, 63.6, None
263.1, 13.6, None, None, None, 2020-04-27 14:00:00, 58.7, None
264.0, 13.7, None, None, None, 2020-04-27 15:00:00, 57.7, None
263.4, 13.1, None, None, None, 2020-04-27 16:00:00, 58.8, None
269.8, 13.0, None, None, None, 2020-04-27 17:00:00, 56.9, None
279.3, 12.9, None, None, None, 2020-04-27 18:00:00, 55.3, None
