CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
1.048, None, None, None,14.47,19.47,255.4, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 00:00:00, None, None, None, None,24
0.194, None, None, None,12.79,20.51,248.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 01:00:00, None, None, None, None,24
0.421, None, None, None,11.71,20.85,249.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 02:00:00, None, None, None, None,24
0.023, None, None, None,9.99,23.18,243.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 03:00:00, None, None, None, None,24
-0.281, None, None, None,10.17,27.43,246.8, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 04:00:00, None, None, None, None,24
-0.195, None, None, None,12.28,31.46,247.0, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 05:00:00, None, None, None, None,24
-0.092, None, None, None,10.82,23.68,246.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 06:00:00, None, None, None, None,24
-0.158, None, None, None,12.14,17.4,241.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 07:00:00, None, None, None, None,24
0.193, None, None, None,15.7,16.6,226.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 08:00:00, None, None, None, None,24
0.442, None, None, None,22.85,9.22,214.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 09:00:00, None, None, None, None,24
1.22, None, None, None,27.75,7.61,233.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 10:00:00, None, None, None, None,24
1.103, None, None, None,47.21,4.412,242.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 11:00:00, None, None, None, None,24
1.836, None, None, None,21.71,13.95,235.2, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 12:00:00, None, None, None, None,24
2.625, None, None, None,21.21,15.81,240.6, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 13:00:00, None, None, None, None,24
3.043, None, None, None,19.02,20.35,235.4, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 14:00:00, None, None, None, None,24
4.599, None, None, None,26.19,17.9,246.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 15:00:00, None, None, None, None,24
4.572, None, None, None,22.87,20.93,257.4, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 16:00:00, None, None, None, None,24
3.465, None, None, None,15.33,26.97,244.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 17:00:00, None, None, None, None,24
3.367, None, None, None,13.05,30.22,245.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 18:00:00, None, None, None, None,24
3.253, None, None, None,12.21,28.83,249.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 19:00:00, None, None, None, None,24
3.714, None, None, None,13.12,29.07,250.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 20:00:00, None, None, None, None,24
2.842, None, None, None,10.26,26.5,259.0, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 21:00:00, None, None, None, None,24
2.994, None, None, None,9.7,26.0,260.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 22:00:00, None, None, None, None,24
2.719, None, None, None,14.41,20.14,261.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-11 23:00:00, None, None, None, None,24
2.357, None, None, None,10.19,13.71,236.8, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 00:00:00, None, None, None, None,24
2.015, None, None, None,14.89,10.67,248.4, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 01:00:00, None, None, None, None,24
1.626, None, None, None,51.12,4.54,305.2, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 02:00:00, None, None, None, None,24
1.559, None, None, None,53.51,2.283,268.0, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 03:00:00, None, None, None, None,24
1.426, None, None, None,62.65,0.838,204.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 04:00:00, None, None, None, None,24
0.62, None, None, None,20.33,4.864,232.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 05:00:00, None, None, None, None,24
0.979, None, None, None,11.33,3.389,222.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 06:00:00, None, None, None, None,24
2.736, None, None, None,61.41,1.383,268.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 07:00:00, None, None, None, None,24
6.554, None, None, None,21.74,4.633,190.8, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 09:00:00, None, None, None, None,24
4.943, None, None, None,35.22,5.759,158.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 10:00:00, None, None, None, None,24
4.868, None, None, None,24.09,7.19,136.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 11:00:00, None, None, None, None,24
8.23, None, None, None,40.18,4.865,192.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 12:00:00, None, None, None, None,24
8.22, None, None, None,37.59,6.978,185.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 13:00:00, None, None, None, None,24
8.2, None, None, None,60.76,2.819,175.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 14:00:00, None, None, None, None,24
9.56, None, None, None,57.13,2.418,264.2, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 15:00:00, None, None, None, None,24
10.71, None, None, None,46.57,4.775,201.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 16:00:00, None, None, None, None,24
10.7, None, None, None,53.46,3.363,223.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 17:00:00, None, None, None, None,24
10.94, None, None, None,55.74,3.028,195.4, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 18:00:00, None, None, None, None,24
10.33, None, None, None,42.93,3.71,226.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 19:00:00, None, None, None, None,24
9.83, None, None, None,21.95,5.504,216.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 20:00:00, None, None, None, None,24
7.66, None, None, None,11.07,13.54,218.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 21:00:00, None, None, None, None,24
6.75, None, None, None,9.57,14.8,214.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 22:00:00, None, None, None, None,24
6.237, None, None, None,11.24,11.41,217.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-12 23:00:00, None, None, None, None,24
5.976, None, None, None,11.61,7.92,229.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 00:00:00, None, None, None, None,24
5.411, None, None, None,39.4,4.326,193.8, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 01:00:00, None, None, None, None,24
4.773, None, None, None,20.49,9.67,192.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 02:00:00, None, None, None, None,24
4.386, None, None, None,11.33,10.32,202.2, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 03:00:00, None, None, None, None,24
4.186, None, None, None,8.0,6.476,213.6, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 04:00:00, None, None, None, None,24
3.976, None, None, None,5.026,6.285,218.2, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 05:00:00, None, None, None, None,24
4.062, None, None, None,5.611,3.785,219.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 06:00:00, None, None, None, None,24
4.405, None, None, None,10.74,3.253,222.4, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 07:00:00, None, None, None, None,24
4.86, None, None, None,24.25,2.545,181.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 08:00:00, None, None, None, None,24
5.622, None, None, None,61.61,0.544,45.16, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 09:00:00, None, None, None, None,24
7.21, None, None, None,57.81,0.914,220.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 10:00:00, None, None, None, None,24
7.47, None, None, None,42.56,3.299,209.3, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 11:00:00, None, None, None, None,24
8.49, None, None, None,52.3,2.955,218.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 12:00:00, None, None, None, None,24
9.1, None, None, None,31.84,8.65,212.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 13:00:00, None, None, None, None,24
9.45, None, None, None,31.59,8.98,215.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 14:00:00, None, None, None, None,24
9.62, None, None, None,33.85,10.41,210.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 15:00:00, None, None, None, None,24
8.61, None, None, None,35.7,10.97,219.6, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 16:00:00, None, None, None, None,24
7.52, None, None, None,27.52,16.61,233.6, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 17:00:00, None, None, None, None,24
7.47, None, None, None,24.29,17.01,232.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 18:00:00, None, None, None, None,24
6.836, None, None, None,19.39,18.29,244.6, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 19:00:00, None, None, None, None,24
5.94, None, None, None,13.72,20.61,238.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 20:00:00, None, None, None, None,24
5.661, None, None, None,13.49,18.14,241.8, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 21:00:00, None, None, None, None,24
5.113, None, None, None,13.5,14.2,245.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 22:00:00, None, None, None, None,24
4.779, None, None, None,15.07,13.08,240.5, None, None, None, None, None, None, None, None, None, None, None,2018-06-13 23:00:00, None, None, None, None,24
4.448, None, None, None,11.06,15.97,234.7, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 00:00:00, None, None, None, None,24
4.394, None, None, None,11.28,14.33,241.6, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 01:00:00, None, None, None, None,24
4.319, None, None, None,16.89,13.39,243.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 02:00:00, None, None, None, None,24
4.367, None, None, None,18.89,18.51,237.9, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 03:00:00, None, None, None, None,24
3.728, None, None, None,13.97,22.73,230.0, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 04:00:00, None, None, None, None,24
3.604, None, None, None,12.37,26.55,230.8, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 05:00:00, None, None, None, None,24
3.489, None, None, None,12.02,20.19,233.1, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 06:00:00, None, None, None, None,24
3.375, None, None, None,16.15,12.18,225.2, None, None, None, None, None, None, None, None, None, None, None,2018-06-14 07:00:00, None, None, None, None,24
