ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
0.0,0.0,3.5,0.0,2016-04-01,0.0,20.5,14,,,,,,
0.0,0.0,5.5,0.0,2016-04-02,0.0,21.5,14,,,,,,
0.4,0.4,7.5,0.0,2016-04-03,0.0,19.0,14,,,,,,
3.2,3.2,7.5,0.0,2016-04-04,0.0,11.0,14,,,,,,
0.2,0.2,4.5,0.0,2016-04-05,0.0,11.5,14,,,,,,
0.0,0.0,7.5,0.0,2016-04-06,0.0,15.5,14,,,,,,
0.0,0.0,3.0,0.0,2016-04-07,0.0,21.0,14,,,,,,
,,,,2016-04-01 00:00:00,,,14,, None,0.818692, None,66.1611,8.81986
,,,,2016-04-01 01:00:00,,,14,, None,0.855548, None,71.6632,7.42278
,,,,2016-04-01 02:00:00,,,14,, None,0.602387, None,74.776,6.48847
,,,,2016-04-01 03:00:00,,,14,, None,0.655605, None,76.6493,5.82181
,,,,2016-04-01 04:00:00,,,14,, None,0.757358, None,80.2146,4.82924
,,,,2016-04-01 05:00:00,,,14,, None,0.353632, None,81.3646,4.36729
,,,,2016-04-01 06:00:00,,,14,, None,0.503054, None,83.0771,3.79069
,,,,2016-04-01 07:00:00,,,14,, None,0.611778, None,80.0281,4.68965
,,,,2016-04-01 08:00:00,,,14,, None,0.383379, None,67.933,8.36555
,,,,2016-04-01 09:00:00,,,14,, None,0.577201, None,59.6354,10.5897
,,,,2016-04-01 10:00:00,,,14,, None,0.461077, None,50.7983,13.0167
,,,,2016-04-01 11:00:00,,,14,, None,0.796778, None,44.2701,15.0088
,,,,2016-04-01 12:00:00,,,14,, None,1.00099, None,40.7257,16.8172
,,,,2016-04-01 13:00:00,,,14,, None,1.28403, None,38.8819,18.0081
,,,,2016-04-01 14:00:00,,,14,, None,1.53862, None,37.7802,18.8645
,,,,2016-04-01 15:00:00,,,14,, None,1.69003, None,35.5236,20.0258
,,,,2016-04-01 16:00:00,,,14,, None,1.82579, None,33.8955,20.6237
,,,,2016-04-01 17:00:00,,,14,, None,1.64193, None,33.1264,20.8328
,,,,2016-04-01 18:00:00,,,14,, None,1.52894, None,36.9285,19.587
,,,,2016-04-01 19:00:00,,,14,, None,0.602388, None,42.9066,17.3631
,,,,2016-04-01 20:00:00,,,14,, None,0.737438, None,55.174,14.6726
,,,,2016-04-01 21:00:00,,,14,, None,1.25828, None,64.6392,12.5477
,,,,2016-04-01 22:00:00,,,14,, None,0.716516, None,67.2913,11.3327
,,,,2016-04-01 23:00:00,,,14,, None,0.75252, None,67.1035,10.7517
,,,,2016-04-02 00:00:00,,,14,, None,0.701287, None,69.5403,9.69986
,,,,2016-04-02 01:00:00,,,14,, None,1.073, None,73.6375,8.40375
,,,,2016-04-02 02:00:00,,,14,, None,0.673968, None,76.2042,7.55798
,,,,2016-04-02 03:00:00,,,14,, None,0.826379, None,79.1288,6.60708
,,,,2016-04-02 04:00:00,,,14,, None,0.897387, None,80.8674,5.91028
,,,,2016-04-02 05:00:00,,,14,, None,0.683503, None,81.0927,5.62667
,,,,2016-04-02 06:00:00,,,14,, None,0.71253, None,83.2517,5.1709
,,,,2016-04-02 07:00:00,,,14,, None,0.488543, None,77.0656,6.75604
,,,,2016-04-02 08:00:00,,,14,, None,0.457946, None,65.9003,9.66847
