station_observations
TempC, SolarRadiationWm, RH, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
-0.704, 0.625, 44.8, 1.259, 910.85, 0.0, 7.303, 2016-01-01 00:00:00, 251.302, -11.2
-1.441, 0.625, 40.9, 1.511, 911.05, 0.0, 4.533, 2016-01-01 01:00:00, 249.898, -13.0
-6.706, 0.625, 51.8, 0.252, 910.85, 0.0, 1.763, 2016-01-01 02:00:00, 213.396, -15.0
-2.218, 0.625, 62.1, 0.504, 910.55, 0.0, 3.525, 2016-01-01 03:00:00, 245.686, -8.5
-0.255, 0.625, 39.6, 2.266, 910.45, 0.0, 6.295, 2016-01-01 04:00:00, 237.263, -12.3
-1.242, 0.625, 37.5, 1.763, 910.25, 0.0, 4.533, 2016-01-01 05:00:00, 220.416, -13.9
-5.079, 0.625, 46.5, 0.504, 909.95, 0.0, 3.777, 2016-01-01 06:00:00, 227.435, -14.8
-0.199, 0.625, 41.9, 1.259, 909.95, 0.0, 4.784, 2016-01-01 07:00:00, 221.82, -11.6
-2.218, 5.625, 43.0, 1.007, 910.15, 0.0, 4.784, 2016-01-01 08:00:00, 228.839, -13.1
-0.451, 25.625, 41.0, 1.007, 910.35, 0.0, 3.274, 2016-01-01 09:00:00, 241.475, -12.1
0.852, 38.125, 36.6, 1.763, 910.75, 0.0, 5.288, 2016-01-01 10:00:00, 272.361, -12.3
2.797, 144.375, 32.2, 2.77, 910.75, 0.0, 7.303, 2016-01-01 11:00:00, 240.071, -12.2
4.558, 198.125, 28.0, 3.274, 910.75, 0.0, 7.806, 2016-01-01 12:00:00, 230.243, -12.4
4.818, 108.125, 26.2, 2.77, 910.95, 0.0, 7.051, 2016-01-01 13:00:00, 224.627, -13.0
4.532, 80.625, 26.6, 3.022, 910.65, 0.4, 8.31, 2016-01-01 14:00:00, 227.435, -13.0
3.248, 28.125, 27.9, 2.266, 910.45, 0.2, 6.044, 2016-01-01 15:00:00, 234.455, -13.5
-0.088, 0.625, 30.8, 1.007, 910.35, 0.0, 3.525, 2016-01-01 16:00:00, 230.243, -15.3
-0.591, 0.625, 41.5, 0.504, 910.55, 0.0, 3.022, 2016-01-01 17:00:00, 230.243, -12.1
-4.773, 0.625, 43.2, 0.252, 910.25, 0.0, 3.525, 2016-01-01 18:00:00, 310.267, -15.4
-7.935, 0.625, 59.3, 0.0, 910.55, 0.0, 1.511, 2016-01-01 19:00:00, 300.439, -14.5
-10.231, 0.625, 69.6, 0.0, 910.95, 0.0, 1.511, 2016-01-01 20:00:00, 228.839, -14.7
-10.266, 0.625, 72.1, 0.252, 911.05, 0.0, 1.511, 2016-01-01 21:00:00, 228.839, -14.3
-11.076, 0.625, 72.6, 0.504, 910.55, 0.0, 1.763, 2016-01-01 22:00:00, 228.839, -15.0
-12.825, 0.625, 77.8, 0.0, 910.55, 0.0, 0.504, 2016-01-01 23:00:00, 228.839, -15.9
-13.888, 0.625, 79.6, 0.0, 910.65, 0.0, 0.755, 2016-01-02 00:00:00, 228.839, -16.7
-15.064, 0.625, 80.0, 0.0, 910.65, 0.0, 1.007, 2016-01-02 01:00:00, 228.839, -17.8
-15.628, 0.625, 81.8, 0.0, 910.55, 0.0, 0.755, 2016-01-02 02:00:00, 228.839, -18.0
-16.576, 0.625, 84.2, 0.0, 910.65, 0.0, 0.504, 2016-01-02 03:00:00, 228.839, -18.6
-16.744, 0.625, 84.6, 0.0, 910.65, 0.0, 1.007, 2016-01-02 04:00:00, 228.839, -18.7
-17.553, 0.625, 85.3, 0.0, 910.35, 0.0, 1.007, 2016-01-02 05:00:00, 228.839, -19.4
-17.125, 0.625, 86.4, 0.0, 910.45, 0.0, 1.259, 2016-01-02 06:00:00, 223.224, -18.9
-17.813, 0.625, 86.0, 0.0, 910.45, 0.0, 1.007, 2016-01-02 07:00:00, 219.012, -19.6
-17.125, 1.875, 86.9, 0.0, 910.15, 0.0, 1.259, 2016-01-02 08:00:00, 219.012, -18.8
-16.618, 13.125, 87.2, 0.0, 909.95, 0.0, 1.007, 2016-01-02 09:00:00, 219.012, -18.3
-12.788, 33.125, 85.3, 0.0, 909.35, 0.0, 0.755, 2016-01-02 10:00:00, 219.012, -14.8
-9.269, 94.375, 74.2, 0.0, 908.45, 0.0, 0.755, 2016-01-02 11:00:00, 219.012, -13.0
-3.777, 205.625, 64.1, 0.252, 907.85, 0.0, 1.511, 2016-01-02 12:00:00, 219.012, -9.6
-0.676, 103.125, 54.1, 0.0, 907.45, 0.0, 1.007, 2016-01-02 13:00:00, 219.012, -8.8
-0.958, 69.375, 50.5, 0.0, 907.05, 0.0, 1.259, 2016-01-02 14:00:00, 235.859, -9.9
-2.334, 11.875, 45.4, 0.504, 906.85, 0.0, 3.022, 2016-01-02 15:00:00, 244.282, -12.5
-7.219, 0.625, 57.1, 0.252, 906.75, 0.0, 2.266, 2016-01-02 16:00:00, 235.859, -14.3
-9.713, 0.625, 73.9, 0.0, 906.85, 0.0, 0.252, 2016-01-02 17:00:00, 238.667, -13.5
-12.196, 0.625, 79.3, 0.0, 906.85, 0.0, 0.504, 2016-01-02 18:00:00, 238.667, -15.1
-12.306, 0.625, 84.0, 0.0, 906.85, 0.0, 0.504, 2016-01-02 19:00:00, 238.667, -14.5
-12.233, 0.625, 83.7, 0.0, 906.55, 0.0, 1.007, 2016-01-02 20:00:00, 238.667, -14.4
-14.628, 0.625, 85.4, 0.0, 906.25, 0.0, 0.755, 2016-01-02 21:00:00, 238.667, -16.6
-15.506, 0.625, 87.2, 0.0, 906.15, 0.0, 0.755, 2016-01-02 22:00:00, 238.667, -17.2
-16.451, 0.625, 89.0, 0.0, 905.75, 0.0, 0.252, 2016-01-02 23:00:00, 238.667, -17.9
-16.409, 0.625, 88.9, 0.0, 905.35, 0.0, 1.007, 2016-01-03 00:00:00, 238.667, -17.8
-16.243, 0.625, 89.1, 0.0, 905.05, 0.0, 0.504, 2016-01-03 01:00:00, 238.667, -17.6
-16.997, 0.625, 89.8, 0.0, 904.85, 0.0, 0.755, 2016-01-03 02:00:00, 238.667, -18.3
-16.618, 0.625, 90.6, 0.0, 904.35, 0.0, 1.007, 2016-01-03 03:00:00, 238.667, -17.8
-16.534, 0.625, 90.8, 0.0, 904.05, 0.0, 0.755, 2016-01-03 04:00:00, 238.667, -17.7
-16.87, 0.625, 90.3, 0.0, 903.65, 0.0, 1.007, 2016-01-03 05:00:00, 238.667, -18.1
-18.208, 0.625, 90.2, 0.0, 903.35, 0.0, 1.007, 2016-01-03 06:00:00, 238.667, -19.4
-19.607, 0.625, 90.8, 0.0, 903.45, 0.0, 1.007, 2016-01-03 07:00:00, 238.667, -20.8
-19.469, 0.625, 91.2, 0.0, 903.65, 0.0, 0.252, 2016-01-03 08:00:00, 238.667, -20.6
-16.409, 11.875, 91.1, 0.252, 903.45, 0.0, 1.007, 2016-01-03 09:00:00, 238.667, -17.5
-14.984, 26.875, 89.8, 0.0, 903.35, 0.0, 0.755, 2016-01-03 10:00:00, 238.667, -16.3
-10.371, 78.125, 82.7, 0.0, 902.65, 0.0, 0.755, 2016-01-03 11:00:00, 238.667, -12.8
-5.326, 206.875, 70.8, 0.0, 901.85, 0.0, 0.755, 2016-01-03 12:00:00, 238.667, -9.8
-4.076, 110.625, 61.5, 0.0, 901.45, 0.0, 1.007, 2016-01-03 13:00:00, 238.667, -10.4
-1.756, 90.625, 55.1, 0.0, 900.95, 0.0, 1.763, 2016-01-03 14:00:00, 234.455, -9.6
-5.948, 11.875, 58.3, 0.0, 900.85, 0.0, 0.504, 2016-01-03 15:00:00, 230.243, -12.8
-9.851, 0.625, 71.9, 0.0, 900.85, 0.0, 0.504, 2016-01-03 16:00:00, 230.243, -14.0
-12.676, 0.625, 80.5, 0.0, 901.25, 0.0, 0.0, 2016-01-03 17:00:00, 230.243, -15.3
-13.696, 0.625, 83.2, 0.0, 901.35, 0.0, 0.755, 2016-01-03 18:00:00, 230.243, -15.9
-14.786, 0.625, 85.3, 0.0, 901.55, 0.0, 1.007, 2016-01-03 19:00:00, 230.243, -16.7
-15.628, 0.625, 87.6, 0.0, 901.55, 0.0, 0.504, 2016-01-03 20:00:00, 230.243, -17.2
-15.996, 0.625, 89.0, 0.0, 901.55, 0.0, 0.755, 2016-01-03 21:00:00, 230.243, -17.4
-16.576, 0.625, 89.8, 0.0, 901.65, 0.0, 0.755, 2016-01-03 22:00:00, 230.243, -17.9
-17.125, 0.625, 90.5, 0.252, 901.95, 0.0, 1.007, 2016-01-03 23:00:00, 230.243, -18.3
-18.474, 0.625, 91.0, 0.0, 902.15, 0.0, 1.259, 2016-01-04 00:00:00, 230.243, -19.6
-18.563, 0.625, 91.5, 0.0, 902.65, 0.0, 0.755, 2016-01-04 01:00:00, 230.243, -19.6
-18.518, 0.625, 91.6, 0.0, 902.65, 0.0, 0.0, 2016-01-04 02:00:00, 230.243, -19.6
-18.742, 0.625, 91.5, 0.0, 902.75, 0.0, 0.0, 2016-01-04 03:00:00, 230.243, -19.8
-19.012, 0.625, 91.2, 0.0, 902.75, 0.0, 0.0, 2016-01-04 04:00:00, 230.243, -20.1
-19.607, 0.625, 90.4, 0.0, 902.65, 0.0, 0.0, 2016-01-04 05:00:00, 230.243, -20.8
-19.469, 0.625, 90.5, 0.0, 902.35, 0.0, 0.0, 2016-01-04 06:00:00, 230.243, -20.7
-19.607, 0.625, 90.4, 0.0, 902.25, 0.0, 0.0, 2016-01-04 07:00:00, 230.243, -20.8
