station_observations
TempC, SolarRadiationWm, RH, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
-8.91, 0.6, 81.25, 1.3, 933.65, 0.0, 5.01, 2017-01-01 00:00:00, 124.9, -11.5
-10.56, 0.6, 85.75, 1.3, 934.65, 0.0, 3.53, 2017-01-01 01:00:00, 99.7, -12.5
-11.7, 0.6, 86.75, 0.74, 935.35, 0.0, 3.34, 2017-01-01 02:00:00, 109.5, -13.5
-11.13, 0.6, 85.25, 0.93, 936.05, 0.0, 4.27, 2017-01-01 03:00:00, 101.1, -13.1
-11.7, 0.6, 86.75, 0.74, 936.55, 0.0, 2.6, 2017-01-01 04:00:00, 91.3, -13.5
-15.36, 0.6, 95.25, 0.56, 936.95, 0.0, 3.15, 2017-01-01 05:00:00, 88.4, -16.0
-18.05, 0.6, 98.25, 0.19, 937.45, 0.0, 1.86, 2017-01-01 06:00:00, 88.4, -18.3
-22.6, 0.6, 91.75, 0.19, 938.25, 0.0, 1.3, 2017-01-01 07:00:00, 88.4, -23.6
-24.3, 0.6, 88.75, 0.37, 939.25, 0.0, 0.93, 2017-01-01 08:00:00, 88.4, -25.7
-23.44, 44.4, 88.75, 0.37, 939.55, 0.0, 1.11, 2017-01-01 09:00:00, 88.4, -24.8
-19.49, 74.4, 92.25, 0.0, 939.55, 0.0, 0.56, 2017-01-01 10:00:00, 88.4, -20.5
-12.88, 90.6, 85.25, 0.56, 938.85, 0.0, 1.48, 2017-01-01 11:00:00, 88.4, -14.9
-11.7, 136.9, 78.25, 1.11, 937.95, 0.0, 2.41, 2017-01-01 12:00:00, 88.4, -14.7
-7.85, 153.1, 67.25, 1.3, 937.65, 0.0, 3.53, 2017-01-01 13:00:00, 95.5, -12.9
-8.38, 96.9, 66.25, 1.3, 937.25, 0.0, 4.08, 2017-01-01 14:00:00, 112.3, -13.6
-11.13, 16.9, 70.75, 0.74, 937.15, 0.0, 2.23, 2017-01-01 15:00:00, 101.1, -15.4
-16.68, 1.9, 91.75, 0.19, 937.35, 0.0, 0.93, 2017-01-01 16:00:00, 89.9, -17.7
-21.0, 0.6, 89.25, 0.19, 937.65, 0.0, 0.74, 2017-01-01 17:00:00, 89.9, -22.3
-23.44, 0.6, 87.75, 0.0, 937.85, 0.0, 0.0, 2017-01-01 18:00:00, 89.9, -24.9
-25.19, 0.6, 85.75, 0.0, 938.15, 0.0, 0.0, 2017-01-01 19:00:00, 89.9, -26.9
-27.06, 0.6, 84.25, 0.0, 938.35, 0.0, 0.0, 2017-01-01 20:00:00, 89.9, -28.9
-27.06, 0.6, 84.25, 0.0, 938.75, 0.0, 0.0, 2017-01-01 21:00:00, 89.9, -28.9
-28.05, 0.6, 83.25, 0.0, 938.95, 0.0, 0.0, 2017-01-01 22:00:00, 89.9, -30.0
-27.06, 0.6, 83.75, 0.0, 939.05, 0.0, 0.0, 2017-01-01 23:00:00, 89.9, -29.0
-26.11, 0.6, 85.25, 0.0, 938.85, 0.0, 0.0, 2017-01-02 00:00:00, 89.9, -27.9
-25.19, 0.6, 86.75, 0.0, 938.45, 0.0, 0.0, 2017-01-02 01:00:00, 89.9, -26.8
