RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
94.1, None, None, None,0.0,200.0, None, None,0.0,973.0, None, None, None, None, None,0.337, None, None,0.374, None, None, None, None,32.5, None, None, None, None, None, None,2017-12-17 00:00:00, None,51
94.5, None, None, None,0.0,193.4, None, None,0.0,973.0, None, None, None, None, None,1.971, None, None,0.375, None, None, None, None,56.58, None, None, None, None, None, None,2017-12-17 01:00:00, None,51
94.9, None, None, None,0.0,148.9, None, None,0.0,973.0, None, None, None, None, None,1.905, None, None,0.423, None, None, None, None,36.85, None, None, None, None, None, None,2017-12-17 02:00:00, None,51
95.2, None, None, None,0.0,149.2, None, None,0.0,973.0, None, None, None, None, None,0.279, None, None,0.423, None, None, None, None,37.86, None, None, None, None, None, None,2017-12-17 03:00:00, None,51
95.5, None, None, None,0.0,143.9, None, None,0.0,972.0, None, None, None, None, None,0.137, None, None,0.471, None, None, None, None,39.95, None, None, None, None, None, None,2017-12-17 04:00:00, None,51
95.3, None, None, None,0.182,136.7, None, None,0.0,972.0, None, None, None, None, None,-0.299, None, None,0.568, None, None, None, None,52.07, None, None, None, None, None, None,2017-12-17 05:00:00, None,51
95.5, None, None, None,0.23,153.8, None, None,0.0,972.0, None, None, None, None, None,-0.659, None, None,0.571, None, None, None, None,36.44, None, None, None, None, None, None,2017-12-17 06:00:00, None,51
95.8, None, None, None,0.0,153.5, None, None,0.0,972.0, None, None, None, None, None,-0.814, None, None,0.616, None, None, None, None,35.24, None, None, None, None, None, None,2017-12-17 07:00:00, None,51
95.8, None, None, None,0.0,176.2, None, None,0.0,972.0, None, None, None, None, None,-0.381, None, None,0.616, None, None, None, None,53.61, None, None, None, None, None, None,2017-12-17 08:00:00, None,51
96.0, None, None, None,0.0,172.0, None, None,0.0,971.0, None, None, None, None, None,-1.115, None, None,0.724, None, None, None, None,32.97, None, None, None, None, None, None,2017-12-17 09:00:00, None,51
95.8, None, None, None,0.0,181.6, None, None,0.0,972.0, None, None, None, None, None,-0.297, None, None,1.0, None, None, None, None,39.79, None, None, None, None, None, None,2017-12-17 10:00:00, None,51
95.8, None, None, None,0.1,178.2, None, None,1.0,971.0, None, None, None, None, None,1.092, None, None,1.19, None, None, None, None,61.61, None, None, None, None, None, None,2017-12-17 11:00:00, None,51
