WDIR_VECT,time,TEMP_MEAN,HUMIDITY,week_of_year
143.3,2021-10-29 00:00:00, None,99.5,44
126.3,2021-10-29 01:00:00, None,100.0,44
140.5,2021-10-29 02:00:00, None,99.7,44
203.6,2021-10-29 03:00:00, None,99.6,44
106.6,2021-10-29 04:00:00, None,99.9,44
182.3,2021-10-29 05:00:00, None,99.9,44
244.4,2021-10-29 06:00:00, None,94.7,44
268.5,2021-10-29 07:00:00, None,94.2,44
246.1,2021-10-29 08:00:00, None,88.2,44
231.7,2021-10-29 09:00:00, None,84.3,44
254.0,2021-10-29 10:00:00, None,75.7,44
253.5,2021-10-29 11:00:00, None,75.4,44
65.0,2021-10-29 12:00:00, None,72.2,44
99.2,2021-10-29 13:00:00, None,75.8,44
49.2,2021-10-29 14:00:00, None,69.2,44
42.9,2021-10-29 15:00:00, None,77.1,44
85.6,2021-10-29 16:00:00, None,76.3,44
116.0,2021-10-29 17:00:00, None,82.2,44
136.5,2021-10-29 18:00:00, None,84.1,44
177.2,2021-10-29 19:00:00, None,99.9,44
264.6,2021-10-29 20:00:00, None,99.9,44
210.3,2021-10-29 21:00:00, None,99.5,44
151.3,2021-10-29 22:00:00, None,99.1,44
127.2,2021-10-29 23:00:00, None,99.2,44
111.4,2021-10-30 00:00:00, None,99.3,44
96.4,2021-10-30 01:00:00, None,99.3,44
64.7,2021-10-30 02:00:00, None,99.2,44
137.6,2021-10-30 03:00:00, None,98.9,44
225.5,2021-10-30 04:00:00, None,99.1,44
143.9,2021-10-30 05:00:00, None,99.4,44
189.0,2021-10-30 06:00:00, None,99.3,44
174.4,2021-10-30 07:00:00, None,99.2,44
355.0,2021-10-30 08:00:00, None,99.1,44
22.3,2021-10-30 09:00:00, None,99.1,44
324.6,2021-10-30 10:00:00, None,99.2,44
316.3,2021-10-30 11:00:00, None,56.3,44
322.5,2021-10-30 12:00:00, None,49.2,44
322.3,2021-10-30 13:00:00, None,45.4,44
321.7,2021-10-30 14:00:00, None,51.8,44
318.2,2021-10-30 15:00:00, None,59.3,44
290.4,2021-10-30 16:00:00, None,63.0,44
157.7,2021-10-30 17:00:00, None,79.2,44
159.1,2021-10-30 18:00:00, None,84.2,44
132.0,2021-10-30 19:00:00, None,92.7,44
149.1,2021-10-30 20:00:00, None,91.9,44
143.8,2021-10-30 21:00:00, None,91.9,44
145.9,2021-10-30 22:00:00, None,93.3,44
156.9,2021-10-30 23:00:00, None,92.1,44
145.2,2021-10-31 00:00:00, None,98.7,44
206.3,2021-10-31 01:00:00, None,95.1,44
190.6,2021-10-31 02:00:00, None,99.4,44
178.6,2021-10-31 03:00:00, None,98.9,44
231.7,2021-10-31 04:00:00, None,99.1,44
229.2,2021-10-31 05:00:00, None,99.3,44
177.1,2021-10-31 06:00:00, None,98.9,44
171.0,2021-10-31 07:00:00, None,99.1,44
158.0,2021-10-31 08:00:00, None,99.0,44
139.0,2021-10-31 09:00:00, None,84.6,44
39.5,2021-10-31 10:00:00, None,70.4,44
300.3,2021-10-31 11:00:00, None,65.1,44
347.8,2021-10-31 12:00:00, None,58.7,44
315.6,2021-10-31 13:00:00, None,48.9,44
326.1,2021-10-31 14:00:00, None,47.3,44
318.0,2021-10-31 15:00:00, None,54.8,44
321.6,2021-10-31 16:00:00, None,49.2,44
268.8,2021-10-31 17:00:00, None,65.4,44
182.0,2021-10-31 18:00:00, None,69.5,44
150.8,2021-10-31 19:00:00, None,84.2,44
192.6,2021-10-31 20:00:00, None,90.6,44
161.5,2021-10-31 21:00:00, None,95.1,44
171.3,2021-10-31 22:00:00, None,95.3,44
154.1,2021-10-31 23:00:00, None,98.3,44
124.4,2021-11-01 00:00:00, None,99.6,44
125.3,2021-11-01 01:00:00, None,99.2,44
147.9,2021-11-01 02:00:00, None,99.3,44
157.1,2021-11-01 03:00:00, None,99.1,44
195.5,2021-11-01 04:00:00, None,98.9,44
201.4,2021-11-01 05:00:00, None,99.1,44
141.6,2021-11-01 06:00:00, None,99.3,44
136.5,2021-11-01 07:00:00, None,99.2,44
132.3,2021-11-01 08:00:00, None,99.0,44
186.7,2021-11-01 09:00:00, None,84.5,44
309.4,2021-11-01 10:00:00, None,78.6,44
241.2,2021-11-01 11:00:00, None,66.7,44
3.5,2021-11-01 12:00:00, None,57.7,44
298.8,2021-11-01 13:00:00, None,53.9,44
357.9,2021-11-01 14:00:00, None,53.8,44
242.9,2021-11-01 15:00:00, None,93.2,44
237.6,2021-11-01 16:00:00, None,99.9,44
266.0,2021-11-01 17:00:00, None,99.8,44
329.8,2021-11-01 18:00:00, None,100.0,44
290.9,2021-11-01 19:00:00, None,99.8,44
110.9,2021-11-01 20:00:00, None,99.9,44
126.9,2021-11-01 21:00:00, None,99.6,44
261.7,2021-11-01 22:00:00, None,99.8,44
215.1,2021-11-01 23:00:00, None,99.8,44
219.0,2021-11-02 00:00:00, None,99.9,44
127.1,2021-11-02 01:00:00, None,99.7,44
216.0,2021-11-02 02:00:00, None,99.6,44
15.4,2021-11-02 03:00:00, None,99.6,44
244.8,2021-11-02 04:00:00, None,100.0,44
167.7,2021-11-02 05:00:00, None,99.8,44
120.5,2021-11-02 06:00:00, None,99.8,44
94.9,2021-11-02 07:00:00, None,99.8,44
165.8,2021-11-02 08:00:00, None,100.0,44
189.6,2021-11-02 09:00:00, None,99.6,44
36.1,2021-11-02 10:00:00, None,98.9,44
20.3,2021-11-02 11:00:00, None,95.3,44
103.6,2021-11-02 12:00:00, None,88.5,44
107.2,2021-11-02 13:00:00, None,95.0,44
128.1,2021-11-02 14:00:00, None,99.5,44
127.7,2021-11-02 15:00:00, None,99.8,44
131.4,2021-11-02 16:00:00, None,99.7,44
135.7,2021-11-02 17:00:00, None,95.4,44
131.2,2021-11-02 18:00:00, None,98.0,44
134.4,2021-11-02 19:00:00, None,94.7,44
134.5,2021-11-02 20:00:00, None,95.7,44
31.1,2021-11-02 21:00:00, None,99.8,44
338.5,2021-11-02 22:00:00, None,99.8,44
292.4,2021-11-02 23:00:00, None,99.6,44
140.3,2021-11-03 00:00:00, None,94.6,44
142.2,2021-11-03 01:00:00, None,93.1,44
137.3,2021-11-03 02:00:00, None,87.8,44
313.4,2021-11-03 03:00:00, None,99.5,44
150.4,2021-11-03 04:00:00, None,99.7,44
267.4,2021-11-03 05:00:00, None,100.0,44
71.3,2021-11-03 06:00:00, None,99.8,44
251.6,2021-11-03 07:00:00, None,100.0,44
194.9,2021-11-03 08:00:00, None,99.7,44
279.4,2021-11-03 09:00:00, None,100.0,44
245.4,2021-11-03 10:00:00, None,100.0,44
298.1,2021-11-03 11:00:00, None,96.1,44
135.4,2021-11-03 12:00:00, None,99.3,44
155.1,2021-11-03 13:00:00, None,99.7,44
117.6,2021-11-03 14:00:00, None,99.6,44
23.1,2021-11-03 15:00:00, None,100.0,44
300.1,2021-11-03 16:00:00, None,99.8,44
130.6,2021-11-03 17:00:00, None,99.7,44
88.8,2021-11-03 18:00:00, None,100.0,44
254.1,2021-11-03 19:00:00, None,99.6,44
94.7,2021-11-03 20:00:00, None,99.9,44
155.9,2021-11-03 21:00:00, None,99.8,44
323.1,2021-11-03 22:00:00, None,99.8,44
303.6,2021-11-03 23:00:00, None,100.0,44
307.3,2021-11-04 00:00:00, None,99.6,44
77.6,2021-11-04 01:00:00, None,100.0,44
193.2,2021-11-04 02:00:00, None,99.8,44
126.5,2021-11-04 03:00:00, None,99.7,44
127.2,2021-11-04 04:00:00, None,99.8,44
271.4,2021-11-04 05:00:00, None,99.5,44
141.6,2021-11-04 06:00:00, None,99.5,44
141.5,2021-11-04 07:00:00, None,95.5,44
166.9,2021-11-04 08:00:00, None,100.0,44
290.3,2021-11-04 09:00:00, None,100.0,44
119.1,2021-11-04 10:00:00, None,99.9,44
139.9,2021-11-04 11:00:00, None,99.7,44
113.9,2021-11-04 12:00:00, None,99.8,44
95.8,2021-11-04 13:00:00, None,99.6,44
98.9,2021-11-04 14:00:00, None,100.0,44
169.1,2021-11-04 15:00:00, None,88.1,44
200.2,2021-11-04 16:00:00, None,95.8,44
138.3,2021-11-04 17:00:00, None,99.7,44
137.4,2021-11-04 18:00:00, None,98.3,44
143.9,2021-11-04 19:00:00, None,92.9,44
255.5,2021-11-04 20:00:00, None,99.1,44
278.7,2021-11-04 21:00:00, None,91.0,44
193.0,2021-11-04 22:00:00, None,99.9,44
159.6,2021-11-04 23:00:00, None,99.7,44
