station_observations
TempC, SolarRadiationWm, RH, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
12.703, 129.4, 78.3, 5.26, 832.45, None, 8.58, 2020-08-17 15:00:00, 189.5, 9.0
10.638, 106.9, 84.5, 7.21, 832.25, None, 12.47, 2020-08-17 16:00:00, 202.2, 8.1
10.32, 93.1, 86.1, 7.41, 832.25, None, 13.06, 2020-08-17 17:00:00, 216.2, 8.1
10.736, 88.1, 80.5, 7.02, 832.35, None, 10.33, 2020-08-17 18:00:00, 210.6, 7.5
10.394, 13.1, 84.2, 6.82, 832.15, None, 10.72, 2020-08-17 19:00:00, 212.0, 7.9
10.32, 0.6, 86.0, 8.97, 831.55, None, 13.45, 2020-08-17 20:00:00, 207.8, 8.1
10.467, 0.6, 85.5, 9.74, 831.25, None, 16.96, 2020-08-17 21:00:00, 203.6, 8.2
10.492, 0.6, 86.3, 8.77, 830.95, None, 15.2, 2020-08-17 22:00:00, 202.2, 8.3
9.608, 0.6, 90.0, 6.82, 831.05, None, 11.89, 2020-08-17 23:00:00, 202.2, 8.1
9.952, 0.6, 90.4, 5.46, 830.75, None, 7.6, 2020-08-18 00:00:00, 202.2, 8.5
10.051, 0.6, 90.0, 7.8, 830.15, None, 11.3, 2020-08-18 01:00:00, 190.9, 8.5
9.731, 0.6, 90.8, 5.85, 829.95, None, 9.36, 2020-08-18 02:00:00, 182.5, 8.3
9.312, 0.6, 90.3, 6.24, 829.25, None, 12.47, 2020-08-18 03:00:00, 186.7, 7.8
8.369, 0.6, 98.0, 9.36, 828.35, None, 13.45, 2020-08-18 04:00:00, 195.1, 8.1
7.242, 0.6, 99.5, 6.82, 828.95, None, 11.11, 2020-08-18 05:00:00, 223.2, 7.2
7.167, 10.6, 95.0, 8.97, 828.85, None, 13.45, 2020-08-18 06:00:00, 252.7, 6.4
6.813, 58.1, 91.0, 7.99, 828.35, None, 14.03, 2020-08-18 07:00:00, 214.8, 5.5
7.72, 274.4, 89.0, 3.9, 828.95, None, 6.24, 2020-08-18 08:00:00, 251.3, 6.0
7.77, 261.9, 87.7, 4.29, 829.15, None, 7.6, 2020-08-18 09:00:00, 248.5, 5.9
8.17, 643.1, 89.6, 2.73, 829.55, None, 7.02, 2020-08-18 10:00:00, 209.2, 6.6
7.92, 139.4, 94.9, 2.92, 829.85, None, 5.65, 2020-08-18 11:00:00, 190.9, 7.2
8.841, 280.6, 92.5, 3.7, 830.25, None, 6.82, 2020-08-18 12:00:00, 212.0, 7.7
9.952, 471.9, 90.9, 4.29, 830.55, None, 9.36, 2020-08-18 13:00:00, 212.0, 8.5
10.149, 888.1, 84.4, 4.87, 830.65, None, 9.16, 2020-08-18 14:00:00, 224.6, 7.6
10.149, 508.1, 74.9, 6.63, 830.85, None, 11.11, 2020-08-18 15:00:00, 237.3, 5.9
10.687, 568.1, 65.1, 6.24, 830.95, None, 11.3, 2020-08-18 16:00:00, 220.4, 4.4
9.558, 423.1, 61.3, 7.8, 830.75, None, 13.45, 2020-08-18 17:00:00, 233.1, 2.5
7.72, 231.9, 63.0, 8.97, 830.75, None, 13.84, 2020-08-18 18:00:00, 238.7, 1.1
