WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
209.7, None, None,78.2,2022-08-20 00:00:00, None,34
180.4, None, None,60.4,2022-08-20 01:00:00, None,34
183.2, None, None,60.5,2022-08-20 02:00:00, None,34
192.9, None, None,70.5,2022-08-20 03:00:00, None,34
213.1, None, None,72.9,2022-08-20 04:00:00, None,34
177.0, None, None,74.6,2022-08-20 05:00:00, None,34
184.7, None, None,76.8,2022-08-20 06:00:00, None,34
175.6, None, None,76.1,2022-08-20 07:00:00, None,34
237.5, None, None,74.8,2022-08-20 08:00:00, None,34
195.8, None, None,75.4,2022-08-20 09:00:00, None,34
170.3, None, None,70.8,2022-08-20 10:00:00, None,34
132.6, None, None,66.5,2022-08-20 11:00:00, None,34
169.4, None, None,57.8,2022-08-20 12:00:00, None,34
158.5, None, None,56.4,2022-08-20 13:00:00, None,34
127.0, None, None,52.0,2022-08-20 14:00:00, None,34
77.9, None, None,55.4,2022-08-20 15:00:00, None,34
113.8, None, None,46.1,2022-08-20 16:00:00, None,34
50.9, None, None,47.5,2022-08-20 17:00:00, None,34
51.0, None, None,50.0,2022-08-20 18:00:00, None,34
8.8, None, None,52.8,2022-08-20 19:00:00, None,34
16.2, None, None,68.6,2022-08-20 20:00:00, None,34
48.3, None, None,84.0,2022-08-20 21:00:00, None,34
36.2, None, None,90.5,2022-08-20 22:00:00, None,34
54.9, None, None,93.2,2022-08-20 23:00:00, None,34
355.2, None, None,93.4,2022-08-21 00:00:00, None,34
35.3, None, None,96.3,2022-08-21 01:00:00, None,34
13.4, None, None,97.1,2022-08-21 02:00:00, None,34
35.8, None, None,97.8,2022-08-21 03:00:00, None,34
49.2, None, None,98.1,2022-08-21 04:00:00, None,34
35.6, None, None,98.4,2022-08-21 05:00:00, None,34
49.9, None, None,98.6,2022-08-21 06:00:00, None,34
36.4, None, None,98.7,2022-08-21 07:00:00, None,34
23.1, None, None,98.5,2022-08-21 08:00:00, None,34
99.6, None, None,84.9,2022-08-21 09:00:00, None,34
116.7, None, None,75.6,2022-08-21 10:00:00, None,34
15.1, None, None,67.6,2022-08-21 11:00:00, None,34
344.3, None, None,60.3,2022-08-21 12:00:00, None,34
335.0, None, None,54.4,2022-08-21 13:00:00, None,34
337.0, None, None,47.8,2022-08-21 14:00:00, None,34
8.4, None, None,34.6,2022-08-21 15:00:00, None,34
354.6, None, None,33.2,2022-08-21 16:00:00, None,34
359.1, None, None,33.4,2022-08-21 17:00:00, None,34
1.6, None, None,35.7,2022-08-21 18:00:00, None,34
37.1, None, None,52.1,2022-08-21 19:00:00, None,34
84.6, None, None,69.6,2022-08-21 20:00:00, None,34
188.6, None, None,72.0,2022-08-21 21:00:00, None,34
233.6, None, None,79.8,2022-08-21 22:00:00, None,34
218.3, None, None,83.1,2022-08-21 23:00:00, None,34
225.5, None, None,88.1,2022-08-22 00:00:00, None,34
10.0, None, None,96.0,2022-08-22 01:00:00, None,34
7.6, None, None,96.2,2022-08-22 02:00:00, None,34
11.3, None, None,97.5,2022-08-22 03:00:00, None,34
21.1, None, None,98.1,2022-08-22 04:00:00, None,34
7.9, None, None,98.3,2022-08-22 05:00:00, None,34
23.0, None, None,98.6,2022-08-22 06:00:00, None,34
19.6, None, None,98.5,2022-08-22 07:00:00, None,34
18.5, None, None,97.9,2022-08-22 08:00:00, None,34
0.6, None, None,84.5,2022-08-22 09:00:00, None,34
4.3, None, None,71.4,2022-08-22 10:00:00, None,34
219.4, None, None,58.3,2022-08-22 11:00:00, None,34
233.6, None, None,46.3,2022-08-22 12:00:00, None,34
214.1, None, None,43.5,2022-08-22 13:00:00, None,34
213.9, None, None,40.5,2022-08-22 14:00:00, None,34
149.7, None, None,43.7,2022-08-22 15:00:00, None,34
135.4, None, None,46.3,2022-08-22 16:00:00, None,34
135.3, None, None,43.5,2022-08-22 17:00:00, None,34
194.2, None, None,44.9,2022-08-22 18:00:00, None,34
113.7, None, None,56.1,2022-08-22 19:00:00, None,34
264.9, None, None,63.0,2022-08-22 20:00:00, None,34
110.8, None, None,76.1,2022-08-22 21:00:00, None,34
181.1, None, None,70.2,2022-08-22 22:00:00, None,34
95.3, None, None,85.2,2022-08-22 23:00:00, None,34
212.9, None, None,85.4,2022-08-23 00:00:00, None,34
179.3, None, None,84.2,2022-08-23 01:00:00, None,34
197.4, None, None,82.5,2022-08-23 02:00:00, None,34
192.7, None, None,83.5,2022-08-23 03:00:00, None,34
232.2, None, None,91.1,2022-08-23 04:00:00, None,34
221.4, None, None,92.5,2022-08-23 05:00:00, None,34
221.3, None, None,93.6,2022-08-23 06:00:00, None,34
221.9, None, None,89.9,2022-08-23 07:00:00, None,34
220.3, None, None,83.1,2022-08-23 08:00:00, None,34
3.5, None, None,75.0,2022-08-23 09:00:00, None,34
21.5, None, None,67.9,2022-08-23 10:00:00, None,34
18.2, None, None,64.6,2022-08-23 11:00:00, None,34
13.0, None, None,56.3,2022-08-23 12:00:00, None,34
355.8, None, None,49.4,2022-08-23 13:00:00, None,34
332.8, None, None,46.4,2022-08-23 14:00:00, None,34
339.5, None, None,41.5,2022-08-23 15:00:00, None,34
336.3, None, None,36.3,2022-08-23 16:00:00, None,34
346.9, None, None,33.6,2022-08-23 17:00:00, None,34
