pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 9.49, 91.2, 16.4, None, 15.37, 0.97, 327.0, 8.0, None, 9.5, 8.0, 1012.6, 0.0, 8.0, 1012.0, None, None, 91.0,2022-10-15 01:00:00, None, None, 1012.0,42
None, 9.02, 91.4, 16.4, None, 26.9, 1.713, 318.9, 8.0, None, 9.0, 7.8, 1012.6, 0.0, 8.0, 1012.0, None, None, 91.0,2022-10-15 02:00:00, None, None, 1012.0,42
None, 7.455, 91.5, 16.4, None, 57.72, 0.532, 237.4, 6.0, None, 7.5, 7.5, 1013.6, 0.0, 6.0, 1013.0, None, None, 92.0,2022-10-15 04:00:00, None, None, 1013.0,42
0.0, 7.468, 92.2, 16.4, None, 32.28, 0.617, 202.1, 6.0, None, 7.5, 7.4, 1012.6, 0.0, 6.0, 1012.0, None, None, 92.0,2022-10-15 05:00:00, None, None, 1012.0,42
0.0, 6.736, 92.8, 16.4, None, 50.85, 1.842, 13.75, 6.0, None, 6.7, 6.0, 1012.6, 0.0, 6.0, 1012.0, None, None, 93.0,2022-10-15 06:00:00, None, None, 1012.0,42
0.0, 6.327, 93.0, 7.6, None, 26.65, 1.094, 349.2, 5.0, None, 6.3, 5.5, 1013.6, 0.0, 5.0, 1013.0, None, None, 93.0,2022-10-15 07:00:00, None, None, 1013.0,42
0.0, 6.578, 93.9, 7.6, None, 23.06, 0.987, 287.0, 6.0, None, 6.6, 5.4, 1013.6, 0.0, 6.0, 1013.0, None, None, 94.0,2022-10-15 08:00:00, None, None, 1013.0,42
0.0, 11.46, 92.4, 11.5, None, 30.35, 2.309, 273.9, 10.0, None, 11.5, 5.4, 1013.6, 0.0, 10.0, 1013.0, None, None, 92.0,2022-10-15 09:00:00, None, None, 1013.0,42
0.0, 14.87, 82.6, 14.8, None, 40.49, 1.742, 71.83, 12.0, None, 14.9, 5.4, 1013.6, 0.0, 12.0, 1013.0, None, None, 83.0,2022-10-15 10:00:00, None, None, 1013.0,42
0.0, 17.27, 63.53, 17.2, None, 48.91, 3.417, 339.2, 10.0, None, 17.3, 5.4, 1013.6, 0.0, 10.0, 1013.0, None, None, 64.0,2022-10-15 11:00:00, None, None, 1013.0,42
0.0, 19.04, 55.47, 19.0, None, 15.65, 7.067, 312.6, 10.0, None, 19.0, 5.4, 1013.6, 0.0, 10.0, 1013.0, None, None, 55.0,2022-10-15 12:00:00, None, None, 1013.0,42
0.0, 20.0, 49.6, 19.9, None, 22.53, 7.484, 320.2, 9.0, None, 20.0, 5.4, 1012.6, 0.0, 9.0, 1012.0, None, None, 50.0,2022-10-15 13:00:00, None, None, 1012.0,42
0.0, 20.36, 50.08, 20.7, None, 24.03, 8.02, 315.1, 10.0, None, 20.4, 5.4, 1011.6, 0.0, 10.0, 1011.0, None, None, 50.0,2022-10-15 14:00:00, None, None, 1011.0,42
0.0, 20.97, 46.9, 21.1, None, 23.68, 9.03, 316.0, 9.0, None, 21.0, 5.4, 1011.6, 0.0, 9.0, 1011.0, None, None, 47.0,2022-10-15 15:00:00, None, None, 1011.0,42
0.0, 21.17, 46.77, 21.3, None, 22.21, 8.31, 325.7, 9.0, None, 21.2, 5.4, 1010.6, 0.0, 9.0, 1010.0, None, None, 47.0,2022-10-15 16:00:00, None, None, 1010.0,42
0.0, 20.75, 46.13, 21.3, None, 21.81, 6.896, 323.3, 9.0, None, 20.8, 5.4, 1010.6, 0.0, 9.0, 1010.0, None, None, 46.0,2022-10-15 17:00:00, None, None, 1010.0,42
