pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,9.2,9.0, 1017.4, 0.1, 0.0,10.6,97.0,2022-10-15 00:00:00, 0.0,8.0, 922.0,42
None,9.2,9.0, 1017.3, 0.1, 0.0,10.6,96.0,2022-10-15 01:00:00, 0.0,8.0, 922.0,42
None,9.5,9.0, 1017.3, 0.0, 0.0,10.6,95.0,2022-10-15 02:00:00, 0.0,9.0, 922.0,42
None,9.6,9.0, 1017.2, 0.1, 0.0,10.6,97.0,2022-10-15 03:00:00, 0.0,9.0, 922.0,42
None,9.6,9.0, 1017.2, 0.0, 0.0,10.6,97.0,2022-10-15 04:00:00, 0.0,10.0, 922.0,42
None,9.7,9.0, 1017.2, 0.1, 0.0,10.6,97.0,2022-10-15 05:00:00, 0.0,9.0, 922.0,42
None,10.0,9.0, 1017.2, 0.1, 0.0,10.6,96.0,2022-10-15 06:00:00, 0.0,9.0, 922.0,42
None,10.1,9.5, 1017.2, 0.1, 0.0,10.0,96.0,2022-10-15 07:00:00, 0.0,10.0, 922.0,42
None,10.0,9.5, 1017.3, 0.0, 0.0,10.2,97.0,2022-10-15 08:00:00, 0.0,10.0, 922.0,42
None,10.1,9.5, 1017.3, 0.0, 0.0,10.4,97.0,2022-10-15 09:00:00, 0.0,10.0, 922.0,42
None,10.2,9.5, 1018.4, 0.0, 0.0,10.4,97.0,2022-10-15 10:00:00, 0.0,10.0, 923.0,42
None,11.1,9.5, 1018.3, 0.1, 0.0,11.1,93.0,2022-10-15 11:00:00, 1.0,10.0, 923.0,42
None,11.0,9.5, 1018.3, 0.2, 0.0,11.2,94.0,2022-10-15 12:00:00, 0.0,10.0, 923.0,42
None,13.4,9.5, 1018.1, 0.0, 0.0,13.6,85.0,2022-10-15 13:00:00, 0.0,10.0, 923.0,42
None,13.8,9.5, 1018.0, 0.2, 0.0,13.8,83.0,2022-10-15 14:00:00, 0.0,11.0, 923.0,42
None,14.1,9.5, 1018.0, 0.1, 0.0,14.6,84.0,2022-10-15 15:00:00, 0.0,12.0, 923.0,42
None,15.1,9.5, 1017.9, 0.0, 0.0,15.1,79.0,2022-10-15 16:00:00, 0.0,11.0, 923.0,42
None,14.4,9.5, 1018.0, 0.0, 0.0,15.9,79.0,2022-10-15 17:00:00, 0.0,11.0, 923.0,42
None,14.0,9.5, 1016.9, -0.1, 0.0,15.9,85.0,2022-10-15 18:00:00, 0.0,12.0, 922.0,42
