CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,DEW_POINT,week_of_year
0.921,85.8,2022-10-15 00:00:00,-1.0,42
-0.041,86.7,2022-10-15 01:00:00,-2.0,42
-0.656,87.7,2022-10-15 02:00:00,-2.0,42
-1.168,88.9,2022-10-15 03:00:00,-3.0,42
-1.699,90.9,2022-10-15 04:00:00,-3.0,42
-1.838,90.4,2022-10-15 05:00:00,-3.0,42
-2.223,90.0,2022-10-15 06:00:00,-3.0,42
-2.485,89.3,2022-10-15 07:00:00,-4.0,42
-2.562,87.9,2022-10-15 08:00:00,-4.0,42
1.219,80.9,2022-10-15 09:00:00,-2.0,42
9.8,64.4,2022-10-15 10:00:00,3.0,42
12.86,54.13,2022-10-15 11:00:00,4.0,42
14.7,48.79,2022-10-15 12:00:00,4.0,42
16.13,44.36,2022-10-15 13:00:00,4.0,42
17.76,36.77,2022-10-15 14:00:00,3.0,42
18.56,36.0,2022-10-15 15:00:00,3.0,42
18.27,27.89,2022-10-15 16:00:00,-1.0,42
16.42,31.85,2022-10-15 17:00:00,0.0,42
12.68,47.51,2022-10-15 18:00:00,2.0,42
8.15,62.18,2022-10-15 19:00:00,1.0,42
5.47,69.33,2022-10-15 20:00:00,1.0,42
3.781,71.01,2022-10-15 21:00:00,-1.0,42
2.238,75.09,2022-10-15 22:00:00,-2.0,42
1.629,77.89,2022-10-15 23:00:00,-2.0,42
0.838,82.1,2022-10-16 00:00:00,-2.0,42
0.878,85.0,2022-10-16 01:00:00,-1.0,42
1.752,90.9,2022-10-16 02:00:00,1.0,42
1.409,92.8,2022-10-16 03:00:00,1.0,42
1.084,92.2,2022-10-16 04:00:00,0.0,42
1.415,94.7,2022-10-16 05:00:00,1.0,42
1.793,94.6,2022-10-16 06:00:00,1.0,42
3.34,93.7,2022-10-16 07:00:00,2.0,42
4.247,91.0,2022-10-16 08:00:00,3.0,42
6.635,80.6,2022-10-16 09:00:00,3.0,42
8.77,72.2,2022-10-16 10:00:00,4.0,42
11.34,60.18,2022-10-16 11:00:00,4.0,42
13.89,50.1,2022-10-16 12:00:00,3.0,42
15.69,43.08,2022-10-16 13:00:00,3.0,42
17.69,36.12,2022-10-16 14:00:00,3.0,42
18.45,32.93,2022-10-16 15:00:00,2.0,42
18.07,34.15,2022-10-16 16:00:00,2.0,42
16.68,37.12,2022-10-16 17:00:00,2.0,42
13.88,44.89,2022-10-16 18:00:00,2.0,42
9.32,58.06,2022-10-16 19:00:00,1.0,42
6.22,67.47,2022-10-16 20:00:00,1.0,42
5.536,72.79,2022-10-16 21:00:00,1.0,42
6.552,71.56,2022-10-16 22:00:00,2.0,42
5.24,76.66,2022-10-16 23:00:00,2.0,42
4.814,80.7,2022-10-17 00:00:00,2.0,42
4.62,81.0,2022-10-17 01:00:00,1.0,42
6.056,76.54,2022-10-17 02:00:00,2.0,42
3.874,84.8,2022-10-17 03:00:00,1.0,42
4.225,83.9,2022-10-17 04:00:00,2.0,42
3.664,87.0,2022-10-17 05:00:00,2.0,42
3.255,88.3,2022-10-17 06:00:00,1.0,42
2.606,88.3,2022-10-17 07:00:00,1.0,42
2.975,91.3,2022-10-17 08:00:00,2.0,42
5.928,79.18,2022-10-17 09:00:00,3.0,42
9.42,63.33,2022-10-17 10:00:00,3.0,42
11.31,56.59,2022-10-17 11:00:00,3.0,42
13.23,44.72,2022-10-17 12:00:00,2.0,42
