RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year,PRECIP_DETECTOR_RATIO,mslp
53.22, None, None, None,29.45,53.29, None, None,-18.0, None, None, None, None, None, None, None, None, None,-11.58, None, None, None, None,10.97, None, None, None, None,2017-02-05 00:00:00, None,6,,
53.35, None, None, None,21.52,56.15, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.75, None, None, None, None,10.15, None, None, None, None,2017-02-05 01:00:00, None,6,,
53.58, None, None, None,16.25,59.57, None, None,-18.0, None, None, None, None, None, None, None, None, None,-11.67, None, None, None, None,11.41, None, None, None, None,2017-02-05 02:00:00, None,6,,
53.39, None, None, None,19.91,56.24, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.75, None, None, None, None,8.54, None, None, None, None,2017-02-05 03:00:00, None,6,,
53.46, None, None, None,11.96,54.81, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.76, None, None, None, None,14.64, None, None, None, None,2017-02-05 04:00:00, None,6,,
53.35, None, None, None,6.191,67.35, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.8, None, None, None, None,17.63, None, None, None, None,2017-02-05 05:00:00, None,6,,
53.31, None, None, None,7.99,44.1, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.86, None, None, None, None,13.73, None, None, None, None,2017-02-05 06:00:00, None,6,,
53.36, None, None, None,3.923,220.6, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.9, None, None, None, None,27.18, None, None, None, None,2017-02-05 07:00:00, None,6,,
53.62, None, None, None,4.828,229.2, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.78, None, None, None, None,32.17, None, None, None, None,2017-02-05 08:00:00, None,6,,
53.39, None, None, None,8.12,225.4, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.76, None, None, None, None,19.74, None, None, None, None,2017-02-05 09:00:00, None,6,,
53.28, None, None, None,8.04,217.6, None, None,-18.0, None, None, None, None, None, None, None, None, None,-11.47, None, None, None, None,15.31, None, None, None, None,2017-02-05 10:00:00, None,6,,
53.58, None, None, None,8.4,218.8, None, None,-18.0, None, None, None, None, None, None, None, None, None,-11.58, None, None, None, None,16.83, None, None, None, None,2017-02-05 11:00:00, None,6,,
54.04, None, None, None,9.57,214.3, None, None,-18.0, None, None, None, None, None, None, None, None, None,-11.12, None, None, None, None,12.98, None, None, None, None,2017-02-05 12:00:00, None,6,,
55.07, None, None, None,10.12,208.4, None, None,-17.0, None, None, None, None, None, None, None, None, None,-10.99, None, None, None, None,16.01, None, None, None, None,2017-02-05 13:00:00, None,6,,
56.46, None, None, None,10.38,195.1, None, None,-16.0, None, None, None, None, None, None, None, None, None,-10.1, None, None, None, None,14.84, None, None, None, None,2017-02-05 14:00:00, None,6,,
53.51, None, None, None,8.25,210.7, None, None,-17.0, None, None, None, None, None, None, None, None, None,-10.33, None, None, None, None,14.43, None, None, None, None,2017-02-05 15:00:00, None,6,,
53.13, None, None, None,7.68,216.2, None, None,-18.0, None, None, None, None, None, None, None, None, None,-11.46, None, None, None, None,14.14, None, None, None, None,2017-02-05 16:00:00, None,6,,
53.28, None, None, None,5.493,226.9, None, None,-19.0, None, None, None, None, None, None, None, None, None,-11.9, None, None, None, None,26.94, None, None, None, None,2017-02-05 17:00:00, None,6,,
