WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 2.212,87.5,2016-06-24 00:00:00,12.7,26
None, None, 2.416,88.6,2016-06-24 01:00:00,12.3,26
None, None, 2.143,88.4,2016-06-24 02:00:00,12.19,26
None, None, 1.542,88.2,2016-06-24 03:00:00,12.36,26
None, None, 1.603,88.2,2016-06-24 04:00:00,12.88,26
None, None, 3.239,87.0,2016-06-24 05:00:00,13.19,26
None, None, 3.79,84.3,2016-06-24 06:00:00,13.3,26
None, None, 3.534,83.6,2016-06-24 07:00:00,13.35,26
None, None, 2.835,83.6,2016-06-24 08:00:00,13.5,26
None, None, 2.104,85.4,2016-06-24 09:00:00,13.38,26
None, None, 1.634,87.7,2016-06-24 10:00:00,13.48,26
None, None, 0.541,88.3,2016-06-24 11:00:00,13.56,26
None, None, 0.753,81.9,2016-06-24 12:00:00,14.54,26
None, None, 1.726,76.6,2016-06-24 13:00:00,15.23,26
None, None, 2.961,68.4,2016-06-24 14:00:00,16.33,26
None, None, 2.016,74.3,2016-06-24 15:00:00,15.75,26
None, None, 1.748,75.2,2016-06-24 16:00:00,15.87,26
None, None, 2.852,72.2,2016-06-24 17:00:00,16.51,26
None, None, 2.626,66.99,2016-06-24 18:00:00,17.01,26
None, None, 0.995,72.7,2016-06-24 19:00:00,16.67,26
None, None, 0.806999,79.7,2016-06-24 20:00:00,16.17,26
None, None, 1.428,82.8,2016-06-24 21:00:00,15.41,26
None, None, 0.944,85.0,2016-06-24 22:00:00,14.9,26
None, None, 0.950999,84.2,2016-06-24 23:00:00,14.84,26
None, None, 1.248,86.7,2016-06-25 00:00:00,14.6,26
None, None, 0.718999,86.8,2016-06-25 01:00:00,14.73,26
None, None, 0.760999,85.4,2016-06-25 02:00:00,14.71,26
None, None, 0.0,86.3,2016-06-25 03:00:00,14.64,26
None, None, 1.039,85.1,2016-06-25 04:00:00,14.65,26
None, None, 1.687,85.3,2016-06-25 05:00:00,14.55,26
None, None, 3.097,84.1,2016-06-25 06:00:00,14.39,26
None, None, 2.934,79.8,2016-06-25 07:00:00,14.7,26
None, None, 2.332,77.9,2016-06-25 08:00:00,15.14,26
None, None, 2.249,76.3,2016-06-25 09:00:00,15.24,26
None, None, 2.607,74.3,2016-06-25 10:00:00,15.45,26
None, None, 4.198,73.7,2016-06-25 11:00:00,15.68,26
None, None, 4.72,72.3,2016-06-25 12:00:00,15.94,26
None, None, 3.728,72.1,2016-06-25 13:00:00,16.39,26
None, None, 3.699,72.1,2016-06-25 14:00:00,16.85,26
None, None, 3.521,70.3,2016-06-25 15:00:00,17.59,26
None, None, 4.852,72.8,2016-06-25 16:00:00,17.31,26
