station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, time, SNOW_ON_THE_GROUND, MAX_TEMP
3.4, None, 0.4, 2012-01-02 00:00:00, 27.0, 3.7
0.6, None, -0.1, 2012-01-03 00:00:00, 24.0, 6.1
0.3, None, 2.5, 2012-01-04 00:00:00, 16.0, 7.9
0.0, None, -1.7, 2012-01-05 00:00:00, 10.0, 3.0
0.0, None, -6.4, 2012-01-06 00:00:00, 10.0, -0.9
0.6, None, -3.5, 2012-01-07 00:00:00, 10.0, 1.2
1.3, None, 1.2, 2012-01-08 00:00:00, 10.0, 3.4
0.0, None, -1.3, 2012-01-09 00:00:00, 5.0, 5.8
0.0, None, -10.4, 2012-01-10 00:00:00, 1.0, -1.2
0.0, None, -13.1, 2012-01-11 00:00:00, 2.0, -5.8
0.0, None, -13.4, 2012-01-12 00:00:00, 3.0, -2.8
0.3, 0.0, -8.5, 2012-01-13 00:00:00, 3.0, -3.4
2.2, 0.0, -13.2, 2012-01-14 00:00:00, 5.0, -3.7
0.0, None, -20.5, 2012-01-15 00:00:00, 6.0, -13.2
0.0, None, -27.0, 2012-01-16 00:00:00, 6.0, -19.5
0.0, None, -29.6, 2012-01-17 00:00:00, 6.0, -23.1
0.0, None, -34.2, 2012-01-18 00:00:00, 6.0, -27.0
0.0, None, -34.4, 2012-01-19 00:00:00, 4.0, -26.5
1.2, 0.0, -26.7, 2012-01-20 00:00:00, 7.0, -16.3
11.5, 0.0, -16.3, 2012-01-21 00:00:00, 13.0, -8.0
0.0, None, -11.5, 2012-01-22 00:00:00, 18.0, 1.4
0.4, None, -0.8, 2012-01-23 00:00:00, 13.0, 1.4
0.4, None, 0.1, 2012-01-24 00:00:00, 13.0, 3.2
0.0, None, -6.3, 2012-01-25 00:00:00, 12.0, 3.4
0.0, None, -9.6, 2012-01-26 00:00:00, 11.0, -1.0
0.0, None, -8.1, 2012-01-27 00:00:00, 11.0, 1.3
5.2, 0.0, -2.1, 2012-01-28 00:00:00, 11.0, 0.6
0.0, None, 0.5, 2012-01-29 00:00:00, 28.0, 4.7
0.0, None, 0.7, 2012-01-30 00:00:00, 20.0, 4.3
0.0, None, -1.3, 2012-01-31 00:00:00, 18.0, 4.0
5.0, 0.0, -4.0, 2012-02-01 00:00:00, 20.0, 1.5
0.0, None, -4.3, 2012-02-02 00:00:00, 22.0, 3.1
0.0, None, -6.6, 2012-02-03 00:00:00, 21.0, 2.1
0.0, None, -10.4, 2012-02-04 00:00:00, 21.0, 3.2
0.0, None, -11.7, 2012-02-05 00:00:00, 21.0, -3.2
0.0, None, -12.9, 2012-02-06 00:00:00, 21.0, -5.9
0.0, None, -13.0, 2012-02-07 00:00:00, 21.0, -3.2
0.0, None, -18.0, 2012-02-08 00:00:00, 21.0, -0.3
0.0, None, -12.7, 2012-02-09 00:00:00, 21.0, 0.9
0.0, None, -5.4, 2012-02-10 00:00:00, 21.0, 3.3
0.0, None, -0.8, 2012-02-11 00:00:00, 21.0, 2.4
0.6, None, -0.5, 2012-02-12 00:00:00, 20.0, 3.7
0.0, None, -7.6, 2012-02-13 00:00:00, 18.0, 1.4
