pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None, 9.02, 14.1, None, None, None, -48.0, 9.0, 9.0, 0.0, None, None,2022-10-01 00:00:00, None, None,40
None, 8.34, 14.1, None, None, None, -48.0, 8.3, 8.3, -0.1, None, None,2022-10-01 01:00:00, None, None,40
None, 8.21, 14.1, None, None, None, -48.0, 8.2, 8.1, -0.1, None, None,2022-10-01 02:00:00, None, None,40
None, 7.73, 14.1, -563.0, None, None, -49.0, 7.7, 7.7, 0.0, None, None,2022-10-01 03:00:00, None, None,40
None, 7.13, 14.1, None, None, None, -49.0, 7.1, 7.1, 0.0, None, None,2022-10-01 04:00:00, None, None,40
None, 6.502, 14.1, None, None, None, -49.0, 6.5, 6.5, 0.0, None, None,2022-10-01 05:00:00, None, None,40
None, 6.112, 14.1, None, None, None, -49.0, 6.1, 6.1, -0.1, None, None,2022-10-01 06:00:00, None, None,40
None, 6.56, 6.6, None, None, None, -49.0, 6.6, 6.1, 0.0, None, None,2022-10-01 07:00:00, None, None,40
None, 6.982, 7.0, None, None, None, -49.0, 7.0, 6.1, 0.1, None, None,2022-10-01 08:00:00, None, None,40
None, 9.35, 9.8, None, None, None, -48.0, 9.4, 6.1, None, None, None,2022-10-01 11:00:00, None, None,40
None, 14.34, 16.2, None, None, None, -45.0, 14.3, 6.1, None, None, None,2022-10-01 18:00:00, None, None,40
None, 13.04, 14.3, None, None, None, -45.0, 13.0, 13.0, 0.0, None, None,2022-10-01 19:00:00, None, None,40
None, 11.69, 14.3, None, None, None, -46.0, 11.7, 11.6, -0.2, None, None,2022-10-01 20:00:00, None, None,40
None, 10.88, 14.3, None, None, None, -47.0, 10.9, 10.8, 0.0, None, None,2022-10-01 21:00:00, None, None,40
None, 10.01, 14.3, None, None, None, -47.0, 10.0, 10.0, 0.0, None, None,2022-10-01 22:00:00, None, None,40
None, 8.83, 14.3, None, None, None, -48.0, 8.8, 8.8, 0.0, None, None,2022-10-01 23:00:00, None, None,40
None, 8.44, 14.3, None, None, None, -48.0, 8.4, 8.4, -0.1, None, None,2022-10-02 00:00:00, None, None,40
None, 8.02, 14.3, -581.0, None, None, -48.0, 8.0, 8.0, 0.0, None, None,2022-10-02 01:00:00, None, None,40
None, 7.34, 14.3, None, None, None, -49.0, 7.3, 7.3, 0.0, None, None,2022-10-02 02:00:00, None, None,40
None, 7.18, 14.3, None, None, None, -49.0, 7.2, 7.2, 0.0, None, None,2022-10-02 03:00:00, None, None,40
None, 6.569, 14.3, None, None, None, -49.0, 6.6, 6.4, 0.0, None, None,2022-10-02 04:00:00, None, None,40
None, 6.236, 14.3, None, None, None, -49.0, 6.2, 6.2, 0.0, None, None,2022-10-02 05:00:00, None, None,40
None, 6.245, 14.3, None, None, None, -49.0, 6.2, 6.2, 0.0, None, None,2022-10-02 06:00:00, None, None,40
None, 6.188, 6.3, None, None, None, -49.0, 6.2, 6.0, 0.0, None, None,2022-10-02 07:00:00, None, None,40
None, 6.618, 6.7, None, None, None, -49.0, 6.6, 6.0, 0.0, None, None,2022-10-02 08:00:00, None, None,40
None, 8.65, 9.0, None, None, None, -48.0, 8.7, 6.0, None, None, None,2022-10-02 11:00:00, None, None,40
None, 11.6, 11.6, None, None, None, -46.0, 11.6, 6.0, 0.2, None, None,2022-10-02 12:00:00, None, None,40
None, 15.32, 17.8, None, None, None, -44.0, 15.3, 6.0, None, None, None,2022-10-02 17:00:00, None, None,40
None, 13.38, 17.8, None, None, None, -45.0, 13.4, 6.0, -0.2, None, None,2022-10-02 18:00:00, None, None,40
None, 12.02, 13.4, None, None, None, -46.0, 12.0, 12.0, 0.0, None, None,2022-10-02 19:00:00, None, None,40
None, 11.01, 13.4, None, None, None, -47.0, 11.0, 11.0, 0.0, None, None,2022-10-02 20:00:00, None, None,40
None, 10.22, 13.4, None, None, None, -47.0, 10.2, 10.2, -0.1, None, None,2022-10-02 21:00:00, None, None,40
None, 9.47, 13.4, None, None, None, -48.0, 9.5, 9.5, 0.0, None, None,2022-10-02 22:00:00, None, None,40
None, 8.85, 13.4, None, None, None, -48.0, 8.9, 8.8, -0.2, None, None,2022-10-02 23:00:00, None, None,40
None, 8.44, 13.4, None, None, None, -48.0, 8.4, 8.4, 0.0, None, None,2022-10-03 00:00:00, None, None,40
