pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,-16.6,-18.7, 1009.1, 0.3, -1.0,-16.5,84.0,2022-12-24 00:00:00, 70.0,-19.0, 909.0,52
None,-17.1,-18.7, 1009.1, 0.0, 2.0,-16.4,85.0,2022-12-24 01:00:00, 71.0,-19.0, 909.0,52
None,-16.7,-18.7, 1010.1, 0.1, 0.0,-16.3,84.0,2022-12-24 02:00:00, 71.0,-18.0, 910.0,52
None,-15.9,-18.7, 1009.9, 0.1, 1.0,-15.8,84.0,2022-12-24 03:00:00, 71.0,-18.0, 910.0,52
None,-16.7,-18.7, 1009.0, 0.1, 0.0,-15.3,86.0,2022-12-24 04:00:00, 72.0,-18.0, 909.0,52
None,-16.4,-18.7, 1008.9, 0.1, 0.0,-15.3,86.0,2022-12-24 05:00:00, 72.0,-18.0, 909.0,52
None,-15.9,-18.7, 1007.7, 0.1, -1.0,-14.8,86.0,2022-12-24 06:00:00, 71.0,-18.0, 908.0,52
None,-15.4,-16.0, 1006.5, 0.1, 1.0,-15.1,85.0,2022-12-24 07:00:00, 72.0,-17.0, 907.0,52
3.4,-14.5,-16.0, 1004.2, 0.0, 0.0,-14.4,83.0,2022-12-24 08:00:00, 72.0,-16.0, 905.0,52
3.0,-13.4,-16.0, 1004.0, 0.1, 0.0,-13.4,79.0,2022-12-24 09:00:00, 72.0,-16.0, 905.0,52
3.0,-13.2,-16.0, 1003.8, 0.1, 0.0,-13.1,81.0,2022-12-24 10:00:00, 72.0,-16.0, 905.0,52
None,-13.0,-16.0, 1002.7, -0.1, 0.0,-12.7,80.0,2022-12-24 11:00:00, 72.0,-15.0, 904.0,52
None,-12.8,-16.0, 1001.5, 0.2, 2.0,-12.7,87.0,2022-12-24 12:00:00, 73.0,-14.0, 903.0,52
None,-12.5,-16.0, 1000.4, 0.8, 2.0,-12.1,86.0,2022-12-24 13:00:00, 74.0,-14.0, 902.0,52
None,-13.0,-16.0, 1000.5, 0.3, 1.0,-12.1,85.0,2022-12-24 14:00:00, 75.0,-15.0, 902.0,52
None,-13.4,-16.0, 1000.4, 0.8, 2.0,-12.1,85.0,2022-12-24 15:00:00, 77.0,-15.0, 902.0,52
None,-14.6,-16.0, 1002.9, 1.0, 0.0,-12.1,86.0,2022-12-24 16:00:00, 76.0,-16.0, 904.0,52
None,-14.7,-16.0, 1002.8, -0.1, 2.0,-12.1,86.0,2022-12-24 17:00:00, 78.0,-17.0, 904.0,52
None,-14.6,-16.0, 1002.8, 0.0, 0.0,-12.1,84.0,2022-12-24 18:00:00, 78.0,-17.0, 904.0,52
None,-15.0,-15.3, 1003.9, -0.1, 0.0,-14.6,83.0,2022-12-24 19:00:00, 78.0,-17.0, 905.0,52
None,-15.4,-15.4, 1004.9, 0.0, 0.0,-14.6,82.0,2022-12-24 20:00:00, 78.0,-17.0, 906.0,52
None,-15.4,-15.5, 1005.9, 0.0, 0.0,-14.6,83.0,2022-12-24 21:00:00, 78.0,-18.0, 907.0,52
None,-15.1,-15.6, 1008.1, 0.0, 0.0,-14.6,83.0,2022-12-24 22:00:00, 78.0,-18.0, 909.0,52
None,-15.9,-15.9, 1009.2, -0.1, 0.0,-14.6,83.0,2022-12-24 23:00:00, 77.0,-18.0, 910.0,52
None,-15.7,-16.1, 1010.3, 0.1, 0.0,-14.6,82.0,2022-12-25 00:00:00, 77.0,-18.0, 911.0,52
None,-15.8,-16.1, 1012.5, 0.0, 0.0,-14.6,82.0,2022-12-25 01:00:00, 77.0,-18.0, 913.0,52
None,-15.4,-16.1, 1014.7, 0.0, 0.0,-14.6,80.0,2022-12-25 02:00:00, 77.0,-18.0, 915.0,52
None,-15.7,-16.1, 1015.9, 0.0, 0.0,-14.6,84.0,2022-12-25 03:00:00, 77.0,-17.0, 916.0,52
None,-15.6,-16.1, 1016.0, 0.1, 0.0,-14.6,83.0,2022-12-25 04:00:00, 78.0,-17.0, 916.0,52
None,-15.1,-16.1, 1016.0, 0.0, -1.0,-14.6,86.0,2022-12-25 05:00:00, 77.0,-17.0, 916.0,52
None,-15.4,-16.1, 1016.0, 0.1, 0.0,-14.6,86.0,2022-12-25 06:00:00, 76.0,-17.0, 916.0,52
None,-14.9,-15.5, 1016.0, 0.0, 0.0,-14.8,84.0,2022-12-25 07:00:00, 76.0,-16.0, 916.0,52
None,-14.8,-15.5, 1016.0, 0.0, 0.0,-14.5,85.0,2022-12-25 08:00:00, 76.0,-16.0, 916.0,52
None,-14.3,-15.5, 1016.0, 0.0, 0.0,-14.0,84.0,2022-12-25 09:00:00, 76.0,-16.0, 916.0,52
None,-14.6,-15.5, 1014.9, 0.0, 0.0,-13.9,87.0,2022-12-25 10:00:00, 76.0,-16.0, 915.0,52
None,-13.6,-15.5, 1013.7, 0.1, 0.0,-13.7,84.0,2022-12-25 11:00:00, 76.0,-15.0, 914.0,52
None,-13.2,-15.5, 1011.4, 0.1, 0.0,-13.1,84.0,2022-12-25 12:00:00, 76.0,-15.0, 912.0,52
None,-12.3,-15.5, 1010.2, 0.1, 0.0,-12.0,85.0,2022-12-25 13:00:00, 76.0,-15.0, 911.0,52
None,-12.6,-15.5, 1009.1, 0.6, 2.0,-12.0,88.0,2022-12-25 14:00:00, 78.0,-14.0, 910.0,52
None,-11.3,-15.5, 1006.8, 2.0, 2.0,-10.9,89.0,2022-12-25 15:00:00, 80.0,-12.0, 908.0,52
None,-11.5,-15.5, 1005.7, 1.5, 2.0,-10.2,89.0,2022-12-25 16:00:00, 81.0,-12.0, 907.0,52
None,-10.6,-15.5, 1003.3, 1.0, 2.0,-10.2,90.0,2022-12-25 17:00:00, 83.0,-12.0, 905.0,52
None,-10.2,-15.5, 1002.2, 0.6, 1.0,-10.0,89.0,2022-12-25 18:00:00, 83.0,-12.0, 904.0,52
None,-9.8,-10.7, 1001.0, 1.0, 1.0,-9.7,91.0,2022-12-25 19:00:00, 83.0,-11.0, 903.0,52
None,-8.6,-10.7, 999.7, 1.4, 3.0,-8.4,92.0,2022-12-25 20:00:00, 86.0,-9.0, 902.0,52
None,-8.6,-10.7, 999.7, 1.5, 3.0,-8.0,92.0,2022-12-25 21:00:00, 88.0,-10.0, 902.0,52
None,-8.4,-10.7, 1000.8, 1.0, 2.0,-7.7,92.0,2022-12-25 22:00:00, 89.0,-9.0, 903.0,52
11.7,-4.2,-10.7, 1000.2, 1.1, 2.0,-4.1,97.0,2022-12-25 23:00:00, 90.0,-5.0, 903.0,52
11.7,-2.9,-10.7, 998.9, 0.1, 0.0,-2.9,98.0,2022-12-26 00:00:00, 90.0,-2.0, 902.0,52
11.7,-1.6,-10.7, 998.7, 0.0, 0.0,-1.4,97.0,2022-12-26 01:00:00, 90.0,-2.0, 902.0,52
