CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, 63.88, None,2016-02-09 13:00:00, None, None,20.65, None,25.95, None, None, None, None, None, 57.55,6
None, None, 59.03, None,2016-02-09 14:00:00, None, None,15.77, 6.133,19.84, None, None, None, None, None, 57.94,6
None, None, 54.27, None,2016-02-09 15:00:00, None, None,29.5, 2.683,8.56, None, None, None, None, None, 58.52,6
None, None, 59.87, None,2016-02-09 16:00:00, None, None,71.85, 1.989,323.7, None, None, None, None, None, 58.71,6
None, None, 62.57, None,2016-02-09 17:00:00, None, None,72.91, 2.911,284.3, None, None, None, None, None, 58.38,6
None, None, 67.11, None,2016-02-09 18:00:00, None, None,49.92, 3.738,195.8, None, None, None, None, None, 58.6,6
None, 6.729, 59.26, None,2016-02-09 19:00:00, None, None,33.91, 6.475,176.0, None, None, None, None, None, 58.47,6
None, 6.018, 63.49, None,2016-02-09 20:00:00, None, None,30.91, 5.058,195.9, None, None, None, None, None, 58.69,6
None, 5.825, 64.63, None,2016-02-09 21:00:00, None, None,27.26, 4.847,211.0, None, None, None, None, None, 58.29,6
None, 5.616, 65.31, None,2016-02-09 22:00:00, None, None,20.46, 5.285,186.2, None, None, None, None, None, 58.46,6
None, 6.096, 62.38, None,2016-02-09 23:00:00, None, None,28.19, 5.902,191.8, None, None, None, None, None, 58.29,6
None, 5.251, 68.38, None,2016-02-10 00:00:00, None, None,49.29, 5.771,186.2, None, None, None, None, None, 58.63,6
None, 5.806, 61.98, None,2016-02-10 01:00:00, None, None,60.65, 3.203,94.9, None, None, None, None, None, 58.51,6
None, 4.301, 71.68, None,2016-02-10 02:00:00, None, None,29.91, 5.676,188.2, None, None, None, None, None, 58.52,6
None, 5.301, 64.51, None,2016-02-10 03:00:00, None, None,19.14, 8.12,174.2, None, None, None, None, None, 58.46,6
None, 5.191, 64.43, None,2016-02-10 04:00:00, None, None,23.35, 7.559,178.1, None, None, None, None, None, 58.44,6
None, 5.003, 65.92, None,2016-02-10 05:00:00, None, None,23.1, 11.09,172.5, None, None, None, None, None, 58.31,6
None, 4.984, 66.78, None,2016-02-10 06:00:00, None, None,28.01, 9.34,168.3, None, None, None, None, None, 58.29,6
None, 4.773, 67.6, None,2016-02-10 07:00:00, None, None,55.9, 3.805,183.1, None, None, None, None, None, 58.94,6
None, 4.753, 66.96, None,2016-02-10 08:00:00, None, None,61.59, 4.799,168.5, None, None, None, None, None, 58.42,6
None, 5.988, 64.43, None,2016-02-10 09:00:00, None, None,48.71, 7.054,163.0, None, None, None, None, None, 58.21,6
None, 7.715, 57.48, None,2016-02-10 10:00:00, None, None,16.64, 14.83,175.0, None, None, None, None, None, 58.12,6
None, 6.107, 82.0, None,2016-02-10 12:00:00, None, None,36.89, 7.624,201.0, None, None, None, None, None, 57.36,6
None, 5.619, 82.8, None,2016-02-10 13:00:00, None, None,23.2, 9.2,173.8, None, None, None, None, None, 57.25,6
None, 4.523, 93.4, None,2016-02-10 14:00:00, None, None,17.4, 12.71,164.3, None, None, None, None, None, 57.6,6
None, 4.016, 96.1, None,2016-02-10 15:00:00, None, None,17.67, 11.96,163.2, None, None, None, None, None, 57.61,6
None, 4.167, 96.6, None,2016-02-10 16:00:00, None, None,14.9, 12.02,159.8, None, None, None, None, None, 56.91,6
None, 3.969, 97.0, None,2016-02-10 17:00:00, None, None,15.43, 13.21,162.8, None, None, None, None, None, 57.17,6
None, 3.93, 97.4, None,2016-02-10 18:00:00, None, None,12.46, 18.11,161.0, None, None, None, None, None, 56.96,6
None, 3.923, 97.4, None,2016-02-10 19:00:00, None, None,15.84, 18.98,169.8, None, None, None, None, None, 57.21,6
None, 3.794, 97.4, None,2016-02-10 20:00:00, None, None,16.1, 17.85,165.3, None, None, None, None, None, 57.2,6
None, 3.417, 96.5, None,2016-02-10 21:00:00, None, None,13.11, 19.41,158.0, None, None, None, None, None, 57.12,6
None, 3.616, 96.5, None,2016-02-10 22:00:00, None, None,12.56, 17.44,158.2, None, None, None, None, None, 57.02,6
None, 3.472, 96.7, None,2016-02-10 23:00:00, None, None,14.27, 18.0,153.0, None, None, None, None, None, 56.64,6
None, 3.285, 96.2, None,2016-02-11 00:00:00, None, None,14.09, 16.08,157.6, None, None, None, None, None, 56.6,6
None, 2.828, 95.4, None,2016-02-11 01:00:00, None, None,12.96, 15.58,165.5, None, None, None, None, None, 56.3,6
None, 2.732, 95.5, None,2016-02-11 02:00:00, None, None,11.22, 15.34,159.7, None, None, None, None, None, 56.22,6
None, 2.468, 94.0, None,2016-02-11 03:00:00, None, None,13.64, 10.59,163.2, None, None, None, None, None, 56.12,6
None, 1.681, 96.0, None,2016-02-11 04:00:00, None, None,51.11, 6.632,166.9, None, None, None, None, None, 56.21,6
None, 1.483, 96.4, None,2016-02-11 05:00:00, None, None,64.91, 4.165,61.09, None, None, None, None, None, 56.16,6
None, 1.472, 96.5, None,2016-02-11 06:00:00, None, None,18.01, 5.981,37.78, None, None, None, None, None, 56.14,6
None, 0.964, 96.6, None,2016-02-11 07:00:00, None, None,14.64, 10.34,27.24, None, None, None, None, None, 56.13,6
None, 1.068, 96.7, None,2016-02-11 08:00:00, None, None,13.84, 11.5,29.26, None, None, None, None, None, 56.22,6
None, 0.842, 96.4, None,2016-02-11 09:00:00, None, None,15.7, 15.61,29.66, None, None, None, None, None, 56.14,6
None, 1.817, 93.2, None,2016-02-11 10:00:00, None, None,17.15, 14.66,38.56, None, None, None, None, None, 56.1,6
None, 2.35, 90.4, None,2016-02-11 11:00:00, None, None,15.05, 15.26,28.02, None, None, None, None, None, 55.93,6
None, 3.112, 85.6, None,2016-02-11 12:00:00, None, None,16.03, 14.41,38.74, None, None, None, None, None, 56.05,6
None, 3.841, 77.61, None,2016-02-11 13:00:00, None, None,21.33, 10.27,31.46, None, None, None, None, None, 56.35,6
None, 4.657, 72.24, None,2016-02-11 14:00:00, None, None,25.61, 6.581,30.77, None, None, None, None, None, 56.41,6
None, 4.732, 69.98, None,2016-02-11 15:00:00, None, None,24.52, 5.306,28.42, None, None, None, None, None, 56.36,6
None, 4.563, 74.5, None,2016-02-11 16:00:00, None, None,69.97, 3.661,48.31, None, None, None, None, None, 55.91,6
None, 3.293, 87.1, None,2016-02-11 17:00:00, None, None,53.87, 4.996,167.1, None, None, None, None, None, 55.34,6
None, 2.767, 92.3, None,2016-02-11 18:00:00, None, None,58.73, 3.679,334.9, None, None, None, None, None, 55.03,6
None, 2.168, 95.4, None,2016-02-11 19:00:00, None, None,17.47, 6.509,38.81, None, None, None, None, None, 54.79,6
None, 1.868, 96.1, None,2016-02-11 20:00:00, None, None,13.07, 7.271,38.9, None, None, None, None, None, 54.53,6
None, 1.841, 96.0, None,2016-02-11 21:00:00, None, None,16.51, 4.732,43.15, None, None, None, None, None, 53.99,6
None, 1.544, 96.3, None,2016-02-11 22:00:00, None, None,25.93, 3.798,5.349, None, None, None, None, None, 53.92,6
None, 1.545, 96.2, None,2016-02-11 23:00:00, None, None,19.37, 4.264,22.76, None, None, None, None, None, 54.17,6
