station_observations
pcpn_amt_pst24hrs, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, cum_pcpn_amt, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, snw_dpth, MAX_TEMP
0.0, None, 0.0, 450.0, 998.0, None, 2019-12-10 10:00:00, None, None, 175.0, None
0.0, None, 1.0, 450.0, 998.0, None, 2019-12-10 18:00:00, 0.4, None, 175.0, None
None, None, None, 450.0, 997.0, None, 2019-12-10 19:00:00, 0.5, None, 175.0, None
None, None, 0.0, 450.0, 997.0, None, 2019-12-10 20:00:00, -0.3, None, 174.0, None
None, None, 0.0, 450.0, 997.0, None, 2019-12-10 21:00:00, -0.6, None, 174.0, None
None, None, 0.0, 450.0, 997.0, None, 2019-12-10 22:00:00, -1.5, None, 174.0, None
None, None, None, 450.0, 996.0, None, 2019-12-10 23:00:00, -2.4, None, 174.0, None
None, None, 1.0, 450.0, 997.0, None, 2019-12-11 00:00:00, -3.0, None, 174.0, None
None, None, 0.0, 450.0, 997.0, None, 2019-12-11 01:00:00, -4.1, None, 174.0, None
None, None, 0.0, 450.0, 997.0, None, 2019-12-11 02:00:00, -4.4, None, 173.0, None
0.0, None, 1.0, 450.0, 998.0, None, 2019-12-11 03:00:00, -3.0, None, 173.0, None
None, None, None, 450.0, 997.0, None, 2019-12-11 04:00:00, -4.2, None, 173.0, None
0.0, None, 1.0, 450.0, 998.0, None, 2019-12-11 05:00:00, -4.2, None, 173.0, None
0.0, None, 0.0, 450.0, 998.0, None, 2019-12-11 06:00:00, -4.4, None, 173.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 07:00:00, -4.5, None, 173.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 08:00:00, -3.3, None, 173.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 09:00:00, -3.5, None, 173.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 10:00:00, -3.2, None, 173.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 11:00:00, -3.0, None, 172.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 12:00:00, -3.1, None, 172.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 13:00:00, -3.3, None, 172.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 14:00:00, -3.1, None, 172.0, None
0.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 15:00:00, -3.6, None, 172.0, None
1.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 16:00:00, -6.3, None, 171.0, None
1.0, None, 0.0, 451.0, 998.0, None, 2019-12-11 17:00:00, -5.2, None, 171.0, None
