station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, snwfl_amt_pst1hr, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -28.86, 74.67, None, None, None, 0.0, -32.0, -28.9, -29.0, 1026.7, -0.2, -32.0, 881.0, -25.2, 75.0, None, 2022-01-01 00:00:00, 60.0, 60.38, 881.0
None, -29.23, 73.07, None, None, None, 0.0, -32.0, -29.2, -29.3, 1027.9, 0.0, -32.0, 882.0, -25.2, 73.0, None, 2022-01-01 01:00:00, 60.0, 60.35, 882.0
None, -29.34, 72.92, None, None, None, 0.0, -32.0, -29.3, -29.4, 1027.9, -0.1, -32.0, 882.0, -25.2, 73.0, None, 2022-01-01 02:00:00, 60.0, 60.34, 882.0
None, -29.35, 73.38, None, None, None, 0.0, -32.0, -29.4, -29.4, 1028.4, 0.0, -32.0, 882.0, -25.2, 73.0, None, 2022-01-01 03:00:00, 60.0, 60.32, 882.0
None, -29.52, 73.56, None, None, None, 0.0, -33.0, -29.5, -29.6, 1028.7, -0.1, -33.0, 882.0, -25.2, 74.0, None, 2022-01-01 04:00:00, 60.0, 60.21, 882.0
None, -29.62, 73.23, None, None, None, 0.0, -32.0, -29.6, -29.7, 1029.1, 0.0, -32.0, 882.0, -25.2, 73.0, None, 2022-01-01 05:00:00, 60.0, 60.34, 882.0
None, -28.97, 75.21, None, None, None, 0.0, -32.0, -29.0, -29.7, 1030.4, 0.1, -32.0, 883.0, -25.2, 75.0, None, 2022-01-01 06:00:00, 61.0, 60.56, 883.0
None, -27.05, 75.7, None, None, None, 0.0, -30.0, -27.1, -29.0, 1030.2, 0.4, -30.0, 883.0, -27.1, 76.0, None, 2022-01-01 07:00:00, 60.0, 60.45, 883.0
None, -26.82, 75.76, None, None, None, 0.0, -30.0, -26.8, -29.0, 1030.3, 0.0, -30.0, 883.0, -26.7, 76.0, None, 2022-01-01 08:00:00, 60.0, 60.32, 883.0
None, -24.96, 78.24, None, None, None, 0.0, -27.0, -25.0, -29.0, 1031.2, 0.3, -27.0, 884.0, -25.0, 78.0, None, 2022-01-01 09:00:00, 60.0, 60.3, 884.0
None, -22.41, 78.51, None, None, None, 0.0, -25.0, -22.4, -29.0, 1030.9, 0.6, -25.0, 884.0, -22.4, 79.0, None, 2022-01-01 10:00:00, 60.0, 60.08, 884.0
None, -19.66, 78.42, None, None, None, 0.0, -22.0, -19.7, -29.0, 1029.2, 0.7, -22.0, 883.0, -19.7, 78.0, None, 2022-01-01 11:00:00, 60.0, 59.88, 883.0
None, -19.16, 73.8, None, None, None, 0.0, -22.0, -19.2, -29.0, 1029.2, 0.2, -22.0, 883.0, -18.9, 74.0, None, 2022-01-01 12:00:00, 60.0, 59.92, 883.0
None, -18.68, 74.61, None, None, None, 0.0, -22.0, -18.7, -29.0, 1028.0, 0.0, -22.0, 882.0, -18.5, 75.0, None, 2022-01-01 13:00:00, 60.0, 59.96, 882.0
None, -19.29, 77.58, None, None, None, 0.0, -22.0, -19.3, -29.0, 1028.1, -0.1, -22.0, 882.0, -18.5, 78.0, None, 2022-01-01 14:00:00, 60.0, 59.95, 882.0
None, -19.49, 78.0, None, None, None, 0.0, -22.0, -19.5, -29.0, 1029.4, -0.2, -22.0, 883.0, -18.5, 78.0, None, 2022-01-01 15:00:00, 60.0, 60.02, 883.0
None, -19.86, 79.53, None, None, None, 0.0, -22.0, -19.9, -29.0, 1029.4, 0.0, -22.0, 883.0, -18.5, 80.0, None, 2022-01-01 16:00:00, 60.0, 59.94, 883.0
None, -20.1, 80.9, None, None, None, 1.0, -22.0, -20.1, -29.0, 1028.3, 0.0, -22.0, 882.0, -18.5, 81.0, None, 2022-01-01 17:00:00, 61.0, 60.63, 882.0
None, -20.12, 81.0, None, None, None, 1.0, -22.0, -20.1, -29.0, 1028.2, 0.1, -22.0, 882.0, -18.5, 81.0, None, 2022-01-01 18:00:00, 61.0, 60.91, 882.0
None, -19.89, 81.8, None, None, None, 0.0, -22.0, -19.9, -20.1, 1027.8, 0.1, -22.0, 882.0, -19.9, 82.0, None, 2022-01-01 19:00:00, 61.0, 60.92, 882.0
None, -19.7, 80.9, None, None, None, 0.0, -22.0, -19.7, -20.1, 1027.7, 0.2, -22.0, 882.0, -19.7, 81.0, None, 2022-01-01 20:00:00, 61.0, 60.57, 882.0
None, -19.55, 81.7, None, None, None, 0.0, -21.0, -19.6, -20.1, 1027.4, 0.0, -21.0, 882.0, -19.6, 82.0, None, 2022-01-01 21:00:00, 61.0, 60.52, 882.0
None, -19.57, 80.9, None, None, None, 0.0, -22.0, -19.6, -20.1, 1025.8, 0.1, -22.0, 881.0, -19.5, 81.0, None, 2022-01-01 22:00:00, 60.0, 60.45, 881.0
None, -19.7, 81.6, None, None, None, 0.0, -22.0, -19.7, -20.1, 1025.3, 0.0, -22.0, 881.0, -19.5, 82.0, None, 2022-01-01 23:00:00, 60.0, 60.42, 881.0
None, -19.7, 81.8, None, None, None, 0.0, -22.0, -19.7, -20.1, 1024.0, 0.0, -22.0, 880.0, -19.5, 82.0, None, 2022-01-02 00:00:00, 60.0, 60.37, 880.0
None, -19.7, 82.0, None, None, None, 0.0, -22.0, -19.7, -20.1, 1024.0, 0.0, -22.0, 880.0, -19.5, 82.0, None, 2022-01-02 01:00:00, 60.0, 60.38, 880.0
None, -19.7, 82.0, None, None, None, 0.0, -22.0, -19.7, -20.1, 1024.1, 0.0, -22.0, 880.0, -19.5, 82.0, None, 2022-01-02 02:00:00, 60.0, 60.37, 880.0
None, -19.23, 82.3, None, None, None, 0.0, -21.0, -19.2, -20.1, 1022.8, 0.2, -21.0, 879.0, -19.3, 82.0, None, 2022-01-02 03:00:00, 60.0, 60.42, 879.0
None, -18.59, 82.4, None, None, None, 0.0, -21.0, -18.6, -20.1, 1021.6, 0.1, -21.0, 878.0, -18.6, 82.0, None, 2022-01-02 04:00:00, 60.0, 60.4, 878.0
None, -18.12, 82.5, None, None, None, 0.0, -20.0, -18.1, -20.1, 1021.6, 0.1, -20.0, 878.0, -18.1, 83.0, None, 2022-01-02 05:00:00, 60.0, 60.27, 878.0
None, -17.67, 82.8, None, None, None, 0.0, -20.0, -17.7, -20.1, 1021.5, 0.2, -20.0, 878.0, -17.7, 83.0, None, 2022-01-02 06:00:00, 60.0, 60.39, 878.0
None, -17.39, 82.6, None, None, None, 0.0, -19.0, -17.4, -17.7, 1021.4, 0.4, -19.0, 878.0, -17.4, 83.0, None, 2022-01-02 07:00:00, 61.0, 60.53, 878.0
None, -17.0, 83.2, None, None, None, -1.0, -19.0, -17.0, -17.7, 1022.5, 0.3, -19.0, 879.0, -17.0, 83.0, None, 2022-01-02 08:00:00, 59.0, 59.41, 879.0
None, -16.39, 83.5, None, None, None, 0.0, -18.0, -16.4, -17.7, 1022.4, 0.3, -18.0, 879.0, -16.4, 84.0, None, 2022-01-02 09:00:00, 59.0, 58.98, 879.0
None, -15.5, 84.1, None, None, None, 2.0, -17.0, -15.5, -17.7, 1022.2, 0.2, -17.0, 879.0, -15.5, 84.0, None, 2022-01-02 10:00:00, 60.0, 60.36, 879.0
None, -14.75, 82.7, None, None, None, 2.0, -17.0, -14.8, -17.7, 1023.3, 0.5, -17.0, 880.0, -14.8, 83.0, None, 2022-01-02 11:00:00, 62.0, 62.06, 880.0
