station_observations
pcpn_amt_pst24hrs, air_temp, CURRENT_AIR_TEMPERATURE1, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, max_air_temp_snc_last_reset, rel_hum, time, dwpt_temp
None, -5.6, -5.597, -6.7, 1.4, -5.1, None, 2022-01-01 00:00:00, None
None, -5.5, -5.534, -6.7, 0.2, -5.1, None, 2022-01-01 01:00:00, None
None, -5.4, -5.39, -6.7, 0.2, -5.1, None, 2022-01-01 02:00:00, None
None, -5.2, -5.24, -6.7, -0.1, -5.1, None, 2022-01-01 03:00:00, None
None, -5.2, -5.236, -6.7, 0.5, -5.1, None, 2022-01-01 04:00:00, None
None, -5.0, -5.027, -6.7, -0.3, -5.0, None, 2022-01-01 05:00:00, None
None, -5.0, -4.987, -6.7, 0.0, -4.9, None, 2022-01-01 06:00:00, None
None, -5.0, -4.976, -5.1, 0.3, -4.9, None, 2022-01-01 07:00:00, None
None, -4.9, -4.92, -5.1, 0.5, -4.9, None, 2022-01-01 08:00:00, None
None, -4.6, -4.569, -5.1, 0.4, -4.6, None, 2022-01-01 09:00:00, None
None, -4.1, -4.111, -5.1, 0.5, -4.1, None, 2022-01-01 10:00:00, None
None, -3.2, -3.222, -5.1, 1.4, -3.2, None, 2022-01-01 11:00:00, None
None, -2.7, -2.701, -5.1, 2.6, -2.7, None, 2022-01-01 12:00:00, None
None, -2.4, -2.413, -5.1, 0.4, -2.3, None, 2022-01-01 13:00:00, None
None, -2.3, -2.316, -5.1, -1.0, -2.2, None, 2022-01-01 14:00:00, None
None, -1.7, -1.671, -5.1, 1.6, -1.6, None, 2022-01-01 15:00:00, None
None, -1.9, -1.91, -5.1, -1.0, -1.6, None, 2022-01-01 16:00:00, None
None, -1.1, -1.142, -5.1, 1.0, -1.0, None, 2022-01-01 17:00:00, None
None, -1.3, -1.338, -5.1, 0.1, -0.6, None, 2022-01-01 18:00:00, None
None, -1.3, -1.341, -1.6, 0.0, -1.2, None, 2022-01-01 19:00:00, None
None, -1.3, -1.338, -1.6, 0.2, -1.2, None, 2022-01-01 20:00:00, None
None, -0.7, -0.672, -1.6, 0.7, -0.2, None, 2022-01-01 21:00:00, None
None, -0.4, -0.44, -1.6, -0.7, 0.0, None, 2022-01-01 22:00:00, None
None, 0.9, 0.875, -1.6, 0.4, 1.2, None, 2022-01-01 23:00:00, None
None, 0.7, 0.65, -1.6, 0.7, 2.1, None, 2022-01-02 00:00:00, None
None, 0.2, 0.198, -1.6, 1.6, 2.1, None, 2022-01-02 01:00:00, None
None, 0.2, 0.193, -1.6, 4.8, 2.1, None, 2022-01-02 02:00:00, None
None, 0.1, 0.088, -1.6, 5.5, 2.1, None, 2022-01-02 03:00:00, None
None, 0.1, 0.118, -1.6, 3.0, 2.1, None, 2022-01-02 04:00:00, None
None, 0.2, 0.21, -1.6, 2.2, 2.1, None, 2022-01-02 05:00:00, None
None, 0.1, 0.071, -1.6, 3.6, 2.1, None, 2022-01-02 06:00:00, None
None, 0.3, 0.297, 0.0, 1.3, 0.3, None, 2022-01-02 07:00:00, None
None, 0.2, 0.247, 0.0, 1.8, 0.4, None, 2022-01-02 08:00:00, None
None, 0.4, 0.37, 0.0, 0.6, 0.4, None, 2022-01-02 09:00:00, None
None, 0.5, 0.474, 0.0, 0.5, 0.8, None, 2022-01-02 10:00:00, None
None, 0.6, 0.561, 0.0, 2.1, 0.8, None, 2022-01-02 11:00:00, None
None, 0.3, 0.33, 0.0, 3.4, 0.8, None, 2022-01-02 12:00:00, None
None, 0.8, 0.809, 0.0, 1.7, 0.9, None, 2022-01-02 13:00:00, None
None, 1.0, 1.0, 0.0, 1.1, 1.0, None, 2022-01-02 14:00:00, None
None, 0.9, 0.918, 0.0, 0.5, 1.1, None, 2022-01-02 15:00:00, None
None, 1.0, 0.96, 0.0, 0.3, 1.1, None, 2022-01-02 16:00:00, None
None, 1.6, 1.626, 0.0, 1.8, 2.0, None, 2022-01-02 17:00:00, None
None, 1.1, 1.093, 0.0, 0.9, 2.0, None, 2022-01-02 18:00:00, None
None, 1.1, 1.106, 1.0, 1.4, 1.3, None, 2022-01-02 19:00:00, None
None, 1.2, 1.154, 1.0, 0.5, 1.4, None, 2022-01-02 20:00:00, None
None, 1.2, 1.204, 1.0, 0.7, 1.5, None, 2022-01-02 21:00:00, None
40.4, 1.4, 1.395, 1.0, 0.1, 1.5, None, 2022-01-02 22:00:00, None
40.0, 1.4, 1.409, 1.0, 0.1, 1.8, None, 2022-01-02 23:00:00, None
40.3, 1.5, 1.485, 1.0, 1.0, 1.8, None, 2022-01-03 00:00:00, None
39.5, 1.2, 1.22, 1.0, 0.8, 2.4, None, 2022-01-03 01:00:00, None
37.4, 0.9, 0.878, 0.9, 2.7, 2.4, None, 2022-01-03 02:00:00, None
34.4, 0.7, 0.682, 0.5, 2.5, 2.4, None, 2022-01-03 03:00:00, None
32.3, 1.0, 0.967, 0.5, 0.9, 2.4, None, 2022-01-03 04:00:00, None
32.0, 0.7, 0.65, 0.5, 1.9, 2.4, None, 2022-01-03 05:00:00, None
30.1, 1.0, 0.961, 0.5, 1.7, 2.4, None, 2022-01-03 06:00:00, None
31.3, 1.2, 1.162, 0.9, 2.5, 1.4, None, 2022-01-03 07:00:00, None
30.1, 1.2, 1.157, 0.9, 0.6, 1.4, None, 2022-01-03 08:00:00, None
29.8, 1.3, 1.261, 0.9, 0.3, 1.4, None, 2022-01-03 09:00:00, None
29.5, 1.4, 1.419, 0.9, 0.2, 1.7, None, 2022-01-03 10:00:00, None
27.4, 2.3, 2.336, 0.9, 0.1, 2.4, None, 2022-01-03 11:00:00, None
24.2, 2.9, 2.88, 0.9, 0.2, 2.8, None, 2022-01-03 12:00:00, None
23.7, 2.5, 2.546, 0.9, 1.2, 3.4, None, 2022-01-03 13:00:00, None
23.8, 3.2, 3.206, 0.9, 1.2, 3.8, None, 2022-01-03 14:00:00, None
None, 3.5, 3.488, 0.9, -0.5, 3.8, None, 2022-01-03 15:00:00, None
None, 2.5, 2.522, 0.9, -0.4, 3.8, None, 2022-01-03 16:00:00, None
None, 2.6, 2.579, 0.9, 0.1, 3.8, None, 2022-01-03 17:00:00, None
None, 2.3, 2.26, 0.9, 0.1, 3.8, None, 2022-01-03 18:00:00, None
None, 1.1, 1.078, 1.0, -0.5, 2.3, None, 2022-01-03 19:00:00, None
None, 0.7, 0.678, 0.7, -0.2, 2.3, None, 2022-01-03 20:00:00, None
None, 0.5, 0.49, 0.4, 0.1, 2.3, None, 2022-01-03 21:00:00, None
None, 0.4, 0.377, 0.3, 0.1, 2.3, None, 2022-01-03 22:00:00, None
None, 0.3, 0.254, 0.2, -0.2, 2.3, None, 2022-01-03 23:00:00, None
None, 0.6, 0.55, 0.2, 0.6, 2.3, None, 2022-01-04 00:00:00, None
None, 0.6, 0.614, 0.2, 0.2, 2.3, None, 2022-01-04 01:00:00, None
None, 0.6, 0.615, 0.2, 0.3, 2.3, None, 2022-01-04 02:00:00, None
None, 0.4, 0.366, 0.2, 1.0, 2.3, None, 2022-01-04 03:00:00, None
None, 0.2, 0.249, 0.1, 1.1, 2.3, None, 2022-01-04 04:00:00, None
None, 0.2, 0.246, 0.1, 0.7, 2.3, None, 2022-01-04 05:00:00, None
None, 0.1, 0.143, 0.1, 1.1, 2.3, None, 2022-01-04 06:00:00, None
None, 0.1, 0.109, 0.1, 1.9, 0.3, None, 2022-01-04 07:00:00, None
None, 0.2, 0.15, 0.0, 0.2, 0.3, None, 2022-01-04 08:00:00, None
None, 0.7, 0.716, 0.0, 0.3, 0.8, None, 2022-01-04 09:00:00, None
None, 0.8, 0.813, 0.0, 0.6, 1.0, None, 2022-01-04 10:00:00, None
None, 1.2, 1.233, 0.0, 0.9, 1.2, None, 2022-01-04 11:00:00, None
None, 1.7, 1.691, 0.0, 0.0, 1.7, None, 2022-01-04 12:00:00, None
None, 1.8, 1.8, 0.0, -0.1, 1.9, None, 2022-01-04 13:00:00, None
None, 1.4, 1.42, 0.0, -0.2, 1.9, None, 2022-01-04 14:00:00, None
None, 0.4, 0.43, 0.0, 1.9, 1.9, None, 2022-01-04 15:00:00, None
None, 0.1, 0.082, 0.0, 2.3, 1.9, None, 2022-01-04 16:00:00, None
None, 0.1, 0.122, 0.0, 1.8, 1.9, None, 2022-01-04 17:00:00, None
None, -0.1, -0.08, -0.1, -0.4, 1.9, None, 2022-01-04 18:00:00, None
None, -0.6, -0.608, -0.6, -0.4, -0.1, None, 2022-01-04 19:00:00, None
None, -1.0, -1.011, -1.0, 0.1, -0.1, None, 2022-01-04 20:00:00, None
None, -1.3, -1.292, -1.4, -1.0, -0.1, None, 2022-01-04 21:00:00, None
None, -2.3, -2.275, -2.3, -1.5, -0.1, None, 2022-01-04 22:00:00, None
None, -2.2, -2.19, -2.5, -0.2, -0.1, None, 2022-01-04 23:00:00, None
None, -2.3, -2.274, -2.5, 1.1, -0.1, None, 2022-01-05 00:00:00, None
None, -3.4, -3.411, -3.5, -1.8, -0.1, None, 2022-01-05 01:00:00, None
None, -4.0, -4.008, -4.1, -0.2, -0.1, None, 2022-01-05 02:00:00, None
None, -4.3, -4.311, -4.5, -0.6, -0.1, None, 2022-01-05 03:00:00, None
None, -4.5, -4.45, -4.6, 0.4, -0.1, None, 2022-01-05 04:00:00, None
None, -4.8, -4.817, -5.1, -0.1, -0.1, None, 2022-01-05 05:00:00, None
None, -5.1, -5.069, -5.1, -0.2, -0.1, None, 2022-01-05 06:00:00, None
