station_observations
pcpn_amt_pst24hrs, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, max_air_temp_snc_last_reset, rel_hum, time, dwpt_temp, stn_pres
0.0, -29.0, -29.7, 1031.3, 0.0, 0.0, -23.8, 75.0, 2022-01-01 00:00:00, -32.0, 929.0
0.0, -28.6, -29.7, 1029.9, 0.0, 0.0, -23.8, 75.0, 2022-01-01 01:00:00, -31.0, 928.0
0.0, -29.4, -30.2, 1032.1, 0.0, 0.0, -23.8, 76.0, 2022-01-01 02:00:00, -32.0, 930.0
0.0, -28.0, -30.5, 1032.0, 0.0, 0.0, -23.8, 77.0, 2022-01-01 03:00:00, -30.0, 930.0
0.0, -29.6, -30.5, 1032.5, 0.0, 0.0, -23.8, 75.0, 2022-01-01 04:00:00, -32.0, 930.0
0.0, -29.1, -30.5, 1032.6, 0.0, 0.0, -23.8, 75.0, 2022-01-01 05:00:00, -32.0, 930.0
0.0, -28.1, -30.5, 1033.6, 0.0, 0.0, -23.8, 76.0, 2022-01-01 06:00:00, -31.0, 931.0
0.0, -26.4, -28.2, 1032.5, 0.0, 0.0, -26.3, 76.0, 2022-01-01 07:00:00, -29.0, 930.0
0.0, -26.2, -28.2, 1033.6, 0.0, 0.0, -26.2, 76.0, 2022-01-01 08:00:00, -29.0, 931.0
0.0, -25.0, -28.2, 1033.6, 0.0, 0.0, -24.9, 76.0, 2022-01-01 09:00:00, -28.0, 931.0
0.0, -24.2, -28.2, 1033.5, 0.0, 0.0, -23.4, 72.0, 2022-01-01 10:00:00, -27.0, 931.0
0.0, -22.2, -28.2, 1033.3, 0.0, 0.0, -22.1, 74.0, 2022-01-01 11:00:00, -25.0, 931.0
0.0, -22.1, -28.2, 1033.5, 0.0, 0.0, -22.1, 75.0, 2022-01-01 12:00:00, -25.0, 931.0
0.0, -21.3, -28.2, 1033.3, 0.0, 0.0, -21.0, 74.0, 2022-01-01 13:00:00, -24.0, 931.0
0.0, -20.4, -28.2, 1033.3, 0.0, 0.0, -20.5, 75.0, 2022-01-01 14:00:00, -23.0, 931.0
0.0, -19.9, -28.2, 1032.0, 0.0, 0.0, -19.6, 75.0, 2022-01-01 15:00:00, -23.0, 930.0
0.0, -20.0, -28.2, 1032.2, 0.0, 0.0, -19.6, 77.0, 2022-01-01 16:00:00, -23.0, 930.0
0.0, -19.5, -28.2, 1032.0, 0.0, 0.0, -19.5, 77.0, 2022-01-01 17:00:00, -22.0, 930.0
0.0, -19.3, -28.2, 1031.9, 0.0, 0.0, -19.2, 75.0, 2022-01-01 18:00:00, -22.0, 930.0
0.0, -19.2, -19.5, 1030.6, 0.0, 0.0, -19.0, 75.0, 2022-01-01 19:00:00, -22.0, 929.0
0.0, -19.8, -20.4, 1030.6, 0.0, 0.0, -19.0, 79.0, 2022-01-01 20:00:00, -22.0, 929.0
0.0, -19.3, -20.4, 1030.4, 0.0, 0.0, -19.0, 80.0, 2022-01-01 21:00:00, -22.0, 929.0
0.2, -18.9, -20.4, 1029.1, 0.2, 0.0, -18.8, 77.0, 2022-01-01 22:00:00, -22.0, 928.0
0.4, -19.2, -20.4, 1028.9, 0.2, 0.0, -18.7, 81.0, 2022-01-01 23:00:00, -21.0, 928.0
0.4, -19.3, -20.4, 1028.9, 0.0, 0.0, -18.7, 81.0, 2022-01-02 00:00:00, -22.0, 928.0
0.4, -18.9, -20.4, 1027.7, 0.0, 0.0, -18.3, 81.0, 2022-01-02 01:00:00, -21.0, 927.0
0.4, -18.7, -20.4, 1027.5, 0.0, 0.0, -18.3, 81.0, 2022-01-02 02:00:00, -21.0, 927.0
0.4, -18.5, -20.4, 1026.3, 0.0, 0.0, -18.2, 81.0, 2022-01-02 03:00:00, -21.0, 926.0
0.6, -18.2, -20.4, 1025.2, 0.2, 0.0, -18.1, 82.0, 2022-01-02 04:00:00, -20.0, 925.0
0.9, -17.7, -20.4, 1024.0, 0.3, 0.0, -17.6, 83.0, 2022-01-02 05:00:00, -20.0, 924.0
0.9, -17.3, -20.4, 1025.0, 0.1, 0.0, -17.2, 83.0, 2022-01-02 06:00:00, -19.0, 925.0
0.9, -16.9, -17.3, 1023.8, 0.1, 0.0, -16.8, 83.0, 2022-01-02 07:00:00, -19.0, 924.0
0.9, -16.6, -17.3, 1025.0, 0.1, 0.0, -16.3, 84.0, 2022-01-02 08:00:00, -18.0, 925.0
0.9, -17.0, -17.3, 1025.0, 0.1, 0.0, -16.3, 82.0, 2022-01-02 09:00:00, -19.0, 925.0
0.9, -16.3, -17.3, 1024.8, 0.1, 0.0, -16.3, 81.0, 2022-01-02 10:00:00, -18.0, 925.0
0.9, -15.3, -17.3, 1024.7, 0.1, 0.0, -15.4, 82.0, 2022-01-02 11:00:00, -18.0, 925.0
1.1, -15.3, -17.3, 1024.7, 0.2, 0.0, -15.1, 82.0, 2022-01-02 12:00:00, -17.0, 925.0
1.3, -14.8, -17.3, 1023.5, 0.2, 0.0, -14.6, 82.0, 2022-01-02 13:00:00, -17.0, 924.0
1.5, -14.4, -17.3, 1023.5, 0.2, 0.0, -14.2, 84.0, 2022-01-02 14:00:00, -16.0, 924.0
1.7, -14.3, -17.3, 1023.4, 0.2, 0.0, -13.9, 84.0, 2022-01-02 15:00:00, -16.0, 924.0
1.7, -14.2, -17.3, 1023.4, 0.1, 0.0, -13.9, 85.0, 2022-01-02 16:00:00, -16.0, 924.0
1.7, -14.0, -17.3, 1021.1, 0.1, 0.0, -13.9, 85.0, 2022-01-02 17:00:00, -16.0, 922.0
1.9, -13.9, -17.3, 1019.9, 0.2, 0.0, -13.8, 85.0, 2022-01-02 18:00:00, -16.0, 921.0
2.1, -13.7, -14.0, 1020.9, 0.2, 0.0, -13.7, 86.0, 2022-01-02 19:00:00, -15.0, 922.0
