station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time
79.26, None, None, None, 0.734, 9.69, -23.0, -21.3, None, None, None, None, None, 52.0, None, 52.35, None, None, -20.73, None, -20.0, 79.0, None, 53.67, None, -20.7, -0.1, 0.0, 2022-01-01 00:00:00
79.28, None, None, None, 0.85, 178.6, -23.0, -21.3, None, None, None, None, None, 52.0, None, 52.22, None, None, -20.95, None, -20.0, 79.0, None, 29.82, None, -21.0, -0.2, 0.0, 2022-01-01 01:00:00
80.0, None, None, None, 0.584, 226.8, -22.0, -21.3, None, None, None, None, None, 52.0, None, 51.98, None, None, -20.35, None, -19.9, 80.0, None, 70.11, None, -20.4, 0.3, 0.0, 2022-01-01 02:00:00
80.2, None, None, None, 5.159, 211.5, -23.0, -21.3, None, None, None, None, None, 52.0, None, 52.17, None, None, -20.36, None, -19.9, 80.0, None, 29.38, None, -20.4, -0.4, 0.0, 2022-01-01 03:00:00
79.53, None, None, None, 3.156, 197.5, -23.0, -21.3, None, None, None, None, None, 52.0, None, 51.9, None, None, -20.71, None, -19.9, 80.0, None, 41.6, None, -20.7, -0.3, 0.0, 2022-01-01 04:00:00
79.32, None, None, None, 3.125, 217.8, -23.0, -21.3, None, None, None, None, None, 52.0, None, 52.12, None, None, -20.54, None, -19.9, 79.0, None, 14.99, None, -20.5, 0.6, 0.0, 2022-01-01 05:00:00
79.84, None, None, None, 3.141, 194.4, -22.0, -20.3, None, None, None, None, None, 52.0, None, 51.85, None, None, -19.98, None, -19.4, 80.0, None, 38.06, None, -20.0, 0.6, 0.0, 2022-01-01 06:00:00
80.1, None, None, None, 2.672, 198.5, -22.0, -20.3, None, None, None, None, None, 52.0, None, 51.83, None, None, -19.63, None, -19.3, 80.0, None, 27.81, None, -19.6, 0.0, 0.0, 2022-01-01 07:00:00
80.4, None, None, None, 2.476, 282.2, -22.0, -20.3, None, None, None, None, None, 52.0, None, 51.71, None, None, -19.52, None, -19.3, 80.0, None, 65.66, None, -19.5, -0.1, 0.0, 2022-01-01 08:00:00
80.8, None, None, None, 2.039, 199.8, -21.0, -20.3, None, None, None, None, None, 52.0, None, 51.58, None, None, -19.06, None, -18.8, 81.0, None, 21.21, None, -19.1, 0.7, 0.0, 2022-01-01 09:00:00
