station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
None, -15.2, 79.59, -15.1, 80.0, -18.0, -15.2, -17.2, 996.0, 0.0, -18.0, 945.0, 0.0, 2022-01-01 00:00:00, None, 945.0
None, -14.81, 79.88, -14.7, 80.0, -17.0, -14.8, -17.2, 994.8, 0.0, -17.0, 944.0, 0.0, 2022-01-01 01:00:00, None, 944.0
None, -14.46, 80.2, -14.3, 80.0, -17.0, -14.5, -17.2, 992.6, 0.0, -17.0, 942.0, 0.0, 2022-01-01 02:00:00, None, 942.0
None, -13.98, 80.5, -13.9, 81.0, -17.0, -14.0, -17.2, 990.4, 0.0, -17.0, 940.0, 0.0, 2022-01-01 03:00:00, None, 940.0
None, -13.3, 81.4, -13.3, 81.0, -16.0, -13.3, -17.2, 988.3, 0.0, -16.0, 938.0, 0.0, 2022-01-01 04:00:00, None, 938.0
None, -12.48, 82.4, -12.3, 82.0, -14.0, -12.5, -17.2, 986.1, 0.0, -14.0, 936.0, 0.0, 2022-01-01 05:00:00, None, 936.0
None, -12.11, 82.5, -12.0, 83.0, -14.0, -12.1, -17.2, 984.0, 0.0, -14.0, 934.0, 0.0, 2022-01-01 06:00:00, None, 934.0
None, -11.56, 83.1, -11.4, 83.0, -13.0, -11.6, -12.1, 981.8, 0.0, -13.0, 932.0, 0.0, 2022-01-01 07:00:00, None, 932.0
None, -10.87, 83.1, -10.9, 83.0, -13.0, -10.9, -12.1, 979.7, 0.0, -13.0, 930.0, 0.0, 2022-01-01 08:00:00, None, 930.0
None, -10.2, 83.5, -10.3, 84.0, -13.0, -10.2, -12.1, 979.6, 0.0, -13.0, 930.0, 0.0, 2022-01-01 09:00:00, None, 930.0
None, -9.67, 83.7, -9.5, 84.0, -12.0, -9.7, -12.1, 979.5, 0.0, -12.0, 930.0, 0.0, 2022-01-01 10:00:00, None, 930.0
None, -8.85, 83.9, -8.9, 84.0, -11.0, -8.9, -12.1, 978.4, 0.0, -11.0, 929.0, 0.0, 2022-01-01 11:00:00, None, 929.0
