station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-10 23:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-11 00:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-11 01:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-11 02:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-11 03:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-11 04:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-11 05:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, None, None, None, 2022-02-11 06:00:00, None, None
None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 6999.0, None, None, 20.9, None, None, 2022-02-11 07:00:00, None, None
None, None, None, None, None, None, None, 19.07, 159.0, None, 45.55, None, None, -0.5, -0.8, None, None, 20.9, None, None, 2022-02-11 13:00:00, 251.0, 250.8
None, None, None, None, None, None, None, 24.49, -3.0, 15.0, 40.9, None, None, -0.5, -0.8, None, None, 20.9, None, None, 2022-02-11 14:00:00, 247.0, 247.4
None, None, None, None, None, None, None, 15.64, 1.0, 12.37, 55.05, None, None, -0.5, -0.8, None, None, 20.9, None, None, 2022-02-11 15:00:00, 248.0, 248.0
None, None, None, None, None, None, None, 22.33, 3.0, 6.208, 45.91, None, None, -0.1, -0.8, None, None, 20.9, None, None, 2022-02-11 16:00:00, 251.0, 250.6
None, None, None, None, None, None, None, 14.75, 2.0, 6.092, 54.44, None, None, 0.1, -0.8, None, None, 20.9, None, None, 2022-02-11 17:00:00, 252.0, 252.2
None, 0.365, None, None, None, None, None, 15.61, 1.0, 2.618, 42.15, -93.0, None, 0.4, -0.8, None, None, 20.9, -1166.0, None, 2022-02-11 18:00:00, 253.0, 253.1
None, None, None, None, None, None, None, 17.8, 2.0, 2.966, 43.5, None, None, 1.5, 0.2, None, None, 1.4, None, None, 2022-02-11 19:00:00, 254.0, 254.2
None, None, None, None, None, None, None, 15.6, 1.0, 3.343, 51.56, None, None, None, None, None, None, None, None, None, 2022-02-11 20:00:00, 255.0, 254.5
None, None, None, None, None, None, None, 11.49, 0.0, 2.423, 62.61, None, None, None, None, None, None, None, None, None, 2022-02-11 21:00:00, 255.0, 254.6
None, None, None, None, None, None, None, 35.2, -1.0, 0.72, 202.2, None, None, None, None, None, None, None, None, None, 2022-02-11 22:00:00, 254.0, 253.8
None, None, None, None, None, None, None, 13.89, 1.0, 1.21, 218.3, None, None, None, None, None, None, None, None, None, 2022-02-11 23:00:00, 255.0, 254.6
None, None, None, None, None, None, None, 52.61, 1.0, 0.644, 192.5, None, None, None, None, None, None, None, None, None, 2022-02-12 00:00:00, 255.0, 255.4
None, None, None, None, None, None, None, 9.86, -1.0, 1.932, 211.6, None, None, None, None, None, None, None, None, None, 2022-02-12 01:00:00, 255.0, 254.5
None, None, None, None, None, None, None, 69.5, 1.0, 1.617, 339.7, None, None, None, None, None, None, None, None, None, 2022-02-12 02:00:00, 255.0, 254.9
None, None, None, None, None, None, None, 33.86, -1.0, 2.717, 71.52, None, None, None, None, None, None, None, None, None, 2022-02-12 03:00:00, 254.0, 254.2
None, None, None, None, None, None, None, 20.61, -2.0, 8.26, 52.12, None, None, None, None, None, None, None, None, None, 2022-02-12 04:00:00, 253.0, 252.5
None, None, None, None, None, None, None, 21.57, 1.0, 9.45, 47.07, None, None, None, None, None, None, None, None, None, 2022-02-12 05:00:00, 253.0, 252.9
None, None, None, None, None, None, None, 21.63, -1.0, 9.91, 53.69, None, None, None, None, None, None, None, None, None, 2022-02-12 06:00:00, 252.0, 252.4
None, None, None, None, None, None, None, 21.31, 0.0, 10.47, 51.49, None, None, None, None, None, None, None, None, None, 2022-02-12 07:00:00, 252.0, 252.4
None, None, None, None, None, None, None, 15.12, 1.0, 10.52, 60.3, None, None, None, None, None, None, None, None, None, 2022-02-12 08:00:00, 253.0, 253.0
None, None, None, None, None, None, None, 17.3, 0.0, 7.629, 61.12, None, None, None, None, None, None, None, None, None, 2022-02-12 09:00:00, 253.0, 253.0
None, None, None, None, None, None, None, 19.1, 0.0, 11.45, 53.65, None, None, None, None, None, None, None, None, None, 2022-02-12 10:00:00, 253.0, 253.2
None, None, None, None, None, None, None, 18.61, 0.0, 11.52, 46.3, None, None, None, None, None, None, None, None, None, 2022-02-12 11:00:00, 253.0, 252.9
None, None, None, None, None, None, None, 29.08, -2.0, 11.01, 40.48, None, None, None, None, None, None, None, None, None, 2022-02-12 12:00:00, 251.0, 251.2
None, None, None, None, None, None, None, 20.33, -3.0, 10.33, 53.93, None, None, None, None, None, None, None, None, None, 2022-02-12 13:00:00, 248.0, 248.4
None, None, None, None, None, None, None, 28.18, -2.0, 8.13, 42.88, None, None, None, None, None, None, None, None, None, 2022-02-12 14:00:00, 246.0, 246.1
None, None, None, None, None, None, None, 15.7, 4.0, 12.28, 51.17, None, None, None, None, None, None, None, None, None, 2022-02-12 16:00:00, 250.0, 250.1
None, None, None, None, None, None, None, 18.67, 2.0, 12.18, 52.45, None, None, None, None, None, None, None, None, None, 2022-02-12 17:00:00, 252.0, 251.7
