station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time
62.99, None, None, None, 0.894, 8.67, -21.0, -20.4, -21.0, None, None, None, None, 45.0, None, 44.76, None, None, -15.91, None, -15.9, 63.0, None, 20.29, None, -15.9, -0.1, 1.0, 2022-01-01 00:00:00
65.44, None, None, None, 0.777, 85.0, -22.0, -20.4, -22.0, None, None, None, None, 44.0, None, 44.27, None, None, -17.56, None, -15.3, 65.0, None, 67.22, None, -17.6, 0.1, 0.0, 2022-01-01 01:00:00
49.85, None, None, None, 1.104, 31.21, -21.0, -20.4, -21.0, None, None, None, None, 45.0, None, 44.75, None, None, -14.05, None, -13.6, 50.0, None, 67.62, None, -14.1, -0.2, 1.0, 2022-01-01 02:00:00
52.84, None, None, None, 3.982, 247.6, -21.0, -20.4, -21.0, None, None, None, None, 45.0, None, 44.85, None, None, -14.08, None, -13.6, 53.0, None, 66.79, None, -14.1, -0.1, 0.0, 2022-01-01 03:00:00
57.18, None, None, None, 4.822, 254.2, -20.0, -20.4, -20.0, None, None, None, None, 45.0, None, 44.5, None, None, -14.27, None, -13.6, 57.0, None, 53.34, None, -14.3, -0.3, 0.0, 2022-01-01 04:00:00
63.29, None, None, None, 4.332, 264.9, -20.0, -20.4, -20.0, None, None, None, None, 45.0, None, 44.83, None, None, -14.95, None, -13.2, 63.0, None, 49.82, None, -15.0, 0.0, 1.0, 2022-01-01 05:00:00
63.19, None, None, None, 8.75, 249.2, -18.0, -20.4, -18.0, None, None, None, None, 44.0, None, 44.49, None, None, -12.95, None, -12.7, 63.0, None, 36.01, None, -13.0, -0.1, 0.0, 2022-01-01 06:00:00
68.69, None, None, None, 16.5, 243.0, -17.0, -13.8, -17.0, None, None, None, None, 44.0, None, 44.38, None, None, -13.13, None, -12.4, 69.0, None, 18.26, None, -13.1, -0.1, 0.0, 2022-01-01 07:00:00
78.56, None, None, None, 18.03, 246.9, -16.0, -15.2, -16.0, None, None, None, None, 45.0, None, 44.5, None, None, -13.2, None, -11.9, 79.0, None, 19.96, None, -13.2, 0.1, 0.0, 2022-01-01 08:00:00
77.41, None, None, None, 14.43, 244.8, -14.0, -15.2, -14.0, None, None, None, None, 45.0, None, 44.62, None, None, -11.05, None, -11.1, 77.0, None, 19.75, None, -11.1, 0.0, 0.0, 2022-01-01 09:00:00
76.88, None, None, None, 20.3, 254.2, -13.0, -15.2, -13.0, None, None, None, None, 44.0, None, 44.13, None, None, -10.37, None, -10.4, 77.0, None, 18.59, None, -10.4, -0.1, 0.0, 2022-01-01 10:00:00
79.67, None, None, None, 18.35, 241.4, -16.0, -15.2, -16.0, None, None, None, None, 44.0, None, 43.98, None, None, -14.03, None, -9.7, 80.0, None, 27.07, None, -14.0, 0.6, 0.0, 2022-01-01 11:00:00
83.5, None, None, None, 8.75, 214.9, -18.0, -19.3, -18.0, None, None, None, None, 45.0, None, 44.75, None, None, -16.31, None, -9.7, 84.0, None, 40.12, None, -16.3, 0.6, 1.0, 2022-01-01 12:00:00
80.5, None, None, None, 5.016, 220.4, -22.0, -19.9, -22.0, None, None, None, None, 44.0, None, 43.54, None, None, -19.48, None, -9.7, 81.0, None, 44.13, None, -19.5, 0.2, -1.0, 2022-01-01 13:00:00
79.71, None, None, None, 4.468, 230.6, -21.0, -19.9, -21.0, None, None, None, None, 44.0, None, 43.5, None, None, -18.35, None, -9.7, 80.0, None, 40.58, None, -18.4, -0.1, 0.0, 2022-01-01 14:00:00
79.67, None, None, None, 4.865, 213.1, -21.0, -19.9, -21.0, None, None, None, None, 44.0, None, 43.54, None, None, -18.95, None, -9.7, 80.0, None, 43.7, None, -19.0, 0.1, 0.0, 2022-01-01 15:00:00
80.1, None, None, None, 5.276, 232.1, -22.0, -19.9, -22.0, None, None, None, None, 44.0, None, 43.8, None, None, -19.59, None, -9.7, 80.0, None, 41.15, None, -19.6, 0.0, 1.0, 2022-01-01 16:00:00
79.3, None, None, None, 5.003, 222.8, -22.0, -19.9, -22.0, None, None, None, None, 43.0, None, 43.38, None, None, -19.7, None, -9.7, 79.0, None, 42.33, None, -19.7, -0.1, 0.0, 2022-01-01 17:00:00
79.88, None, None, None, 4.927, 184.8, -22.0, -19.9, -22.0, None, None, None, None, 43.0, None, 43.38, None, None, -19.52, None, -9.7, 80.0, None, 53.09, None, -19.5, 0.0, 0.0, 2022-01-01 18:00:00
78.71, None, None, None, 5.457, 173.7, -22.0, -19.9, -22.0, None, None, None, None, 44.0, None, 43.9, None, None, -19.84, None, -19.5, 79.0, None, 49.5, None, -19.8, -0.1, 1.0, 2022-01-01 19:00:00
78.58, None, None, None, 7.13, 168.4, -22.0, -20.0, -22.0, None, None, None, None, 44.0, None, 43.96, None, None, -19.84, None, -19.5, 79.0, None, 50.58, None, -19.8, 0.0, 0.0, 2022-01-01 20:00:00
79.16, None, None, None, 6.836, 196.3, -22.0, -20.0, -22.0, None, None, None, None, 44.0, None, 43.98, None, None, -19.3, None, -19.3, 79.0, None, 55.57, None, -19.3, -0.1, 0.0, 2022-01-01 21:00:00
79.59, None, None, None, 8.59, 215.3, -21.0, -20.0, -21.0, None, None, None, None, 44.0, None, 43.94, None, None, -18.6, None, -18.1, 80.0, None, 52.45, None, -18.6, -0.1, 0.0, 2022-01-01 22:00:00
79.82, None, None, None, 7.174, 214.6, -21.0, -20.0, -21.0, None, None, None, None, 44.0, None, 43.84, None, None, -18.26, None, -18.0, 80.0, None, 50.21, None, -18.3, 0.0, 0.0, 2022-01-01 23:00:00
83.9, None, None, None, 4.466, 257.1, -17.0, -20.0, -17.0, None, None, None, None, 45.0, None, 44.69, None, None, -15.02, None, -15.2, 84.0, None, 44.92, None, -15.0, -0.1, 1.0, 2022-01-02 00:00:00
86.9, None, None, None, 6.173, 255.9, -12.0, -20.0, -12.0, None, None, None, None, 44.0, None, 44.18, None, None, -9.99, None, -9.8, 87.0, None, 53.71, None, -10.0, -0.4, -1.0, 2022-01-02 01:00:00
85.5, None, None, None, 5.664, 253.6, -12.0, -20.0, -12.0, None, None, None, None, 44.0, None, 44.27, None, None, -10.25, None, -8.4, 86.0, None, 53.68, None, -10.3, -0.1, 0.0, 2022-01-02 02:00:00
67.13, None, None, None, 7.792, 232.3, -9.0, -20.0, -9.0, None, None, None, None, 45.0, None, 44.86, None, None, -4.508, None, -4.4, 67.0, None, 57.85, None, -4.5, -0.2, 1.0, 2022-01-02 03:00:00
71.76, None, None, None, 6.395, 259.6, -10.0, -20.0, -10.0, None, None, None, None, 45.0, None, 44.85, None, None, -6.472, None, -4.4, 72.0, None, 44.74, None, -6.5, -0.7, 0.0, 2022-01-02 04:00:00
74.2, None, None, None, 6.36, 202.7, -8.0, -20.0, -8.0, None, None, None, None, 45.0, None, 44.67, None, None, -4.709, None, -4.4, 74.0, None, 59.66, None, -4.7, 0.7, 0.0, 2022-01-02 05:00:00
