station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
None, -18.01, -17.9, None, None, None, None, -18.0, -19.3, 0.0, None, None, 2022-01-01 00:00:00, None, None
None, -17.86, -17.3, None, None, None, None, -17.9, -19.3, 0.0, None, None, 2022-01-01 01:00:00, None, None
None, -17.74, -17.3, None, None, None, None, -17.7, -19.3, 0.0, None, None, 2022-01-01 02:00:00, None, None
None, -17.9, -17.3, None, None, None, None, -17.9, -19.3, 0.0, None, None, 2022-01-01 03:00:00, None, None
None, -17.38, -17.3, None, None, None, None, -17.4, -19.3, -0.3, None, None, 2022-01-01 04:00:00, None, None
None, -17.59, -17.3, None, None, None, None, -17.6, -19.3, 0.2, None, None, 2022-01-01 05:00:00, None, None
None, -17.01, -17.0, None, None, None, None, -17.0, -19.3, -0.2, None, None, 2022-01-01 06:00:00, None, None
None, -16.84, -16.7, None, None, None, None, -16.8, -17.1, 0.0, None, None, 2022-01-01 07:00:00, None, None
None, -16.64, -16.6, None, None, None, None, -16.6, -17.1, 0.2, None, None, 2022-01-01 08:00:00, None, None
None, -16.13, -16.1, None, None, None, None, -16.1, -17.1, 0.0, None, None, 2022-01-01 09:00:00, None, None
None, -15.46, -15.5, None, None, None, None, -15.5, -17.1, -0.3, None, None, 2022-01-01 10:00:00, None, None
None, -14.99, -15.0, None, None, None, None, -15.0, -17.1, -0.2, None, None, 2022-01-01 11:00:00, None, None
None, -14.19, -14.2, None, None, None, None, -14.2, -17.1, 0.3, None, None, 2022-01-01 12:00:00, None, None
None, -14.25, -14.0, None, None, None, None, -14.3, -17.1, 0.1, None, None, 2022-01-01 13:00:00, None, None
None, -13.98, -14.0, None, None, None, None, -14.0, -17.1, 0.0, None, None, 2022-01-01 14:00:00, None, None
None, -13.83, -13.8, None, None, None, None, -13.8, -17.1, 0.0, None, None, 2022-01-01 15:00:00, None, None
None, -13.97, -13.8, None, None, None, None, -14.0, -17.1, 0.0, None, None, 2022-01-01 16:00:00, None, None
None, -14.04, -13.8, None, None, None, None, -14.0, -17.1, 0.0, None, None, 2022-01-01 17:00:00, None, None
None, -14.1, -13.8, None, None, None, None, -14.1, -17.1, 0.0, None, None, 2022-01-01 18:00:00, None, None
None, -13.65, -13.6, None, None, None, None, -13.7, -14.1, 0.5, None, None, 2022-01-01 19:00:00, None, None
None, -13.7, -13.6, None, None, None, None, -13.7, -14.1, 0.0, None, None, 2022-01-01 20:00:00, None, None
None, -13.61, -13.6, None, None, None, None, -13.6, -14.1, 0.0, None, None, 2022-01-01 21:00:00, None, None
None, -13.5, -13.5, None, None, None, None, -13.5, -14.1, 0.7, None, None, 2022-01-01 22:00:00, None, None
None, -13.28, -13.1, None, None, None, None, -13.3, -14.1, 1.0, None, None, 2022-01-01 23:00:00, None, None
None, -13.18, -13.1, None, None, None, None, -13.2, -14.1, 1.2, None, None, 2022-01-02 00:00:00, None, None
None, -13.01, -13.0, None, None, None, None, -13.0, -14.1, 0.4, None, None, 2022-01-02 01:00:00, None, None
None, -12.56, -12.5, None, None, None, None, -12.6, -14.1, 0.4, None, None, 2022-01-02 02:00:00, None, None
None, -12.57, -12.5, None, None, None, None, -12.6, -14.1, 0.5, None, None, 2022-01-02 03:00:00, None, None
None, -12.18, -12.2, None, None, None, None, -12.2, -14.1, 0.5, None, None, 2022-01-02 04:00:00, None, None
None, -12.41, -12.1, None, None, None, None, -12.4, -14.1, 1.0, None, None, 2022-01-02 05:00:00, None, None
None, -12.37, -12.1, None, None, None, None, -12.4, -14.1, 0.3, None, None, 2022-01-02 06:00:00, None, None
None, -11.85, -11.8, None, None, None, None, -11.9, -12.4, 0.1, None, None, 2022-01-02 07:00:00, None, None
None, -11.87, -11.8, None, None, None, None, -11.9, -12.4, 0.0, None, None, 2022-01-02 08:00:00, None, None
None, -11.57, -11.6, None, None, None, None, -11.6, -12.4, 0.0, None, None, 2022-01-02 09:00:00, None, None
None, -10.72, -10.7, None, None, None, None, -10.7, -12.4, 0.0, None, None, 2022-01-02 10:00:00, None, None
6.8, -10.11, -10.1, None, None, None, None, -10.1, -12.4, 0.0, None, None, 2022-01-02 11:00:00, None, None
6.5, -9.13, -9.1, None, None, None, None, -9.1, -12.4, 0.0, None, None, 2022-01-02 12:00:00, None, None
6.5, -9.36, -8.9, None, None, None, None, -9.4, -12.4, 0.0, None, None, 2022-01-02 13:00:00, None, None
6.8, -9.78, -8.9, None, None, None, None, -9.8, -12.4, 0.3, None, None, 2022-01-02 14:00:00, None, None
7.8, -9.96, -8.9, None, None, None, None, -10.0, -12.4, 1.0, None, None, 2022-01-02 15:00:00, None, None
8.7, -10.08, -8.9, None, None, None, None, -10.1, -12.4, 0.9, None, None, 2022-01-02 16:00:00, None, None
9.2, -10.1, -8.9, None, None, None, None, -10.1, -12.4, 0.5, None, None, 2022-01-02 17:00:00, None, None
10.1, -9.97, -8.9, None, None, None, None, -10.0, -12.4, 0.9, None, None, 2022-01-02 18:00:00, None, None
10.2, -10.0, -9.9, None, None, None, None, -10.0, -10.0, 0.6, None, None, 2022-01-02 19:00:00, None, None
10.8, -9.84, -9.8, None, None, None, None, -9.8, -10.0, 0.6, None, None, 2022-01-02 20:00:00, None, None
11.4, -9.85, -9.8, None, None, None, None, -9.9, -10.0, 0.6, None, None, 2022-01-02 21:00:00, None, None
10.9, -9.7, -9.7, None, None, None, None, -9.7, -10.0, 0.2, None, None, 2022-01-02 22:00:00, None, None
10.1, -9.49, -9.5, None, None, None, None, -9.5, -10.0, 0.2, None, None, 2022-01-02 23:00:00, None, None
8.9, -9.82, -9.5, None, None, None, None, -9.8, -10.0, 0.1, None, None, 2022-01-03 00:00:00, None, None
9.2, -9.53, -9.5, None, None, None, None, -9.5, -10.0, 0.7, None, None, 2022-01-03 01:00:00, None, None
9.3, -9.52, -9.4, None, None, None, None, -9.5, -10.0, 0.5, None, None, 2022-01-03 02:00:00, None, None
9.2, -9.4, -9.3, None, None, None, None, -9.4, -10.0, 0.4, None, None, 2022-01-03 03:00:00, None, None
9.2, -9.51, -9.3, None, None, None, None, -9.5, -10.0, 0.5, None, None, 2022-01-03 04:00:00, None, None
9.2, -9.48, -9.3, None, None, None, None, -9.5, -10.0, 1.0, None, None, 2022-01-03 05:00:00, None, None
9.5, -9.46, -9.3, None, None, None, None, -9.5, -10.0, 0.6, None, None, 2022-01-03 06:00:00, None, None
9.7, -9.16, -9.2, None, None, None, None, -9.2, -9.5, 0.2, None, None, 2022-01-03 07:00:00, None, None
9.7, -9.14, -9.1, None, None, None, None, -9.1, -9.5, 0.0, None, None, 2022-01-03 08:00:00, None, None
10.0, -8.78, -8.8, None, None, None, None, -8.8, -9.5, 0.3, None, None, 2022-01-03 09:00:00, None, None
10.9, -8.55, -8.6, None, None, None, None, -8.6, -9.5, 0.9, None, None, 2022-01-03 10:00:00, None, None
11.7, -8.15, -8.2, None, None, None, None, -8.2, -9.5, 0.8, None, None, 2022-01-03 11:00:00, None, None
12.4, -7.57, -7.5, None, None, None, None, -7.6, -9.5, 0.7, None, None, 2022-01-03 12:00:00, None, None
12.6, -7.41, -7.3, None, None, None, None, -7.4, -9.5, 0.2, None, None, 2022-01-03 13:00:00, None, None
12.5, -7.95, -7.3, None, None, None, None, -8.0, -9.5, 0.2, None, None, 2022-01-03 14:00:00, None, None
11.8, -8.52, -7.3, None, None, None, None, -8.5, -9.5, 0.3, None, None, 2022-01-03 15:00:00, None, None
