station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, PRECIP_DETECTOR_RATIO, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
None, None, 83.9, None, None, None, 2.928, 23.66, None, 256.0, -47.0, None, -45.1, -45.7, 0.0, -47.0, None, None, -45.1, None, None, 84.0, None, 2022-01-01 00:00:00, None, None, None, None
None, None, 84.2, None, None, None, 4.553, 24.6, None, 256.2, -46.0, None, -44.6, -45.7, 0.0, -46.0, None, None, -44.6, None, None, 84.0, None, 2022-01-01 01:00:00, None, None, None, None
None, None, 83.5, None, None, None, 7.84, 23.47, None, 249.3, -47.0, None, -45.2, -45.7, 0.0, -47.0, None, None, -44.6, None, None, 84.0, None, 2022-01-01 02:00:00, None, None, None, None
None, None, 84.1, None, None, None, 7.37, 32.46, None, 251.7, -46.0, None, -44.9, -45.7, 0.0, -46.0, None, None, -44.6, None, None, 84.0, None, 2022-01-01 03:00:00, None, None, None, None
None, None, 85.6, None, None, None, 6.837, 33.97, None, 255.3, -46.0, None, -44.5, -45.7, 0.0, -46.0, None, None, -44.5, None, None, 86.0, None, 2022-01-01 04:00:00, None, None, None, None
None, None, 85.4, None, None, None, 8.18, 35.67, None, 259.2, -46.0, None, -44.6, -45.7, 0.0, -46.0, None, None, -44.5, None, None, 85.0, None, 2022-01-01 05:00:00, None, None, None, None
None, None, 85.8, None, None, None, 9.92, 33.71, None, 260.9, -46.0, None, -44.5, -45.7, 0.0, -46.0, None, None, -44.4, None, None, 86.0, None, 2022-01-01 06:00:00, None, None, None, None
None, None, 86.0, None, None, None, 9.83, 33.87, None, 259.7, -45.0, None, -44.2, -44.5, 0.0, -45.0, None, None, -44.0, None, None, 86.0, None, 2022-01-01 07:00:00, None, None, None, None
None, None, 86.5, None, None, None, 9.04, 37.88, None, 259.9, -45.0, None, -43.9, -44.5, 0.0, -45.0, None, None, -43.8, None, None, 87.0, None, 2022-01-01 08:00:00, None, None, None, None
None, None, 87.1, None, None, None, 8.84, 37.09, None, 260.7, -45.0, None, -43.6, -44.5, 0.0, -45.0, None, None, -43.5, None, None, 87.0, None, 2022-01-01 09:00:00, None, None, None, None
None, None, 86.8, None, None, None, 11.48, 28.62, None, 265.0, -45.0, None, -43.6, -44.5, 0.0, -45.0, None, None, -43.4, None, None, 87.0, None, 2022-01-01 10:00:00, None, None, None, None
None, None, 87.6, None, None, None, 14.71, 24.11, None, 226.7, -44.0, None, -42.8, -44.5, 0.0, -44.0, None, None, -42.8, None, None, 88.0, None, 2022-01-01 11:00:00, None, None, None, None
None, None, 88.3, None, None, None, 17.01, 26.14, None, 204.9, -44.0, None, -42.5, -44.5, 0.0, -44.0, None, None, -42.5, None, None, 88.0, None, 2022-01-01 12:00:00, None, None, None, None
None, None, 87.8, None, None, None, 11.15, 36.63, None, 220.0, -44.0, None, -43.0, -44.5, 0.0, -44.0, None, None, -42.4, None, None, 88.0, None, 2022-01-01 13:00:00, None, None, None, None
None, None, 87.7, None, None, None, 11.01, 38.59, None, 227.0, -44.0, None, -43.0, -44.5, 0.0, -44.0, None, None, -42.4, None, None, 88.0, None, 2022-01-01 14:00:00, None, None, None, None
None, None, 87.4, None, None, None, 8.18, 34.83, None, 235.3, -44.0, None, -43.2, -44.5, 0.0, -44.0, None, None, -42.4, None, None, 87.0, None, 2022-01-01 15:00:00, None, None, None, None
None, None, 87.7, None, None, None, 8.91, 30.82, None, 232.0, -44.0, None, -42.7, -44.5, 0.0, -44.0, None, None, -42.4, None, None, 88.0, None, 2022-01-01 16:00:00, None, None, None, None
None, None, 90.1, None, None, None, 9.33, 40.21, None, 230.2, -42.0, None, -41.3, -44.5, 0.0, -42.0, None, None, -41.3, None, None, 90.0, None, 2022-01-01 17:00:00, None, None, None, None
None, None, 90.0, None, None, None, 9.88, 57.83, None, 224.2, -42.0, None, -41.1, -44.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-01 18:00:00, None, None, None, None
None, None, 89.9, None, None, None, 11.97, 58.79, None, 215.7, -42.0, None, -41.2, -41.2, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-01 19:00:00, None, None, None, None
None, None, 89.9, None, None, None, 12.99, 58.63, None, 202.9, -42.0, None, -41.3, -41.3, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-01 20:00:00, None, None, None, None
None, None, 89.7, None, None, None, 16.75, 42.8, None, 192.1, -42.0, None, -41.4, -41.4, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-01 21:00:00, None, None, None, None
None, None, 89.9, None, None, None, 16.28, 38.76, None, 195.8, -42.0, None, -41.4, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-01 22:00:00, None, None, None, None
None, None, 89.8, None, None, None, 18.79, 37.51, None, 195.5, -42.0, None, -41.4, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-01 23:00:00, None, None, None, None
None, None, 89.9, None, None, None, 16.2, 38.1, None, 196.1, -42.0, None, -41.4, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 00:00:00, None, None, None, None
None, None, 89.8, None, None, None, 14.12, 39.46, None, 197.3, -42.0, None, -41.4, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 01:00:00, None, None, None, None
None, None, 89.8, None, None, None, 17.12, 36.19, None, 205.2, -42.0, None, -41.4, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 02:00:00, None, None, None, None
None, None, 89.8, None, None, None, 15.56, 32.85, None, 207.0, -42.0, None, -41.4, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 03:00:00, None, None, None, None
None, None, 90.2, None, None, None, 12.71, 37.23, None, 208.2, -42.0, None, -41.3, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 04:00:00, None, None, None, None
None, None, 90.3, None, None, None, 13.71, 43.4, None, 220.9, -42.0, None, -41.1, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 05:00:00, None, None, None, None
None, None, 90.2, None, None, None, 8.31, 42.03, None, 223.2, -42.0, None, -41.1, -41.5, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 06:00:00, None, None, None, None
None, None, 89.9, None, None, None, 13.81, 32.8, None, 214.6, -42.0, None, -41.3, -41.3, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 07:00:00, None, None, None, None
None, None, 90.0, None, None, None, 9.34, 33.32, None, 181.4, -42.0, None, -41.2, -41.4, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-02 08:00:00, None, None, None, None
None, None, 90.5, None, None, None, 15.75, 26.65, None, 163.0, -42.0, None, -40.9, -41.4, 0.0, -42.0, None, None, -40.9, None, None, 91.0, None, 2022-01-02 09:00:00, None, None, None, None
None, None, 90.9, None, None, None, 17.19, 28.9, None, 177.8, -41.0, None, -40.5, -41.4, 0.0, -41.0, None, None, -40.4, None, None, 91.0, None, 2022-01-02 10:00:00, None, None, None, None
None, None, 90.9, None, None, None, 17.31, 23.96, None, 172.8, -41.0, None, -40.5, -41.4, 0.0, -41.0, None, None, -40.4, None, None, 91.0, None, 2022-01-02 11:00:00, None, None, None, None
None, None, 91.1, None, None, None, 14.25, 22.71, None, 158.7, -41.0, None, -40.5, -41.4, 0.0, -41.0, None, None, -40.4, None, None, 91.0, None, 2022-01-02 12:00:00, None, None, None, None
None, None, 91.1, None, None, None, 11.78, 24.17, None, 161.9, -41.0, None, -40.4, -41.4, 0.0, -41.0, None, None, -40.4, None, None, 91.0, None, 2022-01-02 13:00:00, None, None, None, None
None, None, 91.4, None, None, None, 14.66, 21.5, None, 160.0, -41.0, None, -40.2, -41.4, 0.0, -41.0, None, None, -40.2, None, None, 91.0, None, 2022-01-02 14:00:00, None, None, None, None
None, None, 91.3, None, None, None, 16.61, 27.65, None, 176.2, -41.0, None, -40.1, -41.4, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 15:00:00, None, None, None, None
None, None, 91.4, None, None, None, 18.54, 25.53, None, 163.0, -41.0, None, -40.1, -41.4, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 16:00:00, None, None, None, None
None, None, 91.5, None, None, None, 16.1, 24.66, None, 161.3, -41.0, None, -40.2, -41.4, 0.0, -41.0, None, None, -40.1, None, None, 92.0, None, 2022-01-02 17:00:00, None, None, None, None
None, None, 91.4, None, None, None, 14.57, 25.21, None, 153.2, -41.0, None, -40.1, -41.4, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 18:00:00, None, None, None, None
None, None, 91.4, None, None, None, 14.58, 22.99, None, 165.5, -41.0, None, -40.1, -40.2, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 19:00:00, None, None, None, None
None, None, 91.3, None, None, None, 16.54, 23.11, None, 167.9, -41.0, None, -40.2, -40.2, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 20:00:00, None, None, None, None
None, None, 91.2, None, None, None, 14.46, 21.11, None, 149.2, -41.0, None, -40.3, -40.3, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 21:00:00, None, None, None, None
None, None, 91.3, None, None, None, 12.84, 23.44, None, 149.8, -41.0, None, -40.3, -40.3, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 22:00:00, None, None, None, None
None, None, 91.0, None, None, None, 14.87, 19.83, None, 154.0, -41.0, None, -40.4, -40.4, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-02 23:00:00, None, None, None, None
None, None, 91.1, None, None, None, 14.86, 20.1, None, 153.7, -41.0, None, -40.5, -40.5, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-03 00:00:00, None, None, None, None
None, None, 91.1, None, None, None, 12.88, 20.29, None, 157.5, -41.0, None, -40.5, -40.5, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-03 01:00:00, None, None, None, None
None, None, 90.9, None, None, None, 10.49, 20.67, None, 161.9, -41.0, None, -40.6, -40.6, 0.0, -41.0, None, None, -40.1, None, None, 91.0, None, 2022-01-03 02:00:00, None, None, None, None
None, None, 90.4, None, None, None, 8.97, 24.97, None, 156.0, -42.0, None, -41.1, -41.1, 0.0, -42.0, None, None, -40.1, None, None, 90.0, None, 2022-01-03 03:00:00, None, None, None, None
None, None, 90.3, None, None, None, 12.9, 25.18, None, 159.7, -42.0, None, -41.2, -41.2, 0.0, -42.0, None, None, -40.1, None, None, 90.0, None, 2022-01-03 04:00:00, None, None, None, None
None, None, 90.2, None, None, None, 12.06, 22.96, None, 161.0, -42.0, None, -41.2, -41.3, 0.0, -42.0, None, None, -40.1, None, None, 90.0, None, 2022-01-03 05:00:00, None, None, None, None
None, None, 90.1, None, None, None, 9.56, 20.36, None, 162.7, -42.0, None, -41.2, -41.3, 0.0, -42.0, None, None, -40.1, None, None, 90.0, None, 2022-01-03 06:00:00, None, None, None, None
None, None, 89.9, None, None, None, 11.87, 16.88, None, 170.5, -42.0, None, -41.3, -41.3, 0.0, -42.0, None, None, -41.2, None, None, 90.0, None, 2022-01-03 07:00:00, None, None, None, None
None, None, 90.0, None, None, None, 25.68, 18.92, None, 183.8, -42.0, None, -41.3, -41.4, 0.0, -42.0, None, None, -41.2, None, None, 90.0, None, 2022-01-03 08:00:00, None, None, None, None
None, None, 90.1, None, None, None, 25.66, 12.47, None, 194.3, -42.0, None, -41.3, -41.4, 0.0, -42.0, None, None, -41.2, None, None, 90.0, None, 2022-01-03 09:00:00, None, None, None, None
None, None, 90.1, None, None, None, 12.99, 14.23, None, 161.8, -42.0, None, -41.3, -41.4, 0.0, -42.0, None, None, -41.2, None, None, 90.0, None, 2022-01-03 10:00:00, None, None, None, None
None, None, 90.3, None, None, None, 13.06, 26.24, None, 177.4, -42.0, None, -41.2, -41.4, 0.0, -42.0, None, None, -41.2, None, None, 90.0, None, 2022-01-03 11:00:00, None, None, None, None
None, None, 89.7, None, None, None, 14.69, 27.76, None, 191.6, -43.0, None, -41.6, -41.6, 0.0, -43.0, None, None, -41.1, None, None, 90.0, None, 2022-01-03 12:00:00, None, None, None, None
None, None, 90.0, None, None, None, 22.69, 17.03, None, 160.7, -42.0, None, -41.4, -41.6, 0.0, -42.0, None, None, -41.1, None, None, 90.0, None, 2022-01-03 13:00:00, None, None, None, None
None, None, 89.6, None, None, None, 12.76, 22.96, None, 164.0, -43.0, None, -41.6, -41.6, 0.0, -43.0, None, None, -41.1, None, None, 90.0, None, 2022-01-03 14:00:00, None, None, None, None
None, None, 89.4, None, None, None, 12.86, 22.41, None, 169.9, -43.0, None, -41.8, -41.8, 0.0, -43.0, None, None, -41.1, None, None, 89.0, None, 2022-01-03 15:00:00, None, None, None, None
None, None, 88.9, None, None, None, 13.1, 25.71, None, 191.9, -43.0, None, -42.1, -42.1, 0.0, -43.0, None, None, -41.1, None, None, 89.0, None, 2022-01-03 16:00:00, None, None, None, None
None, None, 88.7, None, None, None, 12.95, 29.72, None, 199.2, -43.0, None, -42.3, -42.3, 0.0, -43.0, None, None, -41.1, None, None, 89.0, None, 2022-01-03 17:00:00, None, None, None, None
None, None, 88.1, None, None, None, 15.18, 23.95, None, 206.9, -44.0, None, -42.6, -42.6, 0.0, -44.0, None, None, -41.1, None, None, 88.0, None, 2022-01-03 18:00:00, None, None, None, None
None, None, 87.8, None, None, None, 15.18, 30.98, None, 212.1, -44.0, None, -43.0, -43.0, 0.0, -44.0, None, None, -42.6, None, None, 88.0, None, 2022-01-03 19:00:00, None, None, None, None
None, None, 87.4, None, None, None, 13.9, 27.8, None, 230.3, -44.0, None, -43.2, -43.2, 0.0, -44.0, None, None, -42.6, None, None, 87.0, None, 2022-01-03 20:00:00, None, None, None, None
None, None, 87.5, None, None, None, 9.61, 22.33, None, 236.5, -44.0, None, -43.3, -43.3, 0.0, -44.0, None, None, -42.6, None, None, 88.0, None, 2022-01-03 21:00:00, None, None, None, None
None, None, 87.3, None, None, None, 14.83, 11.36, None, 239.6, -44.0, None, -43.2, -43.3, 0.0, -44.0, None, None, -42.6, None, None, 87.0, None, 2022-01-03 22:00:00, None, None, None, None
None, None, 87.3, None, None, None, 10.82, 12.94, None, 233.9, -44.0, None, -43.2, -43.3, 0.0, -44.0, None, None, -42.6, None, None, 87.0, None, 2022-01-03 23:00:00, None, None, None, None
None, None, 87.3, None, None, None, 12.6, 13.82, None, 239.5, -44.0, None, -43.3, -43.3, 0.0, -44.0, None, None, -42.6, None, None, 87.0, None, 2022-01-04 00:00:00, None, None, None, None
None, None, 86.8, None, None, None, 11.15, 10.55, None, 235.3, -45.0, None, -43.6, -43.6, 0.0, -45.0, None, None, -42.6, None, None, 87.0, None, 2022-01-04 01:00:00, None, None, None, None
None, None, 86.7, None, None, None, 10.16, 17.78, None, 227.6, -45.0, None, -43.6, -43.7, 0.0, -45.0, None, None, -42.6, None, None, 87.0, None, 2022-01-04 02:00:00, None, None, None, None
None, None, 87.1, None, None, None, 17.1, 19.51, None, 189.2, -45.0, None, -43.4, -43.7, 0.0, -45.0, None, None, -42.6, None, None, 87.0, None, 2022-01-04 03:00:00, None, None, None, None
None, None, 87.5, None, None, None, 11.81, 23.81, None, 184.7, -44.0, None, -43.1, -43.7, 0.0, -44.0, None, None, -42.6, None, None, 88.0, None, 2022-01-04 04:00:00, None, None, None, None
None, None, 87.3, None, None, None, 13.64, 19.47, None, 166.6, -44.0, None, -43.2, -43.7, 0.0, -44.0, None, None, -42.6, None, None, 87.0, None, 2022-01-04 05:00:00, None, None, None, None
None, None, 87.6, None, None, None, 11.41, 21.72, None, 157.1, -44.0, None, -43.0, -43.7, 0.0, -44.0, None, None, -42.6, None, None, 88.0, None, 2022-01-04 06:00:00, None, None, None, None
None, None, 87.8, None, None, None, 12.92, 29.21, None, 163.3, -44.0, None, -42.9, -43.0, 0.0, -44.0, None, None, -42.8, None, None, 88.0, None, 2022-01-04 07:00:00, None, None, None, None
None, None, 87.7, None, None, None, 11.84, 29.12, None, 158.4, -44.0, None, -42.9, -43.0, 0.0, -44.0, None, None, -42.8, None, None, 88.0, None, 2022-01-04 08:00:00, None, None, None, None
None, None, 88.0, None, None, None, 10.67, 27.83, None, 160.5, -44.0, None, -42.7, -43.0, 0.0, -44.0, None, None, -42.6, None, None, 88.0, None, 2022-01-04 09:00:00, None, None, None, None
None, None, 88.4, None, None, None, 13.61, 21.22, None, 172.5, -44.0, None, -42.5, -43.0, 0.0, -44.0, None, None, -42.5, None, None, 88.0, None, 2022-01-04 10:00:00, None, None, None, None
None, None, 88.4, None, None, None, 11.07, 25.85, None, 196.2, -44.0, None, -42.5, -43.0, 0.0, -44.0, None, None, -42.4, None, None, 88.0, None, 2022-01-04 11:00:00, None, None, None, None
None, None, 87.8, None, None, None, 14.05, 25.51, None, 245.5, -44.0, None, -42.9, -43.0, 0.0, -44.0, None, None, -42.4, None, None, 88.0, None, 2022-01-04 12:00:00, None, None, None, None
None, None, 88.8, None, None, None, 11.43, 21.79, None, 255.8, -44.0, None, -42.8, -43.0, 0.0, -44.0, None, None, -42.4, None, None, 89.0, None, 2022-01-04 13:00:00, None, None, None, None
None, None, 88.3, None, None, None, 24.81, 12.27, None, 216.0, -44.0, None, -42.4, -43.0, 0.0, -44.0, None, None, -42.4, None, None, 88.0, None, 2022-01-04 14:00:00, None, None, None, None
None, None, 87.4, None, None, None, 9.88, 18.88, None, 205.3, -44.0, None, -43.0, -43.0, 0.0, -44.0, None, None, -42.4, None, None, 87.0, None, 2022-01-04 15:00:00, None, None, None, None
