station_observations
pcpn_amt_pst24hrs, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, max_air_temp_snc_last_reset, rel_hum, time, snw_dpth, dwpt_temp, stn_pres
None, 3.5, -1.2, None, -0.2, -1.0, 3.6, 63.0, 2022-03-29 14:00:00, 169.0, -3.0, 913.0
None, 3.4, -1.2, None, 0.0, 0.0, 3.8, 68.0, 2022-03-29 15:00:00, 169.0, -2.0, 913.0
None, 2.1, -1.2, None, 0.0, 0.0, 3.8, 84.0, 2022-03-29 16:00:00, 168.0, 0.0, 912.0
None, 1.6, -1.2, None, 0.1, 0.0, 3.8, 92.0, 2022-03-29 17:00:00, 168.0, 0.0, 912.0
None, 1.1, -1.2, None, 0.3, 0.0, 3.8, 95.0, 2022-03-29 18:00:00, 168.0, 1.0, 911.0
None, 0.7, 0.6, None, 0.2, 0.0, 1.3, 97.0, 2022-03-29 19:00:00, 168.0, 0.0, 911.0
None, 0.8, 0.4, None, 0.1, 0.0, 1.3, 95.0, 2022-03-29 20:00:00, 168.0, 0.0, 910.0
None, 0.6, 0.3, 1005.9, 0.2, 0.0, 1.3, 96.0, 2022-03-29 21:00:00, 168.0, 0.0, 910.0
None, 0.0, -0.2, 1004.9, 0.1, 0.0, 1.3, 98.0, 2022-03-29 22:00:00, 168.0, -1.0, 909.0
None, 0.0, -0.4, 1004.7, 0.0, 0.0, 1.3, 97.0, 2022-03-29 23:00:00, 168.0, 0.0, 909.0
None, -1.1, -1.4, 1003.7, 0.0, 0.0, 1.3, 99.0, 2022-03-30 00:00:00, 168.0, -1.0, 908.0
None, 0.1, -1.4, 1003.5, 0.0, 0.0, 1.3, 91.0, 2022-03-30 01:00:00, 168.0, -1.0, 908.0
None, 1.5, -1.4, 1003.3, 0.1, 0.0, 1.7, 81.0, 2022-03-30 02:00:00, 168.0, -1.0, 908.0
None, 1.5, -1.4, 1003.3, 0.0, 0.0, 2.1, 80.0, 2022-03-30 03:00:00, 168.0, -1.0, 908.0
None, 0.6, -1.4, 1003.5, 0.0, 0.0, 2.1, 91.0, 2022-03-30 04:00:00, 168.0, -1.0, 908.0
None, 0.1, -1.4, 1003.6, 0.3, 0.0, 2.1, 97.0, 2022-03-30 05:00:00, 168.0, 0.0, 908.0
None, 0.2, -1.4, 1004.8, -0.2, 0.0, 2.1, 94.0, 2022-03-30 06:00:00, 168.0, 0.0, 909.0
None, 0.0, -0.2, 1004.8, 0.3, 0.0, 0.4, 97.0, 2022-03-30 07:00:00, 168.0, -1.0, 909.0
None, 0.0, -0.3, 1005.9, 0.1, 0.0, 0.4, 92.0, 2022-03-30 08:00:00, 168.0, -1.0, 910.0
None, 0.6, -0.3, 1005.9, -0.3, 0.0, 0.5, 84.0, 2022-03-30 09:00:00, 168.0, -2.0, 910.0
None, 1.8, -0.3, 1005.8, -0.6, -1.0, 1.8, 68.0, 2022-03-30 10:00:00, 168.0, -4.0, 910.0
None, 1.8, -0.3, 1006.9, -0.3, 1.0, 2.1, 67.0, 2022-03-30 11:00:00, 168.0, -4.0, 911.0
None, 2.0, -0.3, 1008.1, -0.1, 0.0, 2.3, 66.0, 2022-03-30 12:00:00, 168.0, -4.0, 912.0
None, 0.5, -0.3, 1009.3, 1.0, 0.0, 2.4, 87.0, 2022-03-30 13:00:00, 168.0, -1.0, 913.0
None, 2.5, -0.3, 1010.0, -0.1, 0.0, 2.6, 65.0, 2022-03-30 14:00:00, 168.0, -3.0, 914.0
None, 2.9, -0.3, 1010.0, -0.1, -1.0, 3.1, 53.0, 2022-03-30 15:00:00, 167.0, -6.0, 914.0
