WDIR_VECT,time,TEMP_MEAN,week_of_year
358.2,2021-01-22 00:00:00, None,4
356.7,2021-01-22 01:00:00, None,4
0.6,2021-01-22 02:00:00, None,4
8.7,2021-01-22 03:00:00, None,4
16.6,2021-01-22 04:00:00, None,4
2.6,2021-01-22 05:00:00, None,4
0.4,2021-01-22 06:00:00, None,4
0.3,2021-01-22 07:00:00, None,4
5.2,2021-01-22 08:00:00, None,4
9.4,2021-01-22 09:00:00, None,4
173.2,2021-01-22 10:00:00, None,4
165.6,2021-01-22 11:00:00, None,4
187.9,2021-01-22 12:00:00, None,4
232.9,2021-01-22 13:00:00, None,4
227.3,2021-01-22 14:00:00, None,4
244.3,2021-01-22 15:00:00, None,4
242.8,2021-01-22 16:00:00, None,4
294.6,2021-01-22 17:00:00, None,4
3.6,2021-01-22 18:00:00, None,4
2.2,2021-01-22 19:00:00, None,4
1.6,2021-01-22 20:00:00, None,4
7.5,2021-01-22 21:00:00, None,4
3.0,2021-01-22 22:00:00, None,4
2.3,2021-01-22 23:00:00, None,4
1.6,2021-01-23 00:00:00, None,4
12.0,2021-01-23 01:00:00, None,4
4.4,2021-01-23 02:00:00, None,4
6.1,2021-01-23 03:00:00, None,4
0.0,2021-01-23 04:00:00, None,4
5.1,2021-01-23 05:00:00, None,4
358.0,2021-01-23 06:00:00, None,4
7.7,2021-01-23 07:00:00, None,4
191.9,2021-01-23 08:00:00, None,4
9.1,2021-01-23 09:00:00, None,4
66.3,2021-01-23 10:00:00, None,4
28.3,2021-01-23 11:00:00, None,4
186.5,2021-01-23 12:00:00, None,4
205.4,2021-01-23 13:00:00, None,4
190.5,2021-01-23 14:00:00, None,4
179.5,2021-01-23 15:00:00, None,4
146.0,2021-01-23 16:00:00, None,4
156.6,2021-01-23 17:00:00, None,4
58.0,2021-01-23 18:00:00, None,4
7.2,2021-01-23 19:00:00, None,4
1.0,2021-01-23 20:00:00, None,4
8.6,2021-01-23 21:00:00, None,4
1.2,2021-01-23 22:00:00, None,4
12.4,2021-01-23 23:00:00, None,4
8.0,2021-01-24 00:00:00, None,4
15.1,2021-01-24 01:00:00, None,4
29.9,2021-01-24 02:00:00, None,4
27.1,2021-01-24 03:00:00, None,4
27.8,2021-01-24 04:00:00, None,4
24.1,2021-01-24 05:00:00, None,4
22.3,2021-01-24 06:00:00, None,4
28.6,2021-01-24 07:00:00, None,4
38.2,2021-01-24 08:00:00, None,4
27.7,2021-01-24 09:00:00, None,4
37.3,2021-01-24 10:00:00, None,4
35.9,2021-01-24 11:00:00, None,4
38.3,2021-01-24 12:00:00, None,4
63.8,2021-01-24 13:00:00, None,4
56.4,2021-01-24 14:00:00, None,4
67.9,2021-01-24 15:00:00, None,4
34.0,2021-01-24 16:00:00, None,4
24.6,2021-01-24 17:00:00, None,4
19.2,2021-01-24 18:00:00, None,4
24.8,2021-01-24 19:00:00, None,4
86.3,2021-01-24 20:00:00, None,4
353.4,2021-01-24 21:00:00, None,4
16.3,2021-01-24 22:00:00, None,4
13.1,2021-01-24 23:00:00, None,4
134.4,2021-01-25 00:00:00, None,4
122.4,2021-01-25 01:00:00, None,4
103.6,2021-01-25 02:00:00, None,4
22.2,2021-01-25 03:00:00, None,4
18.0,2021-01-25 04:00:00, None,4
29.6,2021-01-25 05:00:00, None,4
91.6,2021-01-25 06:00:00, None,4
102.9,2021-01-25 07:00:00, None,4
108.0,2021-01-25 08:00:00, None,4
98.8,2021-01-25 09:00:00, None,4
97.0,2021-01-25 10:00:00, None,4
105.3,2021-01-25 11:00:00, None,4
101.4,2021-01-25 12:00:00, None,4
83.5,2021-01-25 13:00:00, None,4
72.8,2021-01-25 14:00:00, None,4
76.7,2021-01-25 15:00:00, None,4
70.4,2021-01-25 16:00:00, None,4
40.5,2021-01-25 17:00:00, None,4
22.6,2021-01-25 18:00:00, None,4
5.5,2021-01-25 19:00:00, None,4
359.5,2021-01-25 20:00:00, None,4
5.9,2021-01-25 21:00:00, None,4
2.3,2021-01-25 22:00:00, None,4
88.6,2021-01-25 23:00:00, None,4
86.6,2021-01-26 00:00:00, None,4
34.7,2021-01-26 01:00:00, None,4
28.5,2021-01-26 02:00:00, None,4
48.0,2021-01-26 03:00:00, None,4
83.8,2021-01-26 04:00:00, None,4
102.3,2021-01-26 05:00:00, None,4
75.3,2021-01-26 06:00:00, None,4
53.8,2021-01-26 07:00:00, None,4
60.2,2021-01-26 08:00:00, None,4
43.1,2021-01-26 09:00:00, None,4
37.9,2021-01-26 10:00:00, None,4
42.8,2021-01-26 11:00:00, None,4
37.5,2021-01-26 12:00:00, None,4
34.9,2021-01-26 13:00:00, None,4
42.2,2021-01-26 14:00:00, None,4
42.6,2021-01-26 15:00:00, None,4
49.9,2021-01-26 16:00:00, None,4
63.1,2021-01-26 17:00:00, None,4
56.5,2021-01-26 18:00:00, None,4
58.2,2021-01-26 19:00:00, None,4
46.4,2021-01-26 20:00:00, None,4
50.5,2021-01-26 21:00:00, None,4
59.0,2021-01-26 22:00:00, None,4
63.6,2021-01-26 23:00:00, None,4
74.4,2021-01-27 00:00:00, None,4
64.3,2021-01-27 01:00:00, None,4
41.2,2021-01-27 02:00:00, None,4
34.3,2021-01-27 03:00:00, None,4
48.2,2021-01-27 04:00:00, None,4
38.8,2021-01-27 05:00:00, None,4
43.0,2021-01-27 06:00:00, None,4
41.0,2021-01-27 07:00:00, None,4
34.2,2021-01-27 08:00:00, None,4
34.1,2021-01-27 09:00:00, None,4
35.1,2021-01-27 10:00:00, None,4
29.2,2021-01-27 11:00:00, None,4
26.4,2021-01-27 12:00:00, None,4
27.1,2021-01-27 13:00:00, None,4
53.7,2021-01-27 14:00:00, None,4
22.1,2021-01-27 15:00:00, None,4
25.1,2021-01-27 16:00:00, None,4
21.3,2021-01-27 17:00:00, None,4
19.2,2021-01-27 18:00:00, None,4
16.2,2021-01-27 19:00:00, None,4
17.0,2021-01-27 20:00:00, None,4
14.2,2021-01-27 21:00:00, None,4
21.3,2021-01-27 22:00:00, None,4
134.9,2021-01-27 23:00:00, None,4
32.0,2021-01-28 00:00:00, None,4
9.2,2021-01-28 01:00:00, None,4
136.1,2021-01-28 02:00:00, None,4
51.3,2021-01-28 03:00:00, None,4
45.8,2021-01-28 04:00:00, None,4
30.0,2021-01-28 05:00:00, None,4
33.6,2021-01-28 06:00:00, None,4
42.7,2021-01-28 07:00:00, None,4
40.6,2021-01-28 08:00:00, None,4
26.7,2021-01-28 09:00:00, None,4
34.4,2021-01-28 10:00:00, None,4
97.9,2021-01-28 11:00:00, None,4
137.6,2021-01-28 12:00:00, None,4
76.8,2021-01-28 13:00:00, None,4
23.2,2021-01-28 14:00:00, None,4
331.7,2021-01-28 15:00:00, None,4
263.4,2021-01-28 16:00:00, None,4
288.9,2021-01-28 17:00:00, None,4
261.0,2021-01-28 18:00:00, None,4
283.8,2021-01-28 19:00:00, None,4
11.3,2021-01-28 20:00:00, None,4
14.8,2021-01-28 21:00:00, None,4
5.6,2021-01-28 22:00:00, None,4
18.2,2021-01-28 23:00:00, None,4
