wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year,pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,SNOW_ON_THE_GROUND
81.0, None, None,0.0, None,5.9, None,14.3, None, None, None,61.0,2017-06-25 00:00:00, None,26,,,,,,,,,,,,
83.0, None, None,0.0, None,3.3, None,13.8, None, None, None,59.0,2017-06-25 01:00:00, None,26,,,,,,,,,,,,
95.0, None, None,0.0, None,3.3, None,12.7, None, None, None,66.0,2017-06-25 02:00:00, None,26,,,,,,,,,,,,
135.0, None, None,0.0, None,4.4, None,11.8, None, None, None,72.0,2017-06-25 03:00:00, None,26,,,,,,,,,,,,
44.0, None, None,0.0, None,4.1, None,11.1, None, None, None,72.0,2017-06-25 04:00:00, None,26,,,,,,,,,,,,
69.0, None, None,0.0, None,4.9, None,10.6, None, None, None,81.0,2017-06-25 05:00:00, None,26,,,,,,,,,,,,
152.0, None, None,0.0, None,3.2, None,15.8, None, None, None,57.0,2017-06-25 06:00:00, None,26,,,,,,,,,,,,
308.0, None, None,0.0, None,2.5, None,19.0, None, None, None,50.0,2017-06-25 07:00:00, None,26,,,,,,,,,,,,
258.0, None, None,0.0, None,4.9, None,20.7, None, None, None,46.0,2017-06-25 08:00:00, None,26,,,,,,,,,,,,
303.0, None, None,0.0, None,6.6, None,23.1, None, None, None,40.0,2017-06-25 09:00:00, None,26,,,,,,,,,,,,
276.0, None, None,0.0, None,7.1, None,25.6, None, None, None,30.0,2017-06-25 10:00:00, None,26,,,,,,,,,,,,
287.0, None, None,0.0, None,7.2, None,27.7, None, None, None,27.0,2017-06-25 11:00:00, None,26,,,,,,,,,,,,
297.0, None, None,0.0, None,7.5, None,29.3, None, None, None,29.0,2017-06-25 12:00:00, None,26,,,,,,,,,,,,
305.0, None, None,0.0, None,6.9, None,29.9, None, None, None,26.0,2017-06-25 13:00:00, None,26,,,,,,,,,,,,
266.0, None, None,0.0, None,6.2, None,30.5, None, None, None,27.0,2017-06-25 14:00:00, None,26,,,,,,,,,,,,
287.0, None, None,0.0, None,6.5, None,33.6, None, None, None,20.0,2017-06-25 15:00:00, None,26,,,,,,,,,,,,
2.0, None, None,0.0, None,6.8, None,31.5, None, None, None,20.0,2017-06-25 16:00:00, None,26,,,,,,,,,,,,
57.0, None, None,0.0, None,7.8, None,29.6, None, None, None,38.0,2017-06-25 17:00:00, None,26,,,,,,,,,,,,
94.0, None, None,0.0, None,8.8, None,26.8, None, None, None,36.0,2017-06-25 18:00:00, None,26,,,,,,,,,,,,
96.0, None, None,0.0, None,5.7, None,23.6, None, None, None,56.0,2017-06-25 19:00:00, None,26,,,,,,,,,,,,
83.0, None, None,0.0, None,5.4, None,21.9, None, None, None,57.0,2017-06-25 20:00:00, None,26,,,,,,,,,,,,
132.0, None, None,0.0, None,3.2, None,21.1, None, None, None,50.0,2017-06-25 21:00:00, None,26,,,,,,,,,,,,
64.0, None, None,0.0, None,3.6, None,20.4, None, None, None,51.0,2017-06-25 22:00:00, None,26,,,,,,,,,,,,
156.0, None, None,0.0, None,5.2, None,20.3, None, None, None,53.0,2017-06-25 23:00:00, None,26,,,,,,,,,,,,
54.0, None, None,0.0, None,5.7, None,19.0, None, None, None,64.0,2017-06-26 00:00:00, None,26,,,,,,,,,,,,
205.0, None, None,0.0, None,2.8, None,18.5, None, None, None,60.0,2017-06-26 01:00:00, None,26,,,,,,,,,,,,
83.0, None, None,0.0, None,3.6, None,17.9, None, None, None,69.0,2017-06-26 02:00:00, None,26,,,,,,,,,,,,
105.0, None, None,0.0, None,6.7, None,17.6, None, None, None,63.0,2017-06-26 03:00:00, None,26,,,,,,,,,,,,
165.0, None, None,0.0, None,5.5, None,17.4, None, None, None,62.0,2017-06-26 04:00:00, None,26,,,,,,,,,,,,
36.0, None, None,0.0, None,3.5, None,17.2, None, None, None,70.0,2017-06-26 05:00:00, None,26,,,,,,,,,,,,
47.0, None, None,0.0, None,4.8, None,17.3, None, None, None,76.0,2017-06-26 06:00:00, None,26,,,,,,,,,,,,
129.0, None, None,0.0, None,3.5, None,18.0, None, None, None,77.0,2017-06-26 07:00:00, None,26,,,,,,,,,,,,
359.0, None, None,0.0, None,6.5, None,21.3, None, None, None,61.0,2017-06-26 08:00:00, None,26,,,,,,,,,,,,
143.0, None, None,0.0, None,4.4, None,24.3, None, None, None,47.0,2017-06-26 09:00:00, None,26,,,,,,,,,,,,
96.0, None, None,0.0, None,5.3, None,24.1, None, None, None,56.0,2017-06-26 10:00:00, None,26,,,,,,,,,,,,
29.0, None, None,0.0, None,3.2, None,26.7, None, None, None,47.0,2017-06-26 11:00:00, None,26,,,,,,,,,,,,
318.0, None, None,0.0, None,2.9, None,28.9, None, None, None,37.0,2017-06-26 12:00:00, None,26,,,,,,,,,,,,
272.0, None, None,0.0, None,5.1, None,28.1, None, None, None,47.0,2017-06-26 13:00:00, None,26,,,,,,,,,,,,
38.0, None, None,0.0, None,5.1, None,31.8, None, None, None,29.0,2017-06-26 14:00:00, None,26,,,,,,,,,,,,
243.0, None, None,0.0, None,10.8, None,33.0, None, None, None,24.0,2017-06-26 15:00:00, None,26,,,,,,,,,,,,
237.0, None, None,0.0, None,18.1, None,33.0, None, None, None,21.0,2017-06-26 16:00:00, None,26,,,,,,,,,,,,
220.0, None, None,0.0, None,25.7, None,32.2, None, None, None,17.0,2017-06-26 17:00:00, None,26,,,,,,,,,,,,
219.0, None, None,0.0, None,33.9, None,28.7, None, None, None,12.0,2017-06-26 18:00:00, None,26,,,,,,,,,,,,
212.0, None, None,0.0, None,21.7, None,27.7, None, None, None,11.0,2017-06-26 19:00:00, None,26,,,,,,,,,,,,
235.0, None, None,0.0, None,24.2, None,25.4, None, None, None,11.0,2017-06-26 20:00:00, None,26,,,,,,,,,,,,
133.0, None, None,0.0, None,14.9, None,23.6, None, None, None,14.0,2017-06-26 21:00:00, None,26,,,,,,,,,,,,
207.0, None, None,0.0, None,12.2, None,21.3, None, None, None,14.0,2017-06-26 22:00:00, None,26,,,,,,,,,,,,
172.0, None, None,0.0, None,13.6, None,20.1, None, None, None,18.0,2017-06-26 23:00:00, None,26,,,,,,,,,,,,
194.0, None, None,0.0, None,17.0, None,20.1, None, None, None,17.0,2017-06-27 00:00:00, None,26,,,,,,,,,,,,
181.0, None, None,0.0, None,17.5, None,19.4, None, None, None,22.0,2017-06-27 01:00:00, None,26,,,,,,,,,,,,
169.0, None, None,0.0, None,3.9, None,15.5, None, None, None,35.0,2017-06-27 02:00:00, None,26,,,,,,,,,,,,
125.0, None, None,0.0, None,8.4, None,13.2, None, None, None,45.0,2017-06-27 03:00:00, None,26,,,,,,,,,,,,
184.0, None, None,0.0, None,12.1, None,15.2, None, None, None,39.0,2017-06-27 04:00:00, None,26,,,,,,,,,,,,
224.0, None, None,0.0, None,8.1, None,16.0, None, None, None,39.0,2017-06-27 05:00:00, None,26,,,,,,,,,,,,
284.0, None, None,0.0, None,8.4, None,17.9, None, None, None,31.0,2017-06-27 06:00:00, None,26,,,,,,,,,,,,
257.0, None, None,0.0, None,12.1, None,18.7, None, None, None,29.0,2017-06-27 07:00:00, None,26,,,,,,,,,,,,
251.0, None, None,0.0, None,14.6, None,20.0, None, None, None,26.0,2017-06-27 08:00:00, None,26,,,,,,,,,,,,
264.0, None, None,0.0, None,19.4, None,20.6, None, None, None,29.0,2017-06-27 09:00:00, None,26,,,,,,,,,,,,
359.0, None, None,0.0, None,9.2, None,21.8, None, None, None,22.0,2017-06-27 10:00:00, None,26,,,,,,,,,,,,
359.0, None, None,0.0, None,13.8, None,22.6, None, None, None,22.0,2017-06-27 11:00:00, None,26,,,,,,,,,,,,
12.0, None, None,0.0, None,11.0, None,23.3, None, None, None,23.0,2017-06-27 12:00:00, None,26,,,,,,,,,,,,
66.0, None, None,0.0, None,6.1, None,25.2, None, None, None,18.0,2017-06-27 13:00:00, None,26,,,,,,,,,,,,
308.0, None, None,0.0, None,10.6, None,25.3, None, None, None,19.0,2017-06-27 14:00:00, None,26,,,,,,,,,,,,
41.0, None, None,0.0, None,5.5, None,26.7, None, None, None,19.0,2017-06-27 15:00:00, None,26,,,,,,,,,,,,
51.0, None, None,0.0, None,6.9, None,26.7, None, None, None,18.0,2017-06-27 16:00:00, None,26,,,,,,,,,,,,
337.0, None, None,0.0, None,3.7, None,25.4, None, None, None,21.0,2017-06-27 17:00:00, None,26,,,,,,,,,,,,
108.0, None, None,0.0, None,3.4, None,21.8, None, None, None,42.0,2017-06-27 18:00:00, None,26,,,,,,,,,,,,
112.0, None, None,0.0, None,7.0, None,24.1, None, None, None,24.0,2017-06-27 19:00:00, None,26,,,,,,,,,,,,
90.0, None, None,0.0, None,7.5, None,20.0, None, None, None,35.0,2017-06-27 20:00:00, None,26,,,,,,,,,,,,
119.0, None, None,0.0, None,13.2, None,19.6, None, None, None,31.0,2017-06-27 21:00:00, None,26,,,,,,,,,,,,
123.0, None, None,0.0, None,9.8, None,16.3, None, None, None,35.0,2017-06-27 22:00:00, None,26,,,,,,,,,,,,
133.0, None, None,0.0, None,8.7, None,15.8, None, None, None,38.0,2017-06-27 23:00:00, None,26,,,,,,,,,,,,
83.0, None, None,0.0, None,6.3, None,14.5, None, None, None,44.0,2017-06-28 00:00:00, None,26,,,,,,,,,,,,
136.0, None, None,0.0, None,6.8, None,12.4, None, None, None,53.0,2017-06-28 01:00:00, None,26,,,,,,,,,,,,
184.0, None, None,0.0, None,5.7, None,10.8, None, None, None,61.0,2017-06-28 02:00:00, None,26,,,,,,,,,,,,
328.0, None, None,0.0, None,3.6, None,9.7, None, None, None,66.0,2017-06-28 03:00:00, None,26,,,,,,,,,,,,
141.0, None, None,0.0, None,4.5, None,9.6, None, None, None,70.0,2017-06-28 04:00:00, None,26,,,,,,,,,,,,
46.0, None, None,0.0, None,5.0, None,9.3, None, None, None,71.0,2017-06-28 05:00:00, None,26,,,,,,,,,,,,
191.0, None, None,0.0, None,3.2, None,13.2, None, None, None,56.0,2017-06-28 06:00:00, None,26,,,,,,,,,,,,
344.0, None, None,0.0, None,2.8, None,16.2, None, None, None,49.0,2017-06-28 07:00:00, None,26,,,,,,,,,,,,
300.0, None, None,0.0, None,4.9, None,17.6, None, None, None,48.0,2017-06-28 08:00:00, None,26,,,,,,,,,,,,
52.0, None, None,0.0, None,5.4, None,19.2, None, None, None,49.0,2017-06-28 09:00:00, None,26,,,,,,,,,,,,
324.0, None, None,0.0, None,8.3, None,20.3, None, None, None,46.0,2017-06-28 10:00:00, None,26,,,,,,,,,,,,
