ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
0.0,0.0, 12.0,0.0,2017-06-25,0.0,33.0,26,,,,,,,,,,,,,,,,,,
0.0,0.0, 15.5,0.0,2017-06-26,0.0,34.0,26,,,,,,,,,,,,,,,,,,
0.0,0.0, None,0.0,2017-06-27,0.0,27.5,26,,,,,,,,,,,,,,,,,,
0.0,0.0, 9.5,0.0,2017-06-29,0.0,29.5,26,,,,,,,,,,,,,,,,,,
,,,,2017-06-25 00:00:00,,,26,44.0, None, None,0.0, None,9.0, None,20.8, None, None, None,32.0,,,,,,
,,,,2017-06-25 01:00:00,,,26,40.0, None, None,0.0, None,10.0, None,19.9, None, None, None,35.0,,,,,,
,,,,2017-06-25 02:00:00,,,26,47.0, None, None,0.0, None,7.7, None,18.7, None, None, None,36.0,,,,,,
,,,,2017-06-25 03:00:00,,,26,45.0, None, None,0.0, None,1.4, None,18.1, None, None, None,38.0,,,,,,
,,,,2017-06-25 04:00:00,,,26,1.0, None, None,0.0, None,0.0, None,17.3, None, None, None,42.0,,,,,,
,,,,2017-06-25 05:00:00,,,26,214.0, None, None,0.0, None,0.1, None,19.2, None, None, None,41.0,,,,,,
,,,,2017-06-25 06:00:00,,,26,223.0, None, None,0.0, None,2.4, None,19.8, None, None, None,38.0,,,,,,
,,,,2017-06-25 07:00:00,,,26,164.0, None, None,0.0, None,4.1, None,21.5, None, None, None,40.0,,,,,,
,,,,2017-06-25 08:00:00,,,26,148.0, None, None,0.0, None,6.1, None,23.5, None, None, None,36.0,,,,,,
,,,,2017-06-25 09:00:00,,,26,183.0, None, None,0.0, None,5.2, None,24.8, None, None, None,34.0,,,,,,
,,,,2017-06-25 10:00:00,,,26,164.0, None, None,0.0, None,6.5, None,25.6, None, None, None,30.0,,,,,,
,,,,2017-06-25 11:00:00,,,26,179.0, None, None,0.0, None,4.7, None,27.1, None, None, None,27.0,,,,,,
,,,,2017-06-25 12:00:00,,,26,167.0, None, None,0.0, None,5.8, None,29.4, None, None, None,24.0,,,,,,
,,,,2017-06-25 13:00:00,,,26,206.0, None, None,0.0, None,10.4, None,31.8, None, None, None,18.0,,,,,,
,,,,2017-06-25 14:00:00,,,26,201.0, None, None,0.0, None,6.3, None,32.0, None, None, None,19.0,,,,,,
,,,,2017-06-25 15:00:00,,,26,209.0, None, None,0.0, None,6.4, None,31.1, None, None, None,17.0,,,,,,
,,,,2017-06-25 16:00:00,,,26,211.0, None, None,0.0, None,8.8, None,30.8, None, None, None,18.0,,,,,,
,,,,2017-06-25 17:00:00,,,26,213.0, None, None,0.0, None,5.4, None,30.1, None, None, None,20.0,,,,,,
,,,,2017-06-25 18:00:00,,,26,221.0, None, None,0.0, None,6.5, None,31.0, None, None, None,18.0,,,,,,
,,,,2017-06-25 19:00:00,,,26,216.0, None, None,0.0, None,8.0, None,29.5, None, None, None,18.0,,,,,,
,,,,2017-06-25 20:00:00,,,26,234.0, None, None,0.0, None,6.0, None,28.2, None, None, None,20.0,,,,,,
,,,,2017-06-25 21:00:00,,,26,235.0, None, None,0.0, None,7.3, None,28.0, None, None, None,22.0,,,,,,
,,,,2017-06-25 22:00:00,,,26,209.0, None, None,0.0, None,1.9, None,26.9, None, None, None,25.0,,,,,,
,,,,2017-06-25 23:00:00,,,26,34.0, None, None,0.0, None,1.1, None,25.7, None, None, None,28.0,,,,,,
,,,,2017-06-26 00:00:00,,,26,273.0, None, None,0.0, None,0.9, None,25.2, None, None, None,29.0,,,,,,
,,,,2017-06-26 01:00:00,,,26,355.0, None, None,0.0, None,0.0, None,25.0, None, None, None,30.0,,,,,,
,,,,2017-06-26 02:00:00,,,26,36.0, None, None,0.0, None,3.9, None,24.6, None, None, None,32.0,,,,,,
,,,,2017-06-26 03:00:00,,,26,35.0, None, None,0.0, None,5.9, None,23.9, None, None, None,33.0,,,,,,
,,,,2017-06-26 04:00:00,,,26,60.0, None, None,0.0, None,4.7, None,23.2, None, None, None,36.0,,,,,,
,,,,2017-06-26 05:00:00,,,26,356.0, None, None,0.0, None,0.6, None,22.6, None, None, None,36.0,,,,,,
,,,,2017-06-26 06:00:00,,,26,281.0, None, None,0.0, None,0.6, None,22.3, None, None, None,37.0,,,,,,
,,,,2017-06-26 07:00:00,,,26,47.0, None, None,0.0, None,4.2, None,22.0, None, None, None,40.0,,,,,,
,,,,2017-06-26 08:00:00,,,26,326.0, None, None,0.0, None,0.9, None,22.6, None, None, None,49.0,,,,,,
,,,,2017-06-26 09:00:00,,,26,352.0, None, None,0.0, None,1.5, None,23.6, None, None, None,39.0,,,,,,
,,,,2017-06-26 10:00:00,,,26,217.0, None, None,0.0, None,3.5, None,24.8, None, None, None,42.0,,,,,,
,,,,2017-06-26 11:00:00,,,26,159.0, None, None,0.0, None,2.4, None,26.0, None, None, None,38.0,,,,,,
,,,,2017-06-26 12:00:00,,,26,105.0, None, None,0.0, None,1.7, None,27.7, None, None, None,29.0,,,,,,
,,,,2017-06-26 13:00:00,,,26,178.0, None, None,0.0, None,7.7, None,29.7, None, None, None,22.0,,,,,,
,,,,2017-06-26 14:00:00,,,26,214.0, None, None,0.0, None,7.8, None,30.5, None, None, None,23.0,,,,,,
,,,,2017-06-26 15:00:00,,,26,221.0, None, None,0.0, None,13.6, None,32.9, None, None, None,18.0,,,,,,
,,,,2017-06-26 16:00:00,,,26,203.0, None, None,0.0, None,10.2, None,32.8, None, None, None,9.0,,,,,,
,,,,2017-06-26 17:00:00,,,26,181.0, None, None,0.0, None,9.2, None,30.8, None, None, None,9.0,,,,,,
,,,,2017-06-26 18:00:00,,,26,201.0, None, None,0.0, None,12.1, None,27.6, None, None, None,6.0,,,,,,
,,,,2017-06-26 19:00:00,,,26,200.0, None, None,0.0, None,10.1, None,24.7, None, None, None,10.0,,,,,,
,,,,2017-06-26 20:00:00,,,26,230.0, None, None,0.0, None,10.6, None,22.3, None, None, None,12.0,,,,,,
,,,,2017-06-26 21:00:00,,,26,191.0, None, None,0.0, None,11.7, None,21.5, None, None, None,11.0,,,,,,
,,,,2017-06-26 22:00:00,,,26,184.0, None, None,0.0, None,16.7, None,20.7, None, None, None,14.0,,,,,,
,,,,2017-06-26 23:00:00,,,26,239.0, None, None,0.0, None,6.6, None,18.8, None, None, None,20.0,,,,,,
,,,,2017-06-27 00:00:00,,,26,239.0, None, None,0.0, None,5.8, None,18.9, None, None, None,26.0,,,,,,
,,,,2017-06-27 01:00:00,,,26,235.0, None, None,0.0, None,5.1, None,18.2, None, None, None,31.0,,,,,,
,,,,2017-06-27 02:00:00,,,26,320.0, None, None,0.0, None,4.5, None,17.6, None, None, None,34.0,,,,,,
,,,,2017-06-27 03:00:00,,,26,3.0, None, None,0.0, None,7.6, None,17.0, None, None, None,35.0,,,,,,
,,,,2017-06-27 04:00:00,,,26,40.0, None, None,0.0, None,12.5, None,17.4, None, None, None,29.0,,,,,,
,,,,2017-06-27 05:00:00,,,26,37.0, None, None,0.0, None,7.1, None,17.1, None, None, None,29.0,,,,,,
,,,,2017-06-27 06:00:00,,,26,123.0, None, None,0.0, None,3.1, None,17.1, None, None, None,31.0,,,,,,
,,,,2017-06-27 07:00:00,,,26,165.0, None, None,0.0, None,3.4, None,19.0, None, None, None,30.0,,,,,,
,,,,2017-06-27 08:00:00,,,26,115.0, None, None,0.0, None,8.4, None,19.3, None, None, None,27.0,,,,,,
,,,,2017-06-27 09:00:00,,,26,168.0, None, None,0.0, None,6.1, None,20.9, None, None, None,25.0,,,,,,
,,,,2017-06-27 10:00:00,,,26,190.0, None, None,0.0, None,7.8, None,21.6, None, None, None,24.0,,,,,,
,,,,2017-06-27 11:00:00,,,26,140.0, None, None,0.0, None,9.7, None,22.1, None, None, None,24.0,,,,,,
,,,,2017-06-27 12:00:00,,,26,82.0, None, None,0.0, None,9.6, None,22.5, None, None, None,23.0,,,,,,
,,,,2017-06-27 13:00:00,,,26,107.0, None, None,0.0, None,9.2, None,24.4, None, None, None,20.0,,,,,,
,,,,2017-06-27 14:00:00,,,26,102.0, None, None,0.0, None,10.7, None,24.9, None, None, None,20.0,,,,,,
,,,,2017-06-27 15:00:00,,,26,126.0, None, None,0.0, None,7.8, None,24.9, None, None, None,19.0,,,,,,
,,,,2017-06-27 16:00:00,,,26,82.0, None, None,0.0, None,9.7, None,25.1, None, None, None,18.0,,,,,,
,,,,2017-06-27 17:00:00,,,26,89.0, None, None,0.0, None,7.3, None,25.5, None, None, None,18.0,,,,,,
,,,,2017-06-27 18:00:00,,,26,63.0, None, None,0.0, None,7.8, None,23.5, None, None, None,20.0,,,,,,
,,,,2017-06-27 19:00:00,,,26,359.0, None, None,0.0, None,4.8, None,22.3, None, None, None,21.0,,,,,,
,,,,2017-06-27 20:00:00,,,26,23.0, None, None,0.0, None,1.0, None,22.0, None, None, None,21.0,,,,,,
,,,,2017-06-27 21:00:00,,,26,303.0, None, None,0.0, None,2.1, None,22.1, None, None, None,23.0,,,,,,
,,,,2017-06-27 22:00:00,,,26,81.0, None, None,0.0, None,5.0, None,21.0, None, None, None,34.0,,,,,,
,,,,2017-06-27 23:00:00,,,26,304.0, None, None,0.0, None,0.5, None,19.6, None, None, None,36.0,,,,,,
,,,,2017-06-28 00:00:00,,,26,136.0, None, None,0.0, None,3.1, None,19.8, None, None, None,36.0,,,,,,
,,,,2017-06-28 01:00:00,,,26,261.0, None, None,0.0, None,2.8, None,18.5, None, None, None,40.0,,,,,,
,,,,2017-06-28 02:00:00,,,26,348.0, None, None,0.0, None,4.7, None,18.1, None, None, None,39.0,,,,,,
,,,,2017-06-28 03:00:00,,,26,236.0, None, None,0.0, None,1.3, None,17.3, None, None, None,42.0,,,,,,
,,,,2017-06-28 04:00:00,,,26,49.0, None, None,0.0, None,4.3, None,16.1, None, None, None,48.0,,,,,,
,,,,2017-06-28 05:00:00,,,26,276.0, None, None,0.0, None,0.8, None,17.3, None, None, None,44.0,,,,,,
,,,,2017-06-28 06:00:00,,,26,158.0, None, None,0.0, None,3.8, None,18.8, None, None, None,42.0,,,,,,
,,,,2017-06-28 07:00:00,,,26,118.0, None, None,0.0, None,5.0, None,20.9, None, None, None,36.0,,,,,,
,,,,2017-06-28 08:00:00,,,26,153.0, None, None,0.0, None,6.9, None,21.9, None, None, None,37.0,,,,,,
,,,,2017-06-28 09:00:00,,,26,117.0, None, None,0.0, None,6.0, None,21.8, None, None, None,36.0,,,,,,
,,,,2017-06-28 10:00:00,,,26,144.0, None, None,0.0, None,8.4, None,23.7, None, None, None,32.0,,,,,,
,,,,2017-06-28 11:00:00,,,26,114.0, None, None,0.0, None,9.8, None,23.1, None, None, None,30.0,,,,,,
,,,,2017-06-28 12:00:00,,,26,115.0, None, None,0.0, None,9.0, None,24.6, None, None, None,29.0,,,,,,
,,,,2017-06-28 13:00:00,,,26,205.0, None, None,0.0, None,6.1, None,22.2, None, None, None,28.0,,,,,,
,,,,2017-06-28 14:00:00,,,26,15.0, None, None,0.0, None,4.7, None,19.7, None, None, None,35.0,,,,,,
,,,,2017-06-28 15:00:00,,,26,115.0, None, None,0.0, None,5.4, None,18.3, None, None, None,53.0,,,,,,
,,,,2017-06-28 16:00:00,,,26,210.0, None, None,0.0, None,3.0, None,15.9, None, None, None,60.0,,,,,,
,,,,2017-06-28 17:00:00,,,26,264.0, None, None,0.0, None,0.8, None,16.0, None, None, None,64.0,,,,,,
,,,,2017-06-28 18:00:00,,,26,225.0, None, None,0.0, None,1.4, None,16.5, None, None, None,58.0,,,,,,
,,,,2017-06-28 19:00:00,,,26,59.0, None, None,0.0, None,1.1, None,16.5, None, None, None,61.0,,,,,,
,,,,2017-06-28 20:00:00,,,26,295.0, None, None,0.0, None,2.5, None,15.1, None, None, None,65.0,,,,,,
,,,,2017-06-28 21:00:00,,,26,329.0, None, None,0.0, None,3.5, None,14.9, None, None, None,64.0,,,,,,
,,,,2017-06-28 22:00:00,,,26,17.0, None, None,0.0, None,5.2, None,13.9, None, None, None,78.0,,,,,,
,,,,2017-06-28 23:00:00,,,26,16.0, None, None,0.0, None,4.9, None,13.4, None, None, None,77.0,,,,,,
,,,,2017-06-29 00:00:00,,,26,53.0, None, None,0.0, None,7.0, None,12.8, None, None, None,77.0,,,,,,
,,,,2017-06-29 01:00:00,,,26,41.0, None, None,0.0, None,8.0, None,12.8, None, None, None,77.0,,,,,,
,,,,2017-06-29 02:00:00,,,26,55.0, None, None,0.0, None,5.6, None,12.4, None, None, None,77.0,,,,,,
,,,,2017-06-29 03:00:00,,,26,268.0, None, None,0.0, None,0.0, None,12.3, None, None, None,76.0,,,,,,
,,,,2017-06-29 04:00:00,,,26,39.0, None, None,0.0, None,2.4, None,11.4, None, None, None,85.0,,,,,,
,,,,2017-06-29 05:00:00,,,26,66.0, None, None,0.0, None,5.5, None,13.5, None, None, None,78.0,,,,,,
,,,,2017-06-29 06:00:00,,,26,144.0, None, None,0.0, None,2.7, None,14.3, None, None, None,76.0,,,,,,
,,,,2017-06-29 07:00:00,,,26,98.0, None, None,0.0, None,7.4, None,16.1, None, None, None,70.0,,,,,,
,,,,2017-06-29 08:00:00,,,26,135.0, None, None,0.0, None,7.3, None,18.1, None, None, None,61.0,,,,,,
,,,,2017-06-29 09:00:00,,,26,120.0, None, None,0.0, None,7.5, None,19.7, None, None, None,55.0,,,,,,
,,,,2017-06-29 10:00:00,,,26,179.0, None, None,0.0, None,6.1, None,21.6, None, None, None,47.0,,,,,,
,,,,2017-06-29 11:00:00,,,26,141.0, None, None,0.0, None,9.1, None,23.3, None, None, None,39.0,,,,,,
,,,,2017-06-29 12:00:00,,,26,117.0, None, None,0.0, None,7.4, None,24.6, None, None, None,34.0,,,,,,
,,,,2017-06-29 13:00:00,,,26,95.0, None, None,0.0, None,7.7, None,26.1, None, None, None,33.0,,,,,,
,,,,2017-06-29 14:00:00,,,26,92.0, None, None,0.0, None,10.5, None,26.5, None, None, None,28.0,,,,,,
,,,,2017-06-29 15:00:00,,,26,61.0, None, None,0.0, None,9.6, None,27.0, None, None, None,27.0,,,,,,
,,,,2017-06-29 16:00:00,,,26,68.0, None, None,0.0, None,8.2, None,27.6, None, None, None,25.0,,,,,,
,,,,2017-06-29 17:00:00,,,26,76.0, None, None,0.0, None,4.7, None,27.9, None, None, None,23.0,,,,,,
,,,,2017-06-29 18:00:00,,,26,63.0, None, None,0.0, None,4.5, None,25.0, None, None, None,28.0,,,,,,
,,,,2017-06-29 19:00:00,,,26,38.0, None, None,0.0, None,4.5, None,24.4, None, None, None,29.0,,,,,,
,,,,2017-06-29 20:00:00,,,26,288.0, None, None,0.0, None,0.2, None,24.2, None, None, None,29.0,,,,,,
,,,,2017-06-29 21:00:00,,,26,348.0, None, None,0.0, None,1.1, None,23.6, None, None, None,32.0,,,,,,
,,,,2017-06-29 22:00:00,,,26,34.0, None, None,0.0, None,4.1, None,22.2, None, None, None,39.0,,,,,,
,,,,2017-06-29 23:00:00,,,26,27.0, None, None,0.0, None,1.5, None,21.2, None, None, None,43.0,,,,,,
,,,,2017-06-30 00:00:00,,,26,278.0, None, None,0.0, None,0.8, None,20.5, None, None, None,43.0,,,,,,
,,,,2017-06-30 01:00:00,,,26,358.0, None, None,0.0, None,0.0, None,19.6, None, None, None,45.0,,,,,,
,,,,2017-06-30 02:00:00,,,26,301.0, None, None,0.0, None,0.1, None,19.0, None, None, None,48.0,,,,,,
