ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
0.0,0.0,5.0,0.0,2021-04-09,0.0,8.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.0,0.0,2021-04-10,0.0,10.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,-1.0,0.0,2021-04-11,0.0,11.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,2021-04-12,0.0,13.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,2021-04-13,0.0,15.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.0,0.0,2021-04-14,0.0,19.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.5,0.0,2021-04-15,0.0,23.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 00:00:00,,,15,233.0, 45.0, 8.3,0.0, -7.2,7.5, 3.6,3.2, 203.0, 0.0, 0.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 01:00:00,,,15,222.0, 44.0, 9.3,0.0, -7.4,8.4, 3.7,3.5, 199.0, 0.0, 0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 02:00:00,,,15,228.0, 46.0, 7.5,0.0, -7.3,7.9, 3.2,3.9, 233.0, 0.0, 0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 03:00:00,,,15,222.0, 43.0, 8.4,0.0, -7.9,7.3, 3.5,3.9, 222.0, 0.0, 0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 04:00:00,,,15,223.0, 42.0, 7.9,0.0, -7.8,7.1, 3.9,3.9, 228.0, 0.0, 0.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 05:00:00,,,15,202.0, 43.0, 7.3,0.0, -7.5,11.6, 3.9,3.9, 222.0, 0.0, 0.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 06:00:00,,,15,206.0, 45.0, 7.1,0.0, -7.0,9.4, 3.9,3.5, 223.0, 0.0, 0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2021-04-09 07:00:00,,,15,208.0, 46.0, 11.6,0.0, -6.7,5.4, 3.9,3.4, 202.0, 0.0, 0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,
