RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
81.3, None, None,12.9,3.231,28.81,-5.0,-2.3,-5.0,978.0,29.0, None, None,37.0, None,37.01, None, None,-2.327, None,12.3, None, None,72.43,3.2,-2.3,1019.0,0.0,0.0,81.0,2020-04-08 00:00:00,978.0,15
84.2, None, None,8.9,2.173,139.3,-5.0,-2.9,-5.0,978.0,139.0, None, None,37.0, None,36.89, None, None,-2.91, None,12.3, None, None,74.84,2.2,-2.9,1019.0,0.9,0.0,84.0,2020-04-08 01:00:00,978.0,15
86.6, None, None,5.9,1.683,22.22,-5.0,-3.5,-5.0,979.0,22.0, None, None,37.0, None,37.11, None, None,-3.436, None,12.3, None, None,79.36,1.7,-3.4,1020.0,0.1,0.0,87.0,2020-04-08 02:00:00,979.0,15
89.3, None, None,4.2,1.532,332.8,-6.0,-4.1,-6.0,980.0,333.0, None, None,37.0, None,37.26, None, None,-4.055, None,12.3, None, None,69.12,1.5,-4.1,1021.0,0.0,0.0,89.0,2020-04-08 03:00:00,980.0,15
91.1, None, None,5.2,1.117,292.0,-6.0,-4.8,-6.0,980.0,292.0, None, None,37.0, None,37.24, None, None,-4.843, None,12.3, None, None,65.62,1.1,-4.8,1021.0,0.0,0.0,91.0,2020-04-08 04:00:00,980.0,15
92.8, None, None,3.8,0.874,272.4,-6.0,-5.4,-6.0,981.0,272.0, None, None,37.0, None,37.38, None, None,-5.387, None,12.3, None, None,57.82,0.9,-5.4,1022.1,0.0,0.0,93.0,2020-04-08 05:00:00,981.0,15
94.3, None, None,3.2,0.331,178.8,-6.0,-5.9,-6.0,981.0,179.0, None, None,37.0, None,37.01, None, None,-5.633, None,12.3, None, None,63.74,0.3,-5.6,1022.1,0.0,0.0,94.0,2020-04-08 06:00:00,981.0,15
92.9, None, None,3.4,0.687,287.4,-6.0,-5.8,-6.0,982.0,287.0, None, None,37.0, None,37.19, None, None,-5.538, None,-5.4, None, None,58.74,0.7,-5.5,1023.4,0.0,0.0,93.0,2020-04-08 07:00:00,982.0,15
90.5, None, None,4.2,0.424,131.6,-5.0,-5.8,-5.0,982.0,132.0, None, None,37.0, None,37.3, None, None,-4.259, None,-4.3, None, None,74.26,0.4,-4.3,1023.6,0.0,0.0,91.0,2020-04-08 08:00:00,982.0,15
71.43, None, None,4.4,1.356,138.5,-5.0,-5.8,-5.0,983.0,139.0, None, None,37.0, None,37.48, None, None,-1.196, None,-0.8, None, None,38.31,1.4,-1.2,1024.6,0.0,0.0,71.0,2020-04-08 09:00:00,983.0,15
51.38, None, None,7.0,1.155,185.2,-7.0,-5.8,-7.0,983.0,185.0, None, None,38.0, None,37.61, None, None,2.61, None,2.6, None, None,41.34,1.2,2.6,1024.5,0.0,0.0,51.0,2020-04-08 10:00:00,983.0,15
37.83, None, None,10.2,5.29,184.5,-8.0,-5.8,-8.0,982.0,185.0, None, None,38.0, None,37.53, None, None,5.447, None,5.6, None, None,22.41,5.3,5.4,1023.3,-1.0,0.0,38.0,2020-04-08 11:00:00,982.0,15
30.02, None, None,10.3,4.591,183.6,-9.0,-5.8,-9.0,982.0,184.0, None, None,37.0, None,36.65, None, None,7.922, None,8.2, None, None,50.7,4.6,7.9,1023.2,0.0,-1.0,30.0,2020-04-08 12:00:00,982.0,15
25.05, None, None,14.9,5.782,185.6,-9.0,-5.8,-9.0,981.0,186.0, None, None,36.0, None,36.48, None, None,10.52, None,10.6, None, None,28.68,5.8,10.5,1022.1,0.0,0.0,25.0,2020-04-08 13:00:00,981.0,15
19.39, None, None,11.2,3.828,167.1,-11.0,-5.8,-11.0,980.0,167.0, None, None,37.0, None,36.83, None, None,11.05, None,11.3, None, None,44.05,3.8,11.1,1021.0,0.0,1.0,19.0,2020-04-08 14:00:00,980.0,15
18.43, None, None,9.7,3.033,194.6,-10.0,-5.8,-10.0,980.0,195.0, None, None,36.0, None,35.95, None, None,12.26, None,12.4, None, None,45.63,3.0,12.3,1021.0,0.0,-1.0,18.0,2020-04-08 15:00:00,980.0,15
15.74, None, None,12.6,5.331,188.8,-12.0,-5.8,-12.0,979.0,189.0, None, None,36.0, None,35.76, None, None,13.19, None,13.6, None, None,31.04,5.3,13.2,1020.0,0.0,0.0,16.0,2020-04-08 16:00:00,979.0,15
17.09, None, None,10.4,5.161,200.8,-11.0,-5.8,-11.0,979.0,201.0, None, None,36.0, None,35.67, None, None,13.96, None,14.4, None, None,32.44,5.2,14.0,1020.0,0.0,0.0,17.0,2020-04-08 17:00:00,979.0,15
24.8, None, None,7.9,2.398,333.7,-7.0,-5.8,-7.0,978.0,334.0, None, None,35.0, None,35.0, None, None,12.77, None,14.4, None, None,54.7,2.4,12.8,1019.0,0.0,-1.0,25.0,2020-04-08 18:00:00,978.0,15
