pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
3.0, None, 5.0,4.0,662.0, None, None,2023-07-16 00:00:00,10.2, None,-2.0, None,29
None, None, None,3.0,660.0, None, None,2023-07-16 01:00:00,8.9, None,-2.0, None,29
None, None, 1.0,3.0,661.0, None, None,2023-07-16 02:00:00,8.6, None,-2.0, None,29
7.0, None, 4.0,3.0,665.0, None, None,2023-07-16 03:00:00,8.9, None,-2.0, None,29
None, None, 3.0,3.0,668.0, None, None,2023-07-16 04:00:00,9.0, None,-2.0, None,29
2.0, None, None,3.0,663.0, None, None,2023-07-16 05:00:00,8.0, None,-2.0, None,29
6.0, None, 9.0,3.0,672.0, None, None,2023-07-16 06:00:00,8.2, None,-2.0, None,29
14.0, None, 8.0,3.0,680.0, None, None,2023-07-16 07:00:00,10.1, None,-2.0, None,29
14.0, None, 4.0,2.0,684.0, None, None,2023-07-16 08:00:00,11.5, None,-2.0, None,29
17.0, None, 4.0,2.0,688.0, None, None,2023-07-16 09:00:00,13.4, None,-1.0, None,29
8.0, None, None,2.0,681.0, None, None,2023-07-16 10:00:00,17.3, None,-3.0, None,29
22.0, None, 9.0,2.0,690.0, None, None,2023-07-16 11:00:00,17.9, None,-2.0, None,29
None, None, None,2.0,645.0, None, None,2023-07-16 12:00:00,19.1, None,-3.0, None,29
10.0, None, 40.0,2.0,685.0, None, None,2023-07-16 13:00:00,21.4, None,-2.0, None,29
6.0, None, None,3.0,668.0, None, None,2023-07-16 14:00:00,20.0, None,-2.0, None,29
13.0, None, 1.0,3.0,669.0, None, None,2023-07-16 15:00:00,22.0, None,-2.0, None,29
None, None, None,3.0,668.0, None, None,2023-07-16 16:00:00,20.4, None,-2.0, None,29
9.0, None, 2.0,3.0,670.0, None, None,2023-07-16 17:00:00,20.1, None,-3.0, None,29
10.0, None, 2.0,3.0,672.0, None, None,2023-07-16 18:00:00,20.5, None,-2.0, None,29
12.0, None, 2.0,3.0,674.0, None, None,2023-07-16 19:00:00,20.2, None,-2.0, None,29
10.0, None, None,3.0,664.0, None, None,2023-07-16 20:00:00,20.1, None,-3.0, None,29
5.0, None, None,3.0,659.0, None, None,2023-07-16 21:00:00,18.8, None,-3.0, None,29
None, None, None,3.0,650.0, None, None,2023-07-16 22:00:00,15.6, None,-3.0, None,29
None, None, 2.0,3.0,652.0, None, None,2023-07-16 23:00:00,12.9, None,-2.0, None,29
None, None, 2.0,2.0,654.0, None, None,2023-07-17 00:00:00,11.7, None,-2.0, None,29
10.0, None, 16.0,2.0,670.0, None, None,2023-07-17 01:00:00,11.6, None,-2.0, None,29
2.0, None, None,2.0,663.0, None, None,2023-07-17 02:00:00,10.7, None,-2.0, None,29
None, None, None,2.0,656.0, None, None,2023-07-17 03:00:00,9.9, None,-2.0, None,29
None, None, 2.0,2.0,658.0, None, None,2023-07-17 04:00:00,8.4, None,-1.0, None,29
4.0, None, 9.0,2.0,667.0, None, None,2023-07-17 05:00:00,8.0, None,-2.0, None,29
2.0, None, 7.0,2.0,674.0, None, None,2023-07-17 06:00:00,8.8, None,-2.0, None,29
None, None, 0.0,2.0,674.0, None, None,2023-07-17 07:00:00,8.6, None,-2.0, None,29
None, None, None,2.0,671.0, None, None,2023-07-17 08:00:00,9.1, None,-2.0, None,29
None, None, 6.0,2.0,677.0, None, None,2023-07-17 09:00:00,9.7, None,-2.0, None,29
None, None, 2.0,2.0,679.0, None, None,2023-07-17 10:00:00,10.8, None,-2.0, None,29
None, None, None,2.0,661.0, None, None,2023-07-17 11:00:00,10.2, None,-2.0, None,29
22.0, None, 6.0,2.0,667.0, None, None,2023-07-17 12:00:00,9.9, None,-2.0, None,29
7.0, None, 25.0,2.0,692.0, None, None,2023-07-17 13:00:00,10.8, None,-2.0, None,29
None, None, None,2.0,667.0, None, None,2023-07-17 14:00:00,10.0, None,-2.0, None,29
6.0, None, 8.0,2.0,675.0, None, None,2023-07-17 15:00:00,10.3, None,-2.0, None,29
8.0, None, 1.0,2.0,676.0, None, None,2023-07-17 16:00:00,11.2, None,-2.0, None,29
None, None, None,2.0,668.0, None, None,2023-07-17 17:00:00,12.6, None,-2.0, None,29
4.0, None, 8.0,2.0,676.0, None, None,2023-07-17 18:00:00,13.8, None,-2.0, None,29
None, None, None,2.0,664.0, None, None,2023-07-17 19:00:00,13.2, None,-2.0, None,29
None, None, None,2.0,659.0, None, None,2023-07-17 20:00:00,11.6, None,-2.0, None,29
3.0, None, 3.0,2.0,662.0, None, None,2023-07-17 21:00:00,10.3, None,-2.0, None,29
19.0, None, 7.0,2.0,669.0, None, None,2023-07-17 22:00:00,10.0, None,-2.0, None,29
19.0, None, 2.0,2.0,671.0, None, None,2023-07-17 23:00:00,10.8, None,-2.0, None,29
11.0, None, None,2.0,665.0, None, None,2023-07-18 00:00:00,10.2, None,-1.0, None,29
None, None, None,2.0,659.0, None, None,2023-07-18 01:00:00,8.6, None,-2.0, None,29
2.0, None, 6.0,2.0,665.0, None, None,2023-07-18 02:00:00,8.1, None,-2.0, None,29
16.0, None, 7.0,2.0,672.0, None, None,2023-07-18 03:00:00,8.5, None,-1.0, None,29
7.0, None, None,2.0,665.0, None, None,2023-07-18 04:00:00,8.1, None,-2.0, None,29
None, None, None,2.0,662.0, None, None,2023-07-18 05:00:00,7.4, None,-2.0, None,29
None, None, 2.0,2.0,664.0, None, None,2023-07-18 06:00:00,6.7, None,-2.0, None,29
10.0, None, 20.0,2.0,684.0, None, None,2023-07-18 07:00:00,8.1, None,-1.0, None,29
11.0, None, None,2.0,682.0, None, None,2023-07-18 08:00:00,9.5, None,-1.0, None,29
None, None, None,2.0,673.0, None, None,2023-07-18 09:00:00,10.2, None,-2.0, None,29
4.0, None, 10.0,2.0,683.0, None, None,2023-07-18 10:00:00,11.9, None,-2.0, None,29
30.0, None, 8.0,2.0,691.0, None, None,2023-07-18 11:00:00,13.5, None,-1.0, None,29
None, None, None,2.0,662.0, None, None,2023-07-18 12:00:00,14.5, None,-2.0, None,29
None, None, 2.0,2.0,664.0, None, None,2023-07-18 13:00:00,15.2, None,-1.0, None,29
