CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -6.124,86.3, None, None, None, None, 60.09, 2.719, 248.9, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 00:00:00, None, None,17
None, -5.858,86.5, None, None, None, None, 43.88, 2.047, 262.8, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 01:00:00, None, None,17
None, -5.916,84.7, None, None, None, None, 46.2, 2.871, 250.2, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 02:00:00, None, None,17
None, -5.95,84.7, None, None, None, None, 40.94, 4.227, 253.2, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 03:00:00, None, None,17
None, -5.83,83.6, None, None, None, None, 47.48, 5.796, 268.1, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 04:00:00, None, None,17
None, -6.049,83.2, None, None, None, None, 48.74, 4.646, 259.2, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 05:00:00, None, None,17
None, -6.049,84.5, None, None, None, None, 48.38, 4.788, 264.5, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 06:00:00, None, None,17
None, -4.655,80.8, None, None, None, None, 46.78, 5.24, 263.8, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 07:00:00, None, None,17
None, None,72.87, None, None, None, None, 46.53, 6.052, 269.5, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 08:00:00, None, None,17
None, None,66.62, None, None, None, None, 58.78, 5.816, 278.7, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 09:00:00, None, None,17
None, None,61.67, None, None, None, None, 64.05, 5.118, 291.3, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 10:00:00, None, None,17
None, None,51.35, None, None, None, None, 60.1, 8.09, 84.1, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 11:00:00, None, None,17
None, None,53.25, None, None, None, None, 75.24, 4.253, 117.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 12:00:00, None, None,17
None, None,58.39, None, None, None, None, 74.95, 3.625, 274.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 13:00:00, None, None,17
None, 1.968,53.87, None, None, None, None, 59.36, 6.637, 62.75, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 14:00:00, None, None,17
None, None,49.77, None, None, None, None, 68.53, 3.689, 52.31, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 15:00:00, None, None,17
None, None,42.85, None, None, None, None, 53.25, 4.927, 32.95, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 16:00:00, None, None,17
None, None,46.16, None, None, None, None, 56.17, 6.128, 42.3, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 17:00:00, None, None,17
None, None,45.66, None, None, None, None, 51.08, 3.516, 72.23, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 18:00:00, None, None,17
None, None,46.64, None, None, None, None, 28.71, 2.847, 67.52, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 19:00:00, None, None,17
None, 2.358,34.61, None, None, None, None, 45.77, 3.959, 79.69, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 20:00:00, None, None,17
None, None,32.65, None, None, None, None, 7.418, 9.2, 99.2, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 21:00:00, None, None,17
None, None,34.1, None, None, None, None, 6.533, 11.51, 98.1, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 22:00:00, None, None,17
None, None,32.73, None, None, None, None, 5.129, 10.02, 95.7, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-23 23:00:00, None, None,17
None, None,35.24, None, None, None, None, 17.24, 9.56, 101.5, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 00:00:00, None, None,17
None, None,48.31, None, None, None, None, 20.1, 11.91, 136.1, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 01:00:00, None, None,17
None, None,45.82, None, None, None, None, 16.01, 10.58, 151.9, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 02:00:00, None, None,17
None, None,54.22, None, None, None, None, 10.04, 12.67, 165.7, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 03:00:00, None, None,17
None, None,49.13, None, None, None, None, 8.12, 10.09, 188.1, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 04:00:00, None, None,17
None, None,45.96, None, None, None, None, 7.744, 8.42, 216.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 05:00:00, None, None,17
None, None,47.95, None, None, None, None, 7.948, 7.572, 233.2, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 06:00:00, None, None,17
None, None,39.34, None, None, None, None, 26.99, 8.63, 171.4, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 07:00:00, None, None,17
None, None,37.82, None, None, None, None, 20.03, 6.299, 166.5, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 08:00:00, None, None,17
None, None,36.82, None, None, None, None, 19.4, 7.015, 150.0, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 09:00:00, None, None,17
None, None,37.46, None, None, None, None, 19.16, 9.3, 133.8, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 10:00:00, None, None,17
None, None,27.28, None, None, None, None, 25.91, 4.8, 163.4, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 11:00:00, None, None,17
None, None,41.24, None, None, None, None, 33.94, 6.385, 174.2, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 12:00:00, None, None,17
None, None,40.4, None, None, None, None, 28.33, 8.45, 196.4, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 13:00:00, None, None,17
None, None,37.08, None, None, None, None, 33.64, 8.95, 172.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 14:00:00, None, None,17
None, None,31.79, None, None, None, None, 25.07, 9.27, 221.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 15:00:00, None, None,17
None, None,36.38, None, None, None, None, 17.59, 11.84, 242.8, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 16:00:00, None, None,17
None, None,33.32, None, None, None, None, 14.42, 13.47, 242.3, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 17:00:00, None, None,17
None, None,31.45, None, None, None, None, 11.44, 15.27, 239.7, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 18:00:00, None, None,17
None, None,35.46, None, None, None, None, 8.05, 15.63, 236.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 19:00:00, None, None,17
None, None,37.21, None, None, None, None, 6.317, 15.33, 235.0, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 20:00:00, None, None,17
None, None,40.76, None, None, None, None, 8.85, 17.0, 232.1, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 21:00:00, None, None,17
None, None,37.91, None, None, None, None, 6.047, 20.3, 228.1, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 22:00:00, None, None,17
None, None,41.04, None, None, None, None, 4.593, 22.28, 228.7, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-24 23:00:00, None, None,17
None, None,43.44, None, None, None, None, 3.808, 24.33, 226.0, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-25 00:00:00, None, None,17
None, None,48.39, None, None, None, None, 5.636, 22.61, 225.7, None, None, None, None, None, None, None, None, None, None, None, None,2018-04-25 01:00:00, None, None,17
