pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None,4.984, None,2018-04-23 00:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.032,17
None, None,4.851, None,2018-04-23 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.049,17
None, None,4.161, None,2018-04-23 02:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.216,17
None, None,4.616, None,2018-04-23 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.106,17
None, None,4.399, None,2018-04-23 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.2,17
None, None,3.459, None,2018-04-23 05:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.154,17
None, None,2.561, None,2018-04-23 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.018,17
None, None,2.283, None,2018-04-23 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.08,17
None, None,2.611, None,2018-04-23 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.242,17
None, None,4.387, None,2018-04-23 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.103,17
None, None,6.468, None,2018-04-23 10:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.061,17
None, None,6.932, None,2018-04-23 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.032,17
None, None,7.29, None,2018-04-23 12:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.049,17
None, None,7.93, None,2018-04-23 13:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.07,17
None, None,7.48, None,2018-04-23 14:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.042,17
None, None,8.06, None,2018-04-23 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.191,17
None, None,7.79, None,2018-04-23 16:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.062,17
None, None,6.865, None,2018-04-23 17:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.05,17
None, None,5.565, None,2018-04-23 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.096,17
None, None,5.499, None,2018-04-23 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.099,17
None, None,4.282, None,2018-04-23 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.183,17
None, None,3.717, None,2018-04-23 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.124,17
None, None,3.024, None,2018-04-23 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.239,17
None, None,2.654, None,2018-04-23 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.194,17
None, None,2.336, None,2018-04-24 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.127,17
None, None,2.161, None,2018-04-24 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.194,17
None, None,2.011, None,2018-04-24 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.139,17
None, None,1.758, None,2018-04-24 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.168,17
None, None,1.908, None,2018-04-24 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.203,17
None, None,1.776, None,2018-04-24 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.002,17
None, None,1.617, None,2018-04-24 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.109,17
None, None,1.702, None,2018-04-24 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.076,17
None, None,2.274, None,2018-04-24 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.228,17
None, None,3.409, None,2018-04-24 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.245,17
None, None,5.38, None,2018-04-24 10:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.068,17
None, None,6.219, None,2018-04-24 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.023,17
None, None,6.304, None,2018-04-24 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.125,17
None, None,6.684, None,2018-04-24 13:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.094,17
None, None,7.59, None,2018-04-24 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.36,17
None, None,6.407, None,2018-04-24 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.26,17
None, None,7.18, None,2018-04-24 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.398,17
None, None,10.25, None,2018-04-24 17:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.018,17
None, None,8.5, None,2018-04-24 18:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.302,17
None, None,7.24, None,2018-04-24 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.418,17
None, None,5.801, None,2018-04-24 20:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.291,17
None, None,4.545, None,2018-04-24 21:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.14,17
None, None,3.078, None,2018-04-24 22:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.087,17
None, None,2.018, None,2018-04-24 23:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.161,17
None, None,1.814, None,2018-04-25 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.146,17
None, None,1.158, None,2018-04-25 01:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.105,17
None, None,0.072, None,2018-04-25 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.065,17
None, None,-0.218, None,2018-04-25 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.204,17
None, None,0.241, None,2018-04-25 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.037,17
None, None,0.298, None,2018-04-25 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.122,17
None, None,-0.264, None,2018-04-25 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.09,17
None, None,-0.611, None,2018-04-25 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.159,17
None, None,0.4, None,2018-04-25 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.188,17
None, None,3.438, None,2018-04-25 09:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.092,17
None, None,6.525, None,2018-04-25 10:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.014,17
None, None,8.83, None,2018-04-25 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.179,17
None, None,10.48, None,2018-04-25 12:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.038,17
None, None,12.12, None,2018-04-25 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.06,17
None, None,13.34, None,2018-04-25 14:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.527,17
None, None,14.0, None,2018-04-25 15:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.486,17
