pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 2.745, 95.5, 3.5, 96.0, None, None, 2.0, 2.7, 2.2, 2.0, 191.4, None, 0.0,2022-01-15 00:00:00, 22.0, 22.43, None,3
None, 3.399, 95.9, 3.9, 96.0, None, None, 3.0, 3.4, 2.2, 3.0, 191.4, None, 0.0,2022-01-15 01:00:00, 22.0, 22.09, None,3
None, 5.002, 96.3, 5.0, 96.0, None, None, 4.0, 5.0, 2.2, 4.0, 191.0, None, 0.0,2022-01-15 02:00:00, 22.0, 22.21, None,3
None, 5.053, 94.5, 5.9, 95.0, None, None, 4.0, 5.1, 2.2, 4.0, 191.1, None, 0.0,2022-01-15 03:00:00, 22.0, 21.87, None,3
None, 5.692, 92.0, 5.9, 92.0, None, None, 5.0, 5.7, 2.2, 5.0, 191.7, None, -1.0,2022-01-15 04:00:00, 21.0, 21.25, None,3
None, 5.585, 92.0, 5.9, 92.0, None, None, 4.0, 5.6, 2.2, 4.0, 192.2, None, -1.0,2022-01-15 05:00:00, 21.0, 20.55, None,3
None, 4.072, 91.7, 5.9, 92.0, None, None, 3.0, 4.1, 2.2, 3.0, 192.6, None, 0.0,2022-01-15 06:00:00, 20.0, 20.31, None,3
None, 2.933, 94.6, 4.4, 95.0, None, None, 2.0, 2.9, 2.4, 2.0, 192.8, None, 0.0,2022-01-15 07:00:00, 20.0, 20.41, None,3
None, 5.288, 92.3, 5.4, 92.0, None, None, 4.0, 5.3, 2.4, 4.0, 192.3, None, 0.0,2022-01-15 08:00:00, 20.0, 20.25, None,3
None, 5.261, 91.9, 5.5, 92.0, None, None, 4.0, 5.3, 2.4, 4.0, 192.3, None, -1.0,2022-01-15 09:00:00, 19.0, 18.85, None,3
None, 3.952, 92.8, 5.5, 93.0, None, None, 3.0, 4.0, 2.4, 3.0, 192.7, None, -1.0,2022-01-15 10:00:00, 18.0, 17.55, None,3
None, 2.934, 93.7, 5.5, 94.0, None, None, 2.0, 2.9, 2.4, 2.0, 192.8, None, 0.0,2022-01-15 11:00:00, 17.0, 17.26, None,3
None, 3.731, 94.7, 5.5, 95.0, None, None, 3.0, 3.7, 2.4, 3.0, 192.7, None, 0.0,2022-01-15 12:00:00, 17.0, 17.19, None,3
None, 4.145, 94.1, 5.5, 94.0, None, None, 3.0, 4.1, 2.4, 3.0, 192.6, None, 1.0,2022-01-15 13:00:00, 17.0, 17.47, None,3
None, 5.823, 88.6, 6.2, 89.0, None, None, 4.0, 5.8, 2.4, 4.0, 192.2, None, 1.0,2022-01-15 14:00:00, 18.0, 17.75, None,3
None, 4.571, 86.9, 6.2, 87.0, None, None, 3.0, 4.6, 2.4, 3.0, 192.7, None, -1.0,2022-01-15 15:00:00, 17.0, 16.74, None,3
None, 4.63, 88.4, 6.2, 88.0, None, None, 3.0, 4.6, 2.4, 3.0, 192.9, None, 0.0,2022-01-15 16:00:00, 17.0, 16.69, None,3
None, 3.001, 92.5, 6.2, 93.0, None, None, 2.0, 3.0, 2.4, 2.0, 193.2, None, 0.0,2022-01-15 17:00:00, 17.0, 16.76, None,3
None, 2.84, 94.1, 6.2, 94.0, None, None, 2.0, 2.8, 2.4, 2.0, 193.3, None, 0.0,2022-01-15 18:00:00, 17.0, 16.58, None,3
None, 2.996, 94.5, 3.2, 95.0, None, None, 2.0, 3.0, 2.7, 2.0, 193.3, None, 0.0,2022-01-15 19:00:00, 16.0, 16.14, None,3
None, 2.871, 94.6, 3.3, 95.0, None, None, 2.0, 2.9, 2.7, 2.0, 193.2, None, 0.0,2022-01-15 20:00:00, 16.0, 16.28, None,3
None, 2.563, 94.7, 3.3, 95.0, None, None, 2.0, 2.6, 2.6, 2.0, 193.8, None, 0.0,2022-01-15 21:00:00, 16.0, 16.23, None,3
None, 2.371, 94.9, 3.3, 95.0, None, None, 2.0, 2.4, 2.4, 2.0, 196.7, None, 0.0,2022-01-15 22:00:00, 16.0, 16.04, None,3
None, 2.226, 95.3, 3.3, 95.0, None, None, 2.0, 2.2, 2.1, 2.0, 198.8, None, 0.0,2022-01-15 23:00:00, 16.0, 15.69, None,3
None, 2.006, 95.4, 3.3, 95.0, None, None, 1.0, 2.0, 1.9, 1.0, 200.1, None, 0.0,2022-01-16 00:00:00, 16.0, 15.93, None,3
None, 1.828, 95.5, 3.3, 96.0, None, None, 1.0, 1.8, 1.8, 1.0, 201.5, None, 0.0,2022-01-16 01:00:00, 16.0, 15.97, None,3
