pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, 16.73, 60.23, 31.5, None, 15.3, 1.83, 57.24, 9.0, None, 16.7, 16.5, None, 0.0, 9.0, 919.0, None, 0.0, 60.0,2021-07-16 00:00:00, -6999.0, 919.0,29
None, 14.99, 70.06, 31.5, None, 11.57, 2.681, 61.94, 9.0, None, 15.0, 15.1, None, 0.0, 9.0, 919.0, None, 0.0, 70.0,2021-07-16 01:00:00, -6999.0, 919.0,29
None, 13.83, 73.39, 31.5, None, 15.93, 2.396, 67.78, 9.0, None, 13.8, 13.9, 1009.8, 0.0, 9.0, 919.0, None, 0.0, 73.0,2021-07-16 02:00:00, -6999.0, 919.0,29
None, 12.88, 77.36, 31.5, None, 17.85, 2.44, 53.98, 9.0, None, 12.9, 12.8, 1010.8, 0.0, 9.0, 920.0, None, 0.0, 77.0,2021-07-16 03:00:00, -6999.0, 920.0,29
None, 12.05, 81.7, 31.5, None, 10.65, 1.795, 60.16, 9.0, None, 12.1, 12.1, 1010.8, 0.0, 9.0, 920.0, None, 0.0, 82.0,2021-07-16 04:00:00, -6999.0, 920.0,29
None, 11.12, 86.0, 31.5, None, 11.04, 1.758, 56.82, 9.0, None, 11.1, 11.1, 1012.0, 0.0, 9.0, 921.0, None, 0.0, 86.0,2021-07-16 05:00:00, -6999.0, 921.0,29
None, 11.1, 85.9, 31.5, None, 12.9, 1.779, 62.49, 9.0, None, 11.1, 11.0, 1012.0, 0.0, 9.0, 921.0, None, 0.0, 86.0,2021-07-16 06:00:00, -6999.0, 921.0,29
None, 11.73, 83.9, 11.8, None, 9.3, 1.092, 59.87, 9.0, None, 11.7, 11.1, 1012.1, 0.0, 9.0, 921.0, None, 0.0, 84.0,2021-07-16 07:00:00, -6999.0, 921.0,29
None, 14.14, 73.25, 14.2, None, 28.71, 0.653, 53.54, 9.0, None, 14.1, 11.1, 1012.1, 0.0, 9.0, 921.0, None, 0.0, 73.0,2021-07-16 08:00:00, -6999.0, 921.0,29
None, 16.85, 60.79, 16.8, None, 62.97, 1.564, 340.1, 9.0, None, 16.9, 11.1, 1012.1, 0.0, 9.0, 921.0, None, 0.0, 61.0,2021-07-16 09:00:00, -6999.0, 921.0,29
None, 20.13, 51.52, 20.1, None, 47.34, 1.743, 157.0, 10.0, None, 20.1, 11.1, 1012.2, 0.0, 10.0, 921.0, None, 0.0, 52.0,2021-07-16 10:00:00, -6999.0, 921.0,29
None, 22.51, 47.34, 22.4, None, 36.99, 2.339, 167.6, 11.0, None, 22.5, 11.1, 1011.1, 0.0, 11.0, 920.0, None, 0.0, 47.0,2021-07-16 11:00:00, -6999.0, 920.0,29
None, 25.58, 38.63, 25.6, None, 46.98, 3.081, 154.7, 11.0, None, 25.6, 11.1, 1010.9, 0.0, 11.0, 920.0, None, 0.0, 39.0,2021-07-16 12:00:00, -6999.0, 920.0,29
