pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,week_of_year
None, 14.84, 55.73, 24.9, None, 15.59, 8.85, 110.5, 6.0, None, 14.8, 14.8, 6.0, 0.0, None, 0.0, 56.0,2021-07-16 00:00:00, -6999.0,29
None, 14.29, 57.87, 24.9, None, 28.24, 5.849, 108.0, 6.0, None, 14.3, 14.0, 6.0, 0.0, None, 0.0, 58.0,2021-07-16 01:00:00, -6999.0,29
None, 13.49, 59.74, 24.9, None, 18.73, 7.924, 109.0, 6.0, None, 13.5, 13.6, 6.0, 0.0, None, 0.0, 60.0,2021-07-16 02:00:00, -6999.0,29
None, 12.58, 63.62, 24.9, None, 13.44, 9.73, 111.8, 5.0, None, 12.6, 12.2, 5.0, 0.0, None, 0.0, 64.0,2021-07-16 03:00:00, -6999.0,29
None, 11.68, 66.9, 24.9, None, 14.82, 8.96, 114.4, 6.0, None, 11.7, 11.6, 6.0, 0.0, None, 0.0, 67.0,2021-07-16 04:00:00, -6999.0,29
None, 11.39, 68.97, 24.9, None, 14.18, 9.07, 114.5, 6.0, None, 11.4, 11.2, 6.0, 0.0, None, 0.0, 69.0,2021-07-16 05:00:00, -6999.0,29
None, 11.13, 70.7, 24.9, None, 11.62, 10.5, 112.6, 6.0, None, 11.1, 10.7, 6.0, 0.0, None, 0.0, 71.0,2021-07-16 06:00:00, -6999.0,29
None, 13.33, 64.39, 13.5, None, 11.59, 11.54, 106.7, 7.0, None, 13.3, 11.1, 7.0, 0.0, None, 0.0, 64.0,2021-07-16 07:00:00, -6999.0,29
None, 15.57, 57.42, 15.9, None, 21.81, 9.28, 104.9, 7.0, None, 15.6, 11.1, 7.0, 0.0, None, 0.0, 57.0,2021-07-16 08:00:00, -6999.0,29
None, 17.55, 51.33, 17.4, None, 57.11, 6.581, 104.8, 8.0, None, 17.6, 11.1, 8.0, 0.0, None, 0.0, 51.0,2021-07-16 09:00:00, -6999.0,29
