pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -2.679, None, None, None, 6.7, 17.22, 0.0, 3.639, 347.9, -6999.0, 3.6, -2.7, -2.9, -0.3, 348.0, 1.7, None, None, -6999.0, None,2020-03-25 00:00:00, 194.0, None, 194.4, -6999.0,13
None, -3.192, None, None, None, 6.8, 16.28, 0.0, 3.216, 354.0, -6999.0, 3.2, -3.2, -3.2, -0.2, 354.0, 1.7, None, None, -6999.0, None,2020-03-25 01:00:00, 194.0, None, 194.4, -6999.0,13
None, -3.459, None, None, None, 6.8, 16.58, 0.0, 3.081, 350.3, -6999.0, 3.1, -3.5, -3.5, -0.2, 350.0, 1.7, None, None, -6999.0, None,2020-03-25 02:00:00, 194.0, None, 194.3, -6999.0,13
None, -3.698, None, None, None, 5.4, 14.34, 0.0, 2.785, 349.8, -6999.0, 2.8, -3.7, -4.1, -0.3, 350.0, 1.7, None, None, -6999.0, None,2020-03-25 03:00:00, 194.0, None, 194.2, -6999.0,13
None, -4.053, None, None, None, 7.4, 15.05, 0.0, 2.797, 352.6, -6999.0, 2.8, -4.1, -4.3, -0.3, 353.0, 1.7, None, None, -6999.0, None,2020-03-25 04:00:00, 194.0, None, 194.2, -6999.0,13
None, -4.014, None, None, None, 5.4, 13.06, 0.0, 2.833, 346.2, -6999.0, 2.8, -4.0, -4.3, -0.1, 346.0, 1.7, None, None, -6999.0, None,2020-03-25 05:00:00, 194.0, None, 194.1, -6999.0,13
None, -4.621, None, None, None, 5.1, 17.46, 0.0, 2.083, 346.1, -6999.0, 2.1, -4.6, -4.6, -0.2, 346.0, 1.7, None, None, -6999.0, None,2020-03-25 06:00:00, 194.0, None, 194.1, -6999.0,13
None, -4.322, None, None, None, 6.4, 15.04, 0.0, 2.596, 348.1, -6999.0, 2.6, -4.3, -4.6, -0.1, 348.0, -4.2, None, None, -6999.0, None,2020-03-25 07:00:00, 194.0, None, 193.9, -6999.0,13
None, -4.418, None, None, None, 4.2, 34.33, 0.0, 1.593, 330.0, -6999.0, 1.6, -4.4, -4.7, 0.0, 330.0, -4.2, None, None, -6999.0, None,2020-03-25 08:00:00, 194.0, None, 193.9, -6999.0,13
None, -1.456, None, None, None, 4.3, 19.55, 0.0, 1.567, 344.7, -6999.0, 1.6, -1.5, -4.7, 0.0, 345.0, -1.5, None, None, -6999.0, None,2020-03-25 09:00:00, 194.0, None, 193.5, -6999.0,13
