pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 11.15, 95.2, None, None, 32.09, 0.722, 313.5, None, None, None, None, None, None, 10.0, 939.0, None, None, None,2019-09-17 00:00:00, None, None, None,38
None, 10.76, 95.2, None, None, 20.0, 0.224, 306.2, None, None, None, None, None, None, 10.0, 939.0, None, None, None,2019-09-17 01:00:00, None, None, None,38
None, 10.95, 95.4, None, None, 23.19, 0.131, 298.9, None, None, None, None, None, None, 10.0, 939.0, None, None, None,2019-09-17 02:00:00, None, None, None,38
None, 11.0, 95.4, None, None, 11.89, 0.016, 258.4, None, None, None, None, None, None, 10.0, 939.0, None, None, None,2019-09-17 03:00:00, None, None, None,38
None, 10.58, 95.4, None, None, 15.6, 0.089, 282.7, None, None, None, None, None, None, 10.0, 940.0, None, None, None,2019-09-17 04:00:00, None, None, None,38
None, 10.69, 95.5, None, None, 30.04, 0.029, 263.0, None, None, None, None, None, None, 10.0, 940.0, None, None, None,2019-09-17 05:00:00, None, None, None,38
None, 10.61, 95.5, None, None, 38.61, 0.148, 318.4, None, None, None, None, None, None, 10.0, 940.0, None, None, None,2019-09-17 06:00:00, None, None, None,38
None, 10.56, 95.5, None, None, 20.05, 0.027, 282.2, None, None, None, None, None, None, 10.0, 940.0, None, None, None,2019-09-17 07:00:00, None, None, None,38
None, 10.71, 95.5, None, None, 38.49, 0.049, 307.0, None, None, None, None, None, None, 10.0, 941.0, None, None, None,2019-09-17 08:00:00, None, None, None,38
None, 11.15, 95.5, None, None, 37.88, 0.01, 302.3, None, None, None, None, None, None, 10.0, 941.0, None, None, None,2019-09-17 09:00:00, None, None, None,38
None, 11.67, 95.4, None, None, 39.59, 0.049, 174.5, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-17 10:00:00, None, None, None,38
None, 11.74, 95.1, None, None, 64.05, 0.022, 187.6, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-17 11:00:00, None, None, None,38
None, 11.56, 95.0, None, None, 18.77, 0.149, 286.6, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-17 12:00:00, None, None, None,38
None, 12.61, 92.2, None, None, 70.22, 0.337, 93.5, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-17 13:00:00, None, None, None,38
None, 12.66, 92.6, None, None, 69.46, 0.567, 351.4, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-17 14:00:00, None, None, None,38
None, 13.12, 90.6, None, None, 74.4, 0.244, 243.3, None, None, None, None, None, None, 12.0, 941.0, None, None, None,2019-09-17 15:00:00, None, None, None,38
None, 12.95, 92.2, None, None, 52.53, 0.151, 316.9, None, None, None, None, None, None, 12.0, 941.0, None, None, None,2019-09-17 16:00:00, None, None, None,38
None, 13.42, 90.1, None, None, 74.11, 0.475, 46.66, None, None, None, None, None, None, 12.0, 941.0, None, None, None,2019-09-17 17:00:00, None, None, None,38
None, 12.84, 90.3, None, None, 59.46, 0.148, 314.6, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-17 18:00:00, None, None, None,38
None, 11.79, 92.4, None, None, 16.8, 0.165, 301.2, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-17 19:00:00, None, None, None,38
None, 11.39, 93.4, None, None, 42.63, 0.067, 303.9, None, None, None, None, None, None, 10.0, 941.0, None, None, None,2019-09-17 20:00:00, None, None, None,38
None, 11.02, 93.8, None, None, 35.66, 0.051, 286.2, None, None, None, None, None, None, 10.0, 941.0, None, None, None,2019-09-17 21:00:00, None, None, None,38
None, 10.81, 94.2, None, None, 46.28, 0.437, 273.8, None, None, None, None, None, None, 10.0, 942.0, None, None, None,2019-09-17 22:00:00, None, None, None,38
None, 10.55, 94.5, None, None, 21.84, 0.282, 297.7, None, None, None, None, None, None, 10.0, 942.0, None, None, None,2019-09-17 23:00:00, None, None, None,38
None, 10.18, 94.7, None, None, 31.72, 0.351, 328.6, None, None, None, None, None, None, 9.0, 942.0, None, None, None,2019-09-18 00:00:00, None, None, None,38
None, 10.02, 94.8, None, None, 28.01, 0.475, 328.1, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 01:00:00, None, None, None,38
None, 10.03, 95.0, None, None, 23.21, 0.223, 288.1, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 02:00:00, None, None, None,38
None, 10.02, 95.1, None, None, 19.53, 0.032, 310.6, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 03:00:00, None, None, None,38
None, 9.77, 95.1, None, None, 21.17, 0.776, 351.2, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 04:00:00, None, None, None,38
None, 9.52, 95.2, None, None, 18.53, 0.328, 313.8, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 05:00:00, None, None, None,38
None, 9.5, 95.2, None, None, 39.29, 0.351, 310.3, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 06:00:00, None, None, None,38
None, 9.44, 95.2, None, None, 32.66, 0.588, 342.8, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 07:00:00, None, None, None,38
None, 9.26, 95.2, None, None, 41.49, 0.494, 328.7, None, None, None, None, None, None, 9.0, 941.0, None, None, None,2019-09-18 08:00:00, None, None, None,38
None, 9.55, 95.3, None, None, 43.6, 0.235, 326.6, None, None, None, None, None, None, 9.0, 942.0, None, None, None,2019-09-18 09:00:00, None, None, None,38
None, 11.0, 95.4, None, None, 69.87, 0.483, 98.6, None, None, None, None, None, None, 10.0, 942.0, None, None, None,2019-09-18 10:00:00, None, None, None,38
None, 11.38, 93.4, None, None, 56.33, 0.506, 112.7, None, None, None, None, None, None, 10.0, 941.0, None, None, None,2019-09-18 11:00:00, None, None, None,38
None, 12.63, 89.2, None, None, 45.27, 0.847, 126.7, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-18 12:00:00, None, None, None,38
None, 13.33, 87.3, None, None, 33.53, 0.559, 154.7, None, None, None, None, None, None, 11.0, 941.0, None, None, None,2019-09-18 13:00:00, None, None, None,38
None, 13.11, 87.1, None, None, 39.25, 0.695, 196.6, None, None, None, None, None, None, 11.0, 942.0, None, None, None,2019-09-18 14:00:00, None, None, None,38
None, 11.8, 90.7, None, None, 37.2, 1.021, 236.4, None, None, None, None, None, None, 10.0, 942.0, None, None, None,2019-09-18 15:00:00, None, None, None,38
None, 12.24, 92.3, None, None, 36.06, 0.859, 200.9, None, None, None, None, None, None, 11.0, 942.0, None, None, None,2019-09-18 16:00:00, None, None, None,38
None, 12.74, 91.0, None, None, 47.94, 0.316, 100.8, None, None, None, None, None, None, 11.0, 942.0, None, None, None,2019-09-18 17:00:00, None, None, None,38
None, 13.11, 90.2, None, None, 43.15, 0.344, 80.3, None, None, None, None, None, None, 11.0, 942.0, None, None, None,2019-09-18 18:00:00, None, None, None,38
None, 12.73, 91.1, None, None, 69.69, 0.247, 327.9, None, None, None, None, None, None, 11.0, 943.0, None, None, None,2019-09-18 19:00:00, None, None, None,38
None, 12.01, 92.8, None, None, 9.55, 0.264, 285.4, None, None, None, None, None, None, 11.0, 943.0, None, None, None,2019-09-18 20:00:00, None, None, None,38
None, 11.62, 93.5, None, None, 25.54, 0.402, 322.6, None, None, None, None, None, None, 11.0, 943.0, None, None, None,2019-09-18 21:00:00, None, None, None,38
None, 11.09, 93.8, None, None, 36.27, 0.62, 313.9, None, None, None, None, None, None, 10.0, 944.0, None, None, None,2019-09-18 22:00:00, None, None, None,38
None, 10.81, 94.2, None, None, 21.81, 0.184, 292.6, None, None, None, None, None, None, 10.0, 944.0, None, None, None,2019-09-18 23:00:00, None, None, None,38
None, 10.61, 94.5, None, None, 23.31, 0.347, 318.2, None, None, None, None, None, None, 10.0, 944.0, None, None, None,2019-09-19 00:00:00, None, None, None,38
None, 10.49, 94.6, None, None, 18.35, 0.04, 308.5, None, None, None, None, None, None, 10.0, 944.0, None, None, None,2019-09-19 01:00:00, None, None, None,38
