CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -3.017, None, None, None, None, None,11.74, None,10.51,335.1, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 01:00:00, None, None, 279.4,19
None, -2.838, None, None, None, None, None,13.7, None,11.87,339.7, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 02:00:00, None, None, 279.4,19
None, -2.546, None, None, None, None, None,9.66, None,18.04,338.4, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 03:00:00, None, None, 279.3,19
None, -3.0, None, None, None, None, None,13.4, None,15.85,339.6, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 04:00:00, None, None, 279.4,19
None, -3.264, None, None, None, None, None,19.44, None,9.39,337.9, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 07:00:00, None, None, 279.2,19
None, -2.715, None, None, None, None, None,18.78, None,13.42,340.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 08:00:00, None, None, 279.0,19
None, 0.682, None, None, None, None, None,24.64, None,7.97,315.5, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 12:00:00, None, None, 278.7,19
None, 0.319, None, None, None, None, None,23.09, None,10.57,321.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 13:00:00, None, None, 275.5,19
None, 2.529, None, None, None, None, None,29.68, None,9.15,318.1, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 15:00:00, None, None, 278.3,19
None, 5.018, None, None, None, None, None,37.79, None,6.554,308.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 16:00:00, None, None, 277.6,19
None, 1.747, None, None, None, None, None,21.57, None,13.57,315.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 19:00:00, None, None, 276.3,19
None, 0.998, None, None, None, None, None,23.06, None,8.56,325.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-07 20:00:00, None, None, 276.3,19
None, -0.359, None, None, None, None, None,15.76, None,15.13,345.1, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 00:00:00, None, None, 275.7,19
None, -1.382, None, None, None, None, None,32.35, None,5.859,347.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 01:00:00, None, None, 275.8,19
None, -1.36, None, None, None, None, None,41.01, None,4.274,11.31, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 02:00:00, None, None, 275.6,19
None, -2.707, None, None, None, None, None,31.96, None,4.413,357.6, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 04:00:00, None, None, 275.5,19
None, -0.649, None, None, None, None, None,15.08, None,2.759,315.5, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 06:00:00, None, None, 275.5,19
None, 1.105, None, None, None, None, None,42.32, None,1.126,200.4, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 07:00:00, None, None, 275.0,19
None, 2.276, None, None, None, None, None,25.98, None,3.178,220.6, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 08:00:00, None, None, 274.7,19
None, 6.255, None, None, None, None, None,45.07, None,2.755,254.5, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 12:00:00, None, None, 276.5,19
None, 6.15, None, None, None, None, None,45.25, None,2.799,291.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 14:00:00, None, None, 275.0,19
None, 2.572, None, None, None, None, None,56.92, None,1.826,199.7, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 19:00:00, None, None, 274.2,19
None, 2.373, None, None, None, None, None,13.07, None,3.209,321.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 22:00:00, None, None, 274.2,19
None, 1.979, None, None, None, None, None,11.37, None,7.68,331.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-08 23:00:00, None, None, 274.3,19
None, 1.452, None, None, None, None, None,47.53, None,1.363,60.06, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 00:00:00, None, None, 274.2,19
None, -0.205, None, None, None, None, None,20.28, None,7.04,357.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 02:00:00, None, None, 273.9,19
None, 0.467, None, None, None, None, None,31.22, None,3.646,16.77, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 03:00:00, None, None, 274.2,19
None, 0.906, None, None, None, None, None,23.5, None,3.839,77.1, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 04:00:00, None, None, 274.3,19
None, 0.993, None, None, None, None, None,12.16, None,3.78,122.4, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 05:00:00, None, None, 274.1,19
None, 1.178, None, None, None, None, None,16.26, None,2.692,142.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 06:00:00, None, None, 273.9,19
None, 3.52, None, None, None, None, None,53.78, None,1.086,171.7, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 07:00:00, None, None, 273.5,19
None, 8.37, None, None, None, None, None,44.49, None,2.747,232.4, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 13:00:00, None, None, 272.1,19
None, 9.98, None, None, None, None, None,55.32, None,1.713,265.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 15:00:00, None, None, 269.5,19
None, 8.7, None, None, None, None, None,51.32, None,2.641,246.9, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 16:00:00, None, None, 271.6,19
None, 8.73, None, None, None, None, None,34.93, None,3.416,194.9, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 18:00:00, None, None, 270.8,19
None, 5.718, None, None, None, None, None,24.91, None,4.536,238.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 20:00:00, None, None, 270.7,19
None, 5.069, None, None, None, None, None,20.63, None,8.11,219.8, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 21:00:00, None, None, 270.3,19
None, 5.083, None, None, None, None, None,16.17, None,7.67,222.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-09 23:00:00, None, None, 270.3,19
None, 4.486, None, None, None, None, None,29.85, None,6.386,176.6, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 00:00:00, None, None, 270.2,19
None, 3.802, None, None, None, None, None,9.27, None,5.572,146.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 05:00:00, None, None, 270.1,19
None, 7.53, None, None, None, None, None,38.33, None,2.324,174.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 08:00:00, None, None, 269.8,19
None, 8.16, None, None, None, None, None,45.99, None,2.284,180.9, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 09:00:00, None, None, 269.6,19
None, 9.67, None, None, None, None, None,47.0, None,2.0,219.7, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 10:00:00, None, None, 268.4,19
None, 9.69, None, None, None, None, None,47.39, None,2.72,189.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 11:00:00, None, None, 267.6,19
None, 11.46, None, None, None, None, None,38.42, None,3.306,194.1, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 12:00:00, None, None, 268.8,19
None, 12.34, None, None, None, None, None,50.18, None,2.244,215.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 14:00:00, None, None, 267.4,19
None, 12.5, None, None, None, None, None,45.59, None,2.594,219.6, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 17:00:00, None, None, 266.0,19
None, 10.76, None, None, None, None, None,42.34, None,3.45,219.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 19:00:00, None, None, 265.7,19
None, 7.95, None, None, None, None, None,16.99, None,8.04,129.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 21:00:00, None, None, 265.6,19
None, 7.58, None, None, None, None, None,13.3, None,7.9,145.1, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-10 23:00:00, None, None, 265.6,19
None, 7.56, None, None, None, None, None,10.94, None,8.8,139.3, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 00:00:00, None, None, 265.2,19
None, 7.14, None, None, None, None, None,14.79, None,8.73,153.5, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 01:00:00, None, None, 265.2,19
None, 7.19, None, None, None, None, None,11.28, None,9.6,164.0, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 02:00:00, None, None, 265.2,19
None, 7.09, None, None, None, None, None,14.93, None,9.54,160.7, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 04:00:00, None, None, 265.2,19
None, 7.7, None, None, None, None, None,16.66, None,11.11,140.2, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 05:00:00, None, None, 264.9,19
None, 7.65, None, None, None, None, None,18.9, None,8.39,136.8, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 06:00:00, None, None, 265.0,19
None, 6.148, None, None, None, None, None,60.75, None,2.793,274.5, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 07:00:00, None, None, 264.6,19
None, 6.361, None, None, None, None, None,39.36, None,5.944,22.77, None, None, None, None, None, None, None, None, None, None, None, None,2017-05-11 08:00:00, None, None, 264.7,19
