RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year,PRECIP_DETECTOR_RATIO,mslp
, None, None, None,15.23,60.23,-46.0,12.0, None, None, None, None, None,-6999.0, None, None, None, None,12.02, None,20.8,-6999.0, None,9.89, None,12.0,-0.1,-6999.0,2021-06-18 00:00:00,-6999.0,25,,
, None, None, None,13.45,64.18,-46.0,11.8, None, None, None, None, None,-6999.0, None, None, None, None,11.84, None,20.8,-6999.0, None,9.06, None,11.8,0.0,-6999.0,2021-06-18 01:00:00,-6999.0,25,,
, None, None, None,15.07,63.86,-46.0,11.4, None, None, None, None, None,-6999.0, None, None, None, None,11.35, None,20.8,-6999.0, None,10.43, None,11.4,-0.2,-6999.0,2021-06-18 02:00:00,-6999.0,25,,
, None, None, None,13.58,62.16,-47.0,10.7, None, None, None, None, None,-6999.0, None, None, None, None,10.71, None,20.8,-6999.0, None,12.16, None,10.7,-0.1,-6999.0,2021-06-18 03:00:00,-6999.0,25,,
, None, None, None,14.23,66.85,-47.0,10.5, None, None, None, None, None,-6999.0, None, None, None, None,10.54, None,20.8,-6999.0, None,12.43, None,10.5,0.1,-6999.0,2021-06-18 04:00:00,-6999.0,25,,
, None, None, None,13.34,66.54,-47.0,10.0, None, None, None, None, None,-6999.0, None, None, None, None,10.09, None,20.8,-6999.0, None,13.22, None,10.1,0.0,-6999.0,2021-06-18 05:00:00,-6999.0,25,,
, None, None, None,11.38,67.93,-47.0,10.0, None, None, None, None, None,-6999.0, None, None, None, None,11.01, None,20.8,-6999.0, None,12.05, None,11.0,0.0,-6999.0,2021-06-18 06:00:00,-6999.0,25,,
, None, None, None,10.89,62.86,-47.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,10.98, None,11.0,-6999.0, None,10.79, None,11.0,-0.2,-6999.0,2021-06-18 07:00:00,-6999.0,25,,
, None, None, None,14.98,54.46,-46.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,12.72, None,12.7,-6999.0, None,8.85, None,12.7,-0.1,-6999.0,2021-06-18 08:00:00,-6999.0,25,,
, None, None, None,10.72,63.61,-45.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,14.09, None,14.1,-6999.0, None,9.8, None,14.1,0.0,-6999.0,2021-06-18 09:00:00,-6999.0,25,,
, None, None, None,6.149,49.56,-44.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,16.01, None,16.0,-6999.0, None,16.09, None,16.0,0.0,-6999.0,2021-06-18 10:00:00,-6999.0,25,,
, None, None, None,0.442,240.8,-43.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,16.48, None,16.5,-6999.0, None,74.8, None,16.5,-0.5,-6999.0,2021-06-18 11:00:00,-6999.0,25,,
, None, None, None,2.773,228.0,-40.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,21.69, None,21.7,-6999.0, None,47.89, None,21.7,-0.2,-6999.0,2021-06-18 12:00:00,-6999.0,25,,
, None, None, None,2.349,247.1,-40.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,22.52, None,22.8,-6999.0, None,56.89, None,22.5,-0.3,-6999.0,2021-06-18 13:00:00,-6999.0,25,,
, None, None, None,2.858,236.4,-39.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,24.21, None,24.2,-6999.0, None,57.46, None,24.2,-0.4,-6999.0,2021-06-18 14:00:00,-6999.0,25,,
, None, None, None,6.451,225.6,-38.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,25.24, None,25.4,-6999.0, None,38.82, None,25.2,-0.2,-6999.0,2021-06-18 15:00:00,-6999.0,25,,
, None, None, None,6.076,241.4,-39.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,24.85, None,25.5,-6999.0, None,38.15, None,24.9,0.6,-6999.0,2021-06-18 16:00:00,-6999.0,25,,
, None, None, None,5.109,271.2,-39.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,23.68, None,25.5,-6999.0, None,35.19, None,23.7,0.3,-6999.0,2021-06-18 17:00:00,-6999.0,25,,
, None, None, None,3.853,303.9,-40.0,10.8, None, None, None, None, None,-6999.0, None, None, None, None,21.65, None,25.5,-6999.0, None,48.63, None,21.7,0.0,-6999.0,2021-06-18 18:00:00,-6999.0,25,,
, None, None, None,3.919,313.0,-41.0,20.1, None, None, None, None, None,-6999.0, None, None, None, None,20.11, None,21.7,-6999.0, None,48.79, None,20.1,-0.2,-6999.0,2021-06-18 19:00:00,-6999.0,25,,
, None, None, None,3.858,336.1,-42.0,19.1, None, None, None, None, None,-6999.0, None, None, None, None,19.06, None,21.7,-6999.0, None,48.47, None,19.1,0.0,-6999.0,2021-06-18 20:00:00,-6999.0,25,,
