pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,week_of_year
0.2, 2.791, 91.1, 4.1, 91.0, 1.0, 2.8, 0.7, 1.0, 0.2, 0.0,2020-12-09 00:00:00, -6999.0,50
0.6, 1.822, 94.9, 4.1, 95.0, 1.0, 1.8, 0.7, 1.0, 0.4, 0.0,2020-12-09 01:00:00, -6999.0,50
1.7, 2.055, 96.6, 4.1, 97.0, 1.0, 2.1, 0.7, 1.0, 1.1, 0.0,2020-12-09 02:00:00, -6999.0,50
3.0, 1.929, 96.6, 4.1, 97.0, 2.0, 1.9, 0.7, 2.0, 1.3, 0.0,2020-12-09 03:00:00, -6999.0,50
3.0, 1.869, 96.5, 4.1, 97.0, 2.0, 1.9, 0.7, 2.0, 0.1, 0.0,2020-12-09 04:00:00, -6999.0,50
3.0, 1.196, 96.9, 4.1, 97.0, 1.0, 1.2, 0.7, 1.0, 0.0, 0.0,2020-12-09 05:00:00, -6999.0,50
3.0, 0.952, 97.1, 4.1, 97.0, 1.0, 1.0, 0.7, 1.0, 0.0, 0.0,2020-12-09 06:00:00, -6999.0,50
3.0, 0.905, 97.3, 1.1, 97.0, 1.0, 0.9, 0.8, 1.0, 0.0, 0.0,2020-12-09 07:00:00, -6999.0,50
3.0, 0.83, 97.4, 1.1, 97.0, 1.0, 0.8, 0.8, 1.0, 0.0, 0.0,2020-12-09 08:00:00, -6999.0,50
3.0, 0.909, 97.7, 1.1, 98.0, 1.0, 0.9, 0.8, 1.0, 0.0, 0.0,2020-12-09 09:00:00, -6999.0,50
3.0, 1.338, 97.9, 1.3, 98.0, 1.0, 1.3, 0.8, 1.0, 0.0, 0.0,2020-12-09 10:00:00, -6999.0,50
3.0, 1.373, 97.9, 1.4, 98.0, 1.0, 1.4, 0.8, 1.0, 0.0, 0.0,2020-12-09 11:00:00, -6999.0,50
3.0, 1.625, 98.0, 1.7, 98.0, 1.0, 1.6, 0.8, 1.0, 0.0, 0.0,2020-12-09 12:00:00, -6999.0,50
3.0, 1.904, 97.7, 2.1, 98.0, 2.0, 1.9, 0.8, 2.0, 0.0, 0.0,2020-12-09 13:00:00, -6999.0,50
3.0, 1.363, 96.9, 2.1, 97.0, 1.0, 1.4, 0.8, 1.0, 0.1, 0.0,2020-12-09 14:00:00, -6999.0,50
3.4, 1.042, 96.9, 2.1, 97.0, 1.0, 1.0, 0.8, 1.0, 0.4, 0.0,2020-12-09 15:00:00, -6999.0,50
3.4, 0.948, 97.3, 2.1, 97.0, 1.0, 0.9, 0.8, 1.0, 0.0, 0.0,2020-12-09 16:00:00, -6999.0,50
3.4, 0.404, 97.4, 2.1, 97.0, 0.0, 0.4, 0.5, 0.0, 0.0, 0.0,2020-12-09 17:00:00, -6999.0,50
3.4, -0.052, 97.4, 2.1, 97.0, -1.0, -0.1, 0.0, -1.0, 0.0, 0.0,2020-12-09 18:00:00, -6999.0,50
3.4, -0.163, 97.7, 0.0, 98.0, 0.0, -0.2, -0.3, 0.0, 0.0, 0.0,2020-12-09 19:00:00, -6999.0,50
3.4, -0.808, 97.6, 0.0, 98.0, -1.0, -0.8, -0.8, -1.0, 0.0, 0.0,2020-12-09 20:00:00, -6999.0,50
3.4, -0.828, 97.7, 0.0, 98.0, -1.0, -0.8, -0.8, -1.0, 0.0, 0.0,2020-12-09 21:00:00, -6999.0,50
3.4, -1.489, 97.8, 0.0, 98.0, -2.0, -1.5, -1.6, -2.0, 0.0, 0.0,2020-12-09 22:00:00, -6999.0,50
