station_observations
wind_speed, temperature, wind_direction, relative_humidity, time
3.2, 1.4, 263.0, 70.0, 2021-05-08 03:00:00
8.6, 1.1, 206.0, 73.0, 2021-05-08 04:00:00
11.2, 1.8, 203.0, 72.0, 2021-05-08 05:00:00
1.8, 3.4, 0.0, 70.0, 2021-05-08 06:00:00
6.5, 5.5, 281.0, 50.0, 2021-05-08 07:00:00
7.6, 5.7, 320.0, 52.0, 2021-05-08 08:00:00
8.6, 6.1, 196.0, 45.0, 2021-05-08 09:00:00
7.6, 7.1, 276.0, 43.0, 2021-05-08 10:00:00
4.0, 8.3, 254.0, 41.0, 2021-05-08 11:00:00
10.4, 7.9, 79.0, 41.0, 2021-05-08 12:00:00
0.7, 7.9, 0.0, 41.0, 2021-05-08 13:00:00
7.2, 11.1, 317.0, 34.0, 2021-05-08 14:00:00
9.4, 10.6, 230.0, 32.0, 2021-05-08 15:00:00
2.5, 10.5, 0.0, 30.0, 2021-05-08 16:00:00
5.4, 10.3, 0.0, 31.0, 2021-05-08 17:00:00
5.4, 9.5, 195.0, 34.0, 2021-05-08 18:00:00
4.3, 8.7, 247.0, 36.0, 2021-05-08 19:00:00
8.6, 6.3, 97.0, 60.0, 2021-05-08 20:00:00
9.4, 6.9, 241.0, 47.0, 2021-05-08 21:00:00
2.9, 6.5, 139.0, 52.0, 2021-05-08 22:00:00
4.7, 6.8, 235.0, 52.0, 2021-05-08 23:00:00
4.3, 6.5, 247.0, 55.0, 2021-05-09 00:00:00
3.6, 5.4, 316.0, 61.0, 2021-05-09 01:00:00
10.1, 5.5, 241.0, 56.0, 2021-05-09 02:00:00
1.1, 3.9, 0.0, 63.0, 2021-05-09 03:00:00
7.2, 4.6, 246.0, 62.0, 2021-05-09 04:00:00
6.8, 4.4, 257.0, 64.0, 2021-05-09 05:00:00
5.4, 5.3, 242.0, 64.0, 2021-05-09 06:00:00
4.3, 7.1, 322.0, 59.0, 2021-05-09 07:00:00
4.7, 8.9, 269.0, 53.0, 2021-05-09 08:00:00
1.4, 8.5, 0.0, 51.0, 2021-05-09 09:00:00
6.1, 8.8, 139.0, 54.0, 2021-05-09 10:00:00
15.8, 10.1, 293.0, 48.0, 2021-05-09 11:00:00
10.4, 10.1, 59.0, 46.0, 2021-05-09 12:00:00
0.7, 10.9, 0.0, 40.0, 2021-05-09 13:00:00
13.3, 10.8, 291.0, 46.0, 2021-05-09 14:00:00
29.5, 12.1, 308.0, 44.0, 2021-05-09 15:00:00
18.7, 11.8, 334.0, 44.0, 2021-05-09 16:00:00
24.5, 9.8, 292.0, 53.0, 2021-05-09 17:00:00
13.7, 8.1, 235.0, 60.0, 2021-05-09 18:00:00
14.0, 6.6, 89.0, 72.0, 2021-05-09 19:00:00
2.9, 6.4, 147.0, 78.0, 2021-05-09 20:00:00
7.2, 5.8, 214.0, 79.0, 2021-05-09 21:00:00
4.7, 5.6, 223.0, 80.0, 2021-05-09 22:00:00
1.8, 5.1, 0.0, 84.0, 2021-05-09 23:00:00
4.0, 5.1, 206.0, 84.0, 2021-05-10 00:00:00
3.6, 5.2, 274.0, 81.0, 2021-05-10 01:00:00
9.7, 4.8, 215.0, 87.0, 2021-05-10 02:00:00
6.1, 4.6, 236.0, 83.0, 2021-05-10 03:00:00
5.4, 4.1, 194.0, 84.0, 2021-05-10 04:00:00
6.1, 5.1, 290.0, 79.0, 2021-05-10 05:00:00
5.8, 6.7, 298.0, 71.0, 2021-05-10 06:00:00
