station_observations
wind_direction, rel_hum, avg_wnd_spd_10m_pst10mts, precipitation, dwpt_temp, wind_speed, air_temp, temperature, avg_wnd_dir_10m_pst10mts, rnfl_amt_pst1hr, rnfl_amt_pst24hrs, relative_humidity, time
179.0, None, None, 5.8, None, 18.5, None, 5.6, None, None, None, 86.0, 2021-01-01 17:00:00
78.0, None, None, 0.0, None, 5.3, None, 1.8, None, None, None, 83.0, 2021-01-03 19:00:00
114.0, None, None, 0.0, None, 5.8, None, 3.9, None, None, None, 70.0, 2021-01-03 23:00:00
None, 70.0, 5.8, None, -1.1, None, 3.9, None, 114.0, 0.0, None, None, 2021-01-04 00:00:00
246.0, None, None, 0.3, None, 1.2, None, 4.8, None, None, None, 87.0, 2021-01-04 11:00:00
189.0, 87.0, 1.2, 0.0, 2.8, 4.0, 4.8, 6.0, 246.0, 0.3, None, 74.0, 2021-01-04 12:00:00
123.0, 74.0, 4.0, 0.0, 1.7, 4.2, 6.0, 5.0, 189.0, 0.0, None, 73.0, 2021-01-04 13:00:00
171.0, 73.0, 4.2, 0.0, 0.6, 6.9, 5.0, 4.8, 123.0, 0.0, None, 72.0, 2021-01-04 14:00:00
149.0, 72.0, 6.9, 0.0, 0.2, 6.9, 4.8, 4.0, 171.0, 0.0, None, 83.0, 2021-01-04 15:00:00
312.0, 83.0, 6.9, 2.3, 1.4, 2.1, 4.0, 2.9, 149.0, 0.0, None, 89.0, 2021-01-04 16:00:00
161.0, 89.0, 2.1, 0.3, 1.3, 10.8, 2.9, 2.9, 312.0, 2.3, None, 87.0, 2021-01-04 17:00:00
102.0, 87.0, 10.8, 0.0, 1.0, 6.9, 2.9, 2.1, 161.0, 0.3, None, 91.0, 2021-01-04 18:00:00
113.0, 91.0, 6.9, 0.0, 0.8, 7.8, 2.1, 2.2, 102.0, 0.0, None, 89.0, 2021-01-04 19:00:00
118.0, 89.0, 7.8, 0.3, 0.6, 7.5, 2.2, 2.0, 113.0, 0.0, None, 89.0, 2021-01-04 20:00:00
78.0, 89.0, 7.5, 0.3, 0.4, 9.1, 2.0, 1.6, 118.0, 0.3, None, 93.0, 2021-01-04 21:00:00
80.0, 93.0, 9.1, 1.0, 0.6, 9.0, 1.6, 1.8, 78.0, 0.3, None, 94.0, 2021-01-04 22:00:00
96.0, 94.0, 9.0, 0.0, 0.9, 7.7, 1.8, 2.3, 80.0, 1.0, None, 90.0, 2021-01-04 23:00:00
155.0, 90.0, 7.7, 0.3, 0.8, 8.3, 2.3, 2.6, 96.0, 0.0, None, 89.0, 2021-01-05 00:00:00
141.0, 89.0, 8.3, 0.0, 1.0, 8.3, 2.6, 3.2, 155.0, 0.3, None, 83.0, 2021-01-05 01:00:00
149.0, 83.0, 8.3, 0.3, 0.6, 11.6, 3.2, 3.1, 141.0, 0.0, None, 85.0, 2021-01-05 02:00:00
150.0, 85.0, 11.6, 0.0, 0.8, 10.5, 3.1, 3.4, 149.0, 0.3, None, 81.0, 2021-01-05 03:00:00
142.0, 81.0, 10.5, 0.3, 0.5, 9.3, 3.4, 3.1, 150.0, 0.0, None, 89.0, 2021-01-05 04:00:00
155.0, 89.0, 9.3, 0.8, 1.5, 13.2, 3.1, 2.8, 142.0, 0.3, None, 89.0, 2021-01-05 05:00:00
138.0, 89.0, 13.2, 2.5, 1.2, 7.9, 2.8, 2.3, 155.0, 0.8, None, 91.0, 2021-01-05 06:00:00
154.0, 91.0, 7.9, 2.5, 1.0, 12.3, 2.3, 2.7, 138.0, 2.5, None, 89.0, 2021-01-05 07:00:00
143.0, 89.0, 12.3, 3.3, 1.1, 10.5, 2.7, 2.9, 154.0, 2.5, None, 91.0, 2021-01-05 08:00:00
140.0, 91.0, 10.5, 4.8, 1.6, 7.8, 2.9, 2.9, 143.0, 3.3, None, 91.0, 2021-01-05 09:00:00
138.0, 91.0, 7.8, 6.3, 1.6, 8.4, 2.9, 2.9, 140.0, 4.8, None, 92.0, 2021-01-05 10:00:00
129.0, 92.0, 8.4, 6.4, 1.7, 10.2, 2.9, 2.8, 138.0, 6.3, 25.6, 92.0, 2021-01-05 11:00:00
139.0, 92.0, 10.2, 4.3, 1.6, 6.8, 2.8, 3.1, 129.0, 6.4, 31.7, 92.0, 2021-01-05 12:00:00
158.0, 92.0, 6.8, 3.0, 1.9, 11.5, 3.1, 3.7, 139.0, 4.3, 36.0, 90.0, 2021-01-05 13:00:00
124.0, 90.0, 11.5, 4.3, 2.2, 9.9, 3.7, 3.9, 158.0, 3.0, 39.0, 91.0, 2021-01-05 14:00:00
149.0, 91.0, 9.9, 9.1, 2.6, 11.7, 3.9, 4.6, 124.0, 4.3, 43.3, 91.0, 2021-01-05 15:00:00
137.0, 91.0, 11.7, 5.1, 3.3, 13.1, 4.6, 5.3, 149.0, 9.1, 52.4, 91.0, 2021-01-05 16:00:00
179.0, 91.0, 13.1, 0.8, 4.0, 21.5, 5.3, 6.7, 137.0, 5.1, 55.2, 85.0, 2021-01-05 17:00:00
192.0, 85.0, 21.5, 1.8, 4.4, 23.1, 6.7, 6.4, 179.0, 0.8, 55.7, 79.0, 2021-01-05 18:00:00
180.0, 79.0, 23.1, 1.3, 3.0, 13.6, 6.4, 6.0, 192.0, 1.8, 57.5, 80.0, 2021-01-05 19:00:00
187.0, 80.0, 13.6, 2.0, 2.8, 26.1, 6.0, 6.0, 180.0, 1.3, 58.8, 77.0, 2021-01-05 20:00:00
186.0, 77.0, 26.1, 3.3, 2.3, 28.9, 6.0, 5.5, 187.0, 2.0, 60.5, 81.0, 2021-01-05 21:00:00
203.0, 81.0, 28.9, 1.8, 2.5, 25.8, 5.5, 4.8, 186.0, 3.3, 63.5, 82.0, 2021-01-05 22:00:00
199.0, 82.0, 25.8, 1.5, 2.0, 28.1, 4.8, 4.5, 203.0, 1.8, 64.3, 79.0, 2021-01-05 23:00:00
222.0, 79.0, 28.1, 2.5, 1.2, 7.2, 4.5, 3.2, 199.0, 1.5, 65.8, 85.0, 2021-01-06 00:00:00
151.0, 85.0, 7.2, 0.8, 0.9, 7.7, 3.2, 3.7, 222.0, 2.5, 68.0, 84.0, 2021-01-06 01:00:00
88.0, 84.0, 7.7, 2.5, 1.3, 10.0, 3.7, 2.1, 151.0, 0.8, 68.8, 93.0, 2021-01-06 02:00:00
113.0, 93.0, 10.0, 0.0, 1.1, 5.7, 2.1, 2.8, 88.0, 2.5, 71.0, 91.0, 2021-01-06 03:00:00
119.0, 91.0, 5.7, 1.3, 1.5, 7.0, 2.8, 2.8, 113.0, 0.0, 71.0, 92.0, 2021-01-06 04:00:00
67.0, 92.0, 7.0, 0.8, 1.6, 9.9, 2.8, 2.3, 119.0, 1.3, 72.0, 93.0, 2021-01-06 05:00:00
113.0, 93.0, 9.9, 0.3, 1.3, 5.0, 2.3, 2.7, 67.0, 0.8, 72.0, 93.0, 2021-01-06 06:00:00
103.0, 93.0, 5.0, 0.3, 1.7, 4.8, 2.7, 2.6, 113.0, 0.3, 69.8, 88.0, 2021-01-06 07:00:00
96.0, 88.0, 4.8, 0.8, 0.8, 5.6, 2.6, 1.9, 103.0, 0.3, 67.6, 91.0, 2021-01-06 08:00:00
126.0, 91.0, 5.6, 0.5, 0.6, 2.9, 1.9, 2.0, 96.0, 0.8, 65.1, 95.0, 2021-01-06 09:00:00
78.0, 95.0, 2.9, 0.3, 1.3, 4.6, 2.0, 2.8, 126.0, 0.5, 60.8, 94.0, 2021-01-06 10:00:00
180.0, 94.0, 4.6, 0.0, 1.9, 2.0, 2.8, 3.4, 78.0, 0.3, 54.8, 90.0, 2021-01-06 11:00:00
155.0, 90.0, 2.0, 0.0, 1.9, 2.8, 3.4, 6.0, 180.0, 0.0, 48.4, 81.0, 2021-01-06 12:00:00
