station_observations
wind_speed, temperature, wind_direction, relative_humidity, time
13.7, 19.1, 265.0, 27.0, 2021-04-17 17:00:00
19.4, 16.5, 271.0, 34.0, 2021-04-17 18:00:00
12.2, 13.0, 267.0, 42.0, 2021-04-17 19:00:00
1.8, 9.5, 146.0, 56.0, 2021-04-17 20:00:00
3.2, 8.1, 314.0, 57.0, 2021-04-17 21:00:00
8.6, 6.5, 335.0, 69.0, 2021-04-17 22:00:00
6.5, 6.1, 8.0, 73.0, 2021-04-17 23:00:00
16.9, 5.6, 24.0, 73.0, 2021-04-18 00:00:00
17.3, 5.4, 8.0, 73.0, 2021-04-18 01:00:00
16.6, 4.4, 5.0, 78.0, 2021-04-18 02:00:00
20.9, 4.3, 7.0, 77.0, 2021-04-18 03:00:00
16.2, 5.0, 1.0, 73.0, 2021-04-18 04:00:00
12.2, 4.7, 346.0, 75.0, 2021-04-18 05:00:00
27.7, 7.0, 1.0, 65.0, 2021-04-18 06:00:00
13.3, 10.2, 3.0, 55.0, 2021-04-18 07:00:00
10.1, 15.0, 32.0, 41.0, 2021-04-18 08:00:00
17.3, 16.7, 39.0, 32.0, 2021-04-18 09:00:00
13.0, 17.4, 93.0, 28.0, 2021-04-18 10:00:00
11.5, 17.4, 158.0, 28.0, 2021-04-18 11:00:00
15.5, 18.7, 102.0, 25.0, 2021-04-18 12:00:00
15.5, 17.9, 87.0, 24.0, 2021-04-18 13:00:00
14.8, 18.2, 117.0, 15.0, 2021-04-18 16:00:00
18.7, 17.4, 88.0, 18.0, 2021-04-18 17:00:00
7.6, 15.4, 99.0, 20.0, 2021-04-18 18:00:00
9.4, 13.0, 85.0, 26.0, 2021-04-18 19:00:00
20.2, 12.6, 43.0, 24.0, 2021-04-18 20:00:00
14.4, 11.7, 38.0, 26.0, 2021-04-18 21:00:00
12.6, 9.9, 48.0, 32.0, 2021-04-18 22:00:00
5.4, 5.9, 215.0, 47.0, 2021-04-18 23:00:00
15.5, 7.0, 2.0, 41.0, 2021-04-19 00:00:00
14.8, 7.3, 7.0, 40.0, 2021-04-19 01:00:00
19.8, 6.8, 6.0, 42.0, 2021-04-19 02:00:00
17.6, 6.5, 5.0, 43.0, 2021-04-19 03:00:00
22.0, 5.9, 355.0, 45.0, 2021-04-19 04:00:00
22.0, 6.0, 0.0, 45.0, 2021-04-19 05:00:00
29.9, 7.2, 3.0, 42.0, 2021-04-19 06:00:00
28.1, 9.0, 5.0, 36.0, 2021-04-19 07:00:00
19.1, 11.1, 5.0, 33.0, 2021-04-19 08:00:00
21.6, 13.3, 7.0, 27.0, 2021-04-19 09:00:00
21.6, 14.8, 1.0, 25.0, 2021-04-19 10:00:00
13.3, 15.8, 335.0, 22.0, 2021-04-19 11:00:00
14.4, 17.1, 6.0, 19.0, 2021-04-19 12:00:00
7.2, 18.0, 355.0, 18.0, 2021-04-19 13:00:00
6.8, 18.7, 329.0, 18.0, 2021-04-19 14:00:00
