station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, 0.369007, None, 91.6272, 2012-01-01 00:00:00, -10.3701
None, None, 0.453395, None, 87.8302, 2012-01-01 01:00:00, -10.2599
None, None, 1.25344, None, 89.6388, 2012-01-01 02:00:00, -11.1617
None, None, 2.48893, None, 90.6175, 2012-01-01 03:00:00, -10.9634
None, None, 0.900232, None, 89.8, 2012-01-01 04:00:00, -11.1656
None, None, 0.625299, None, 90.2793, 2012-01-01 05:00:00, -11.2037
None, None, 0.574709, None, 86.5137, 2012-01-01 06:00:00, -11.4818
None, None, 0.993657, None, 92.2075, 2012-01-01 07:00:00, -12.2139
None, None, 0.402947, None, 90.6992, 2012-01-01 08:00:00, -11.7334
None, None, 0.704349, None, 89.4963, 2012-01-01 09:00:00, -12.0202
None, None, 0.894327, None, 90.6132, 2012-01-01 10:00:00, -11.749
None, None, 1.5404, None, 90.4291, 2012-01-01 11:00:00, -10.6458
None, None, 1.06253, None, 84.52, 2012-01-01 12:00:00, -8.98444
None, None, 1.37867, None, 79.4384, 2012-01-01 13:00:00, -7.32215
None, None, 2.36783, None, 79.8533, 2012-01-01 14:00:00, -6.30653
None, None, 0.903505, None, 79.7806, 2012-01-01 15:00:00, -5.77236
None, None, 1.97258, None, 79.3897, 2012-01-01 16:00:00, -4.86684
None, None, 2.29981, None, 79.8948, 2012-01-01 17:00:00, -4.41576
None, None, 3.73311, None, 80.8435, 2012-01-01 18:00:00, -4.14462
None, None, 4.08176, None, 82.774, 2012-01-01 19:00:00, -4.00958
None, None, 3.8905, None, 84.235, 2012-01-01 20:00:00, -3.84167
None, None, 3.29424, None, 83.8117, 2012-01-01 21:00:00, -3.17667
None, None, 5.3692, None, 69.805, 2012-01-01 22:00:00, 1.12906
None, None, 8.38721, None, 60.1361, 2012-01-01 23:00:00, 4.02906
None, None, 7.44786, None, 59.5648, 2012-01-02 00:00:00, 4.12868
None, None, 6.63885, None, 57.8078, 2012-01-02 01:00:00, 4.35733
None, None, 5.73564, None, 56.3236, 2012-01-02 02:00:00, 4.48493
None, None, 5.14265, None, 55.6201, 2012-01-02 03:00:00, 4.38976
None, None, 3.06349, None, 55.007, 2012-01-02 04:00:00, 4.45181
None, None, 4.32752, None, 52.8335, 2012-01-02 05:00:00, 4.91493
None, None, 4.97715, None, 51.3021, 2012-01-02 06:00:00, 4.94865
None, None, 6.07176, None, 50.798, 2012-01-02 07:00:00, 4.96608
None, None, 6.6461, None, 50.91, 2012-01-02 08:00:00, 4.94545
None, None, 8.00142, None, 49.6824, 2012-01-02 09:00:00, 5.3184
None, None, 8.332, None, 49.3549, 2012-01-02 10:00:00, 5.45726
None, None, 5.09939, None, 48.9863, 2012-01-02 11:00:00, 5.67229
None, None, 3.07637, None, 49.2852, 2012-01-02 12:00:00, 5.60274
None, None, 4.66835, None, 50.0035, 2012-01-02 13:00:00, 5.43017
None, None, 2.48701, None, 52.0334, 2012-01-02 14:00:00, 5.18892
None, None, 1.1344, None, 54.4629, 2012-01-02 15:00:00, 4.94934
None, None, 1.30901, None, 57.1293, 2012-01-02 16:00:00, 4.8409
None, None, 0.891056, None, 64.1314, 2012-01-02 17:00:00, 4.42212
None, None, 3.88481, None, 56.674, 2012-01-02 18:00:00, 5.09562
