station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, 0.602999, 68.86, 2012-01-01 00:00:00, -2.835
None, None, 1.082, 69.31, 2012-01-01 01:00:00, -2.781
None, None, 0.964999, 70.2, 2012-01-01 02:00:00, -2.79
None, None, 0.906, 72.0, 2012-01-01 03:00:00, -3.066
None, None, 0.989, 71.9, 2012-01-01 04:00:00, -3.113
None, None, 0.597, 73.8, 2012-01-01 05:00:00, -3.259
None, None, 0.690999, 73.5, 2012-01-01 06:00:00, -3.177
None, None, 0.713999, 75.3, 2012-01-01 07:00:00, -3.266
None, None, 0.726999, 76.4, 2012-01-01 08:00:00, -3.366
None, None, 0.537999, 73.4, 2012-01-01 09:00:00, -2.844
None, None, 0.824999, 72.3, 2012-01-01 10:00:00, -2.294
None, None, 0.903999, 66.02, 2012-01-01 11:00:00, -1.071
None, None, 1.468, 66.96, 2012-01-01 12:00:00, -1.115
None, None, 1.302, 67.33, 2012-01-01 13:00:00, -0.926999
None, None, 0.342999, 63.62, 2012-01-01 14:00:00, -0.370999
None, None, 1.357, 64.45, 2012-01-01 15:00:00, -0.395999
None, None, 1.272, 69.02, 2012-01-01 16:00:00, -0.663999
None, None, 0.839999, 72.3, 2012-01-01 17:00:00, -0.859
None, None, 0.939, 73.7, 2012-01-01 18:00:00, -1.102
None, None, 0.642, 73.9, 2012-01-01 19:00:00, -1.353
None, None, 1.089, 72.7, 2012-01-01 20:00:00, -1.392
None, None, 0.876999, 73.8, 2012-01-01 21:00:00, -1.61
None, None, 0.569999, 73.0, 2012-01-01 22:00:00, -1.609
None, None, 0.893999, 72.9, 2012-01-01 23:00:00, -1.659
None, None, 0.904999, 71.3, 2012-01-02 00:00:00, -1.51
None, None, 1.14, 74.5, 2012-01-02 01:00:00, -2.07
None, None, 0.602999, 75.6, 2012-01-02 02:00:00, -2.319
None, None, 0.702, 78.4, 2012-01-02 03:00:00, -2.821
None, None, 0.734, 82.3, 2012-01-02 04:00:00, -3.436
None, None, 0.751999, 80.6, 2012-01-02 05:00:00, -3.304
None, None, 0.637, 84.1, 2012-01-02 06:00:00, -3.994
None, None, 0.282, 86.7, 2012-01-02 07:00:00, -4.548
None, None, 0.375999, 87.7, 2012-01-02 08:00:00, -4.797
None, None, 0.381999, 83.2, 2012-01-02 09:00:00, -3.921
None, None, 0.838999, 74.7, 2012-01-02 10:00:00, -2.144
None, None, 1.711, 70.5, 2012-01-02 11:00:00, -1.691
None, None, 1.5, 68.2, 2012-01-02 12:00:00, -0.99
None, None, 1.343, 71.2, 2012-01-02 13:00:00, -0.657999
None, None, 0.97, 64.82, 2012-01-02 14:00:00, 0.651
None, None, 0.978999, 66.81, 2012-01-02 15:00:00, 0.456999
None, None, 1.324, 75.4, 2012-01-02 16:00:00, -0.66
None, None, 0.693, 77.9, 2012-01-02 17:00:00, -0.995
None, None, 2.303, 76.9, 2012-01-02 18:00:00, -0.847
None, None, 2.518, 73.4, 2012-01-02 19:00:00, -0.570999
None, None, 1.427, 74.5, 2012-01-02 20:00:00, -0.736
None, None, 2.372, 76.2, 2012-01-02 21:00:00, -0.753
None, None, 1.145, 82.1, 2012-01-02 22:00:00, -0.777999
None, None, 0.827, 96.3, 2012-01-02 23:00:00, -1.146
None, None, 0.550999, 97.7, 2012-01-03 00:00:00, -0.663999
None, None, 1.054, 97.5, 2012-01-03 01:00:00, 0.192
None, None, 1.248, 99.3, 2012-01-03 02:00:00, -0.875999
None, None, 0.717999, 100.0, 2012-01-03 03:00:00, -0.772
None, None, 0.666, 100.0, 2012-01-03 04:00:00, -0.680999
None, None, 0.847999, 100.0, 2012-01-03 05:00:00, -0.412999
None, None, 1.311, 99.2, 2012-01-03 06:00:00, -0.152999
None, None, 1.206, 98.7, 2012-01-03 07:00:00, -0.149
None, None, 1.284, 95.9, 2012-01-03 08:00:00, 0.781
None, None, 0.648, 87.8, 2012-01-03 09:00:00, 1.939
