pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None, 12.9, 12.92, 12.8, -0.6, 16.0, None,2021-09-24 00:00:00, None,39
None, 12.7, 12.74, 12.6, -1.1, 16.0, None,2021-09-24 01:00:00, None,39
None, 12.9, 12.89, 12.6, 1.4, 16.0, None,2021-09-24 02:00:00, None,39
None, 12.5, 12.46, 12.3, -2.4, 16.0, None,2021-09-24 03:00:00, None,39
None, 12.2, 12.22, 12.0, 0.0, 16.0, None,2021-09-24 04:00:00, None,39
None, 12.9, 12.91, 12.0, 0.8, 16.0, None,2021-09-24 05:00:00, None,39
None, 12.9, 12.92, 12.0, -0.8, 16.0, None,2021-09-24 06:00:00, None,39
None, 12.4, 12.36, 12.4, 1.0, 13.6, None,2021-09-24 07:00:00, None,39
None, 13.0, 12.99, 12.3, 1.3, 13.6, None,2021-09-24 08:00:00, None,39
None, 13.0, 12.96, 12.3, 0.3, 13.6, None,2021-09-24 09:00:00, None,39
None, 13.6, 13.61, 12.3, 2.0, 13.7, None,2021-09-24 10:00:00, None,39
None, 16.9, 16.91, 12.3, 1.9, 16.6, None,2021-09-24 11:00:00, None,39
None, 18.8, 18.8, 12.3, 0.2, 18.7, None,2021-09-24 12:00:00, None,39
None, 19.8, 19.79, 12.3, -0.2, 20.2, None,2021-09-24 13:00:00, None,39
None, 20.7, 20.67, 12.3, -0.1, 20.8, None,2021-09-24 14:00:00, None,39
None, 19.8, 19.83, 12.3, -0.1, 21.5, None,2021-09-24 15:00:00, None,39
None, 19.7, 19.73, 12.3, 0.0, 21.5, None,2021-09-24 16:00:00, None,39
None, 19.1, 19.13, 12.3, -0.2, 21.8, None,2021-09-24 17:00:00, None,39
None, 17.7, 17.71, 12.3, -0.3, 21.8, None,2021-09-24 18:00:00, None,39
None, 16.5, 16.49, 16.5, -0.3, 17.7, None,2021-09-24 19:00:00, None,39
None, 15.9, 15.9, 15.8, -0.2, 17.7, None,2021-09-24 20:00:00, None,39
None, 15.4, 15.35, 15.3, -0.1, 17.7, None,2021-09-24 21:00:00, None,39
None, 15.1, 15.11, 15.1, -0.2, 17.7, None,2021-09-24 22:00:00, None,39
None, 14.8, 14.75, 14.7, -0.1, 17.7, None,2021-09-24 23:00:00, None,39
None, 14.6, 14.61, 14.6, -0.3, 17.7, None,2021-09-25 00:00:00, None,39
None, 14.5, 14.53, 14.4, 0.1, 17.7, None,2021-09-25 01:00:00, None,39
None, 13.9, 13.94, 13.9, -0.8, 17.7, None,2021-09-25 02:00:00, None,39
None, 13.8, 13.76, 13.7, -0.1, 17.7, None,2021-09-25 03:00:00, None,39
None, 13.5, 13.52, 13.5, -1.1, 17.7, None,2021-09-25 04:00:00, None,39
None, 13.2, 13.2, 13.2, -0.1, 17.7, None,2021-09-25 05:00:00, None,39
None, 13.3, 13.25, 13.1, -1.0, 17.7, None,2021-09-25 06:00:00, None,39
None, 13.1, 13.07, 12.8, -0.6, 13.3, None,2021-09-25 07:00:00, None,39
None, 13.0, 12.98, 12.8, 1.4, 13.3, None,2021-09-25 08:00:00, None,39
None, 13.4, 13.42, 12.8, 0.7, 13.4, None,2021-09-25 09:00:00, None,39
None, 13.7, 13.69, 12.8, 0.5, 13.7, None,2021-09-25 10:00:00, None,39
None, 16.9, 16.9, 12.8, 2.6, 16.9, None,2021-09-25 11:00:00, None,39
None, 17.6, 17.57, 12.8, 0.3, 18.4, None,2021-09-25 12:00:00, None,39
None, 18.4, 18.43, 12.8, -0.1, 19.8, None,2021-09-25 13:00:00, None,39
None, 19.5, 19.47, 12.8, -0.1, 21.5, None,2021-09-25 14:00:00, None,39
None, 18.7, 18.66, 12.8, -0.4, 21.5, None,2021-09-25 15:00:00, None,39
None, 21.0, 20.97, 12.8, 0.1, 21.5, None,2021-09-25 16:00:00, None,39
None, 20.0, 20.03, 12.8, -0.1, 22.4, None,2021-09-25 17:00:00, None,39
None, 17.9, 17.9, 12.8, -0.4, 22.4, None,2021-09-25 18:00:00, None,39
None, 17.0, 17.01, 17.0, -0.3, 18.0, None,2021-09-25 19:00:00, None,39
None, 16.5, 16.52, 16.5, -0.1, 18.0, None,2021-09-25 20:00:00, None,39
None, 16.3, 16.32, 16.2, -0.1, 18.0, None,2021-09-25 21:00:00, None,39
None, 15.8, 15.82, 15.8, 0.0, 18.0, None,2021-09-25 22:00:00, None,39
None, 15.6, 15.61, 15.6, 0.0, 18.0, None,2021-09-25 23:00:00, None,39
None, 15.6, 15.57, 15.6, 0.1, 18.0, None,2021-09-26 00:00:00, None,39
None, 15.1, 15.08, 14.9, -0.5, 18.0, None,2021-09-26 01:00:00, None,39
None, 14.6, 14.62, 14.5, -0.4, 18.0, None,2021-09-26 02:00:00, None,39
None, 14.0, 13.97, 14.0, -0.6, 18.0, None,2021-09-26 03:00:00, None,39
None, 13.7, 13.68, 13.6, -0.7, 18.0, None,2021-09-26 04:00:00, None,39
None, 13.9, 13.9, 13.5, 1.3, 18.0, None,2021-09-26 05:00:00, None,39
None, 13.5, 13.49, 13.4, -1.6, 18.0, None,2021-09-26 06:00:00, None,39
None, 12.5, 12.46, 12.5, -1.5, 13.6, None,2021-09-26 07:00:00, None,39
None, 11.9, 11.94, 12.0, 0.7, 13.6, None,2021-09-26 08:00:00, None,39
None, 12.3, 12.27, 11.9, 1.3, 13.6, None,2021-09-26 09:00:00, None,39
None, 12.4, 12.42, 11.9, 4.0, 13.6, None,2021-09-26 10:00:00, None,39
None, 12.7, 12.65, 11.9, 0.9, 13.6, None,2021-09-26 11:00:00, None,39
None, 12.5, 12.51, 11.9, -1.3, 13.6, None,2021-09-26 12:00:00, None,39
None, 12.8, 12.78, 11.9, 1.6, 13.6, None,2021-09-26 13:00:00, None,39
None, 13.1, 13.09, 11.9, 0.7, 13.6, None,2021-09-26 14:00:00, None,39
None, 12.8, 12.77, 11.9, -1.3, 13.6, None,2021-09-26 15:00:00, None,39
None, 12.9, 12.91, 11.9, -1.1, 13.6, None,2021-09-26 16:00:00, None,39
None, 12.6, 12.56, 11.9, 1.5, 13.6, None,2021-09-26 17:00:00, None,39
None, 12.3, 12.31, 11.9, 2.5, 13.6, None,2021-09-26 18:00:00, None,39
None, 12.3, 12.32, 12.2, 1.1, 12.5, None,2021-09-26 19:00:00, None,39
None, 12.4, 12.44, 12.2, 1.0, 12.5, None,2021-09-26 20:00:00, None,39
None, 12.5, 12.5, 12.2, 3.0, 12.6, None,2021-09-26 21:00:00, None,39
None, 12.4, 12.39, 12.2, 6.0, 12.6, None,2021-09-26 22:00:00, None,39
None, 12.4, 12.37, 12.2, 6.2, 12.6, None,2021-09-26 23:00:00, None,39
None, 12.5, 12.45, 12.2, 0.8, 12.6, None,2021-09-27 00:00:00, None,39
None, 12.9, 12.85, 12.2, 1.6, 12.9, None,2021-09-27 01:00:00, None,39
None, 14.3, 14.34, 12.2, 6.4, 14.2, None,2021-09-27 02:00:00, None,39
None, 14.5, 14.49, 12.2, 0.3, 15.3, None,2021-09-27 03:00:00, None,39
None, 11.6, 11.58, 11.5, -5.8, 15.3, None,2021-09-27 04:00:00, None,39
None, 11.7, 11.7, 11.5, -0.1, 15.3, None,2021-09-27 05:00:00, None,39
None, 11.7, 11.67, 11.5, 0.4, 15.3, None,2021-09-27 06:00:00, None,39
None, 11.6, 11.59, 11.6, 0.6, 11.8, None,2021-09-27 07:00:00, None,39
None, 11.7, 11.72, 11.6, 0.1, 11.8, None,2021-09-27 08:00:00, None,39
None, 11.9, 11.91, 11.6, 1.7, 12.6, None,2021-09-27 09:00:00, None,39
None, 12.3, 12.29, 11.6, 2.1, 12.6, None,2021-09-27 10:00:00, None,39
None, 13.2, 13.2, 11.6, 2.7, 13.2, None,2021-09-27 11:00:00, None,39
None, 14.0, 13.95, 11.6, 0.9, 14.3, None,2021-09-27 12:00:00, None,39
None, 13.9, 13.91, 11.6, -0.2, 14.5, None,2021-09-27 13:00:00, None,39
None, 13.1, 13.13, 11.6, -1.4, 14.5, None,2021-09-27 14:00:00, None,39
None, 12.1, 12.07, 11.6, 0.3, 14.5, None,2021-09-27 15:00:00, None,39
None, 12.1, 12.06, 11.6, 2.7, 14.5, None,2021-09-27 16:00:00, None,39
None, 12.5, 12.5, 11.2, 2.8, 14.5, None,2021-09-27 17:00:00, None,39
None, 12.3, 12.3, 11.2, 1.4, 14.5, None,2021-09-27 18:00:00, None,39
None, 10.8, 10.75, 10.7, -3.3, 12.3, None,2021-09-27 19:00:00, None,39
None, 10.5, 10.48, 10.5, -0.2, 12.3, None,2021-09-27 20:00:00, None,39
None, 10.4, 10.43, 10.3, 0.0, 12.3, None,2021-09-27 21:00:00, None,39
None, 10.5, 10.5, 10.3, 0.2, 12.3, None,2021-09-27 22:00:00, None,39
None, 10.7, 10.69, 10.3, 1.6, 12.3, None,2021-09-27 23:00:00, None,39
None, 10.7, 10.66, 10.3, 0.3, 12.3, None,2021-09-28 00:00:00, None,39
None, 10.8, 10.82, 10.3, 0.5, 12.3, None,2021-09-28 01:00:00, None,39
None, 11.0, 10.99, 10.3, 0.4, 12.3, None,2021-09-28 02:00:00, None,39
